DanTh 1:1
ᾧ RR--DSM--- ὅς
πνεῦμα N3M-NSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
γρηγόρησις N3I-NSF--- γρηγόρησις
καὶ C--------- καί
σύνεσις N3I-NSF--- σύνεσις
εὑρέθη VC--API3S- εὑρίσκω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
ἄρχοντα N3--ASM--- ἄρχων
ἐπαοιδῶν N2--GPM--- ἐπαοιδός
μάγων N2--GPM--- μάγος
Χαλδαίων N2--GPM--- Χαλδαῖος
γαζαρηνῶν N2--GPM--- γαζαρηνός
κατέστησεν VAI-AAI3S- ἵστημι κατα
αὐτόν RD--ASM--- αὐτός

DanTh 5:12
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
περισσὸν A1--NSN--- περισσός
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
φρόνησις N3I-NSF--- φρόνησις
καὶ C--------- καί
σύνεσις N3I-NSF--- σύνεσις
συγκρίνων V1--PAPNSM κρίνω συν
ἐνύπνια N2N-APN--- ἐνύπνιον
καὶ C--------- καί
ἀναγγέλλων V1--PAPNSM ἀγγέλλω ἀνα
κρατούμενα V2--PMPAPN κρατέω
καὶ C--------- καί
λύων V1--PAPNSM λύω
συνδέσμους N2--APM--- σύνδεσμος
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
αὐτῷ RD--DSM--- αὐτός
ὄνομα N3M-ASN--- ὄνομα
Βαλτασαρ N---AS---- Βαλτασαρ
νῦν D--------- νῦν
οὖν X--------- οὖν
κληθήτω VC--APD3S- καλέω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
ἀναγγελεῖ VF2-FAI3S- ἀγγέλλω ἀνα
σοι RP--DS---- σύ

DanTh 5:13
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
εἰσήχθη VQI-API3S- ἄγω εἰς
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
Δανιηλ N---NSM--- Δανιηλ
ὁ RA--NSM--- ὁ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ἧς RR--GSF--- ὅς
ἤγαγεν VBI-AAI3S- ἄγω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ

DanTh 5:14
ἤκουσα VAI-AAI1S- ἀκούω
περὶ P--------- περί
σοῦ RP--GS---- σύ
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
ἐν P--------- ἐν
σοί RP--DS---- σύ
καὶ C--------- καί
γρηγόρησις N3I-NSF--- γρηγόρησις
καὶ C--------- καί
σύνεσις N3I-NSF--- σύνεσις
καὶ C--------- καί
σοφία N1A-NSF--- σοφία
περισσὴ A1--NSF--- περισσός
εὑρέθη VC--API3S- εὑρίσκω
ἐν P--------- ἐν
σοί RP--DS---- σύ

DanTh 5:15
καὶ C--------- καί
νῦν D--------- νῦν
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
ἐνώπιόν P--------- ἐνώπιον
μου RP--GS---- ἐγώ
οἱ RA--NPM--- ὁ
σοφοί A1--NPM--- σοφός
μάγοι N2--NPM--- μάγος
γαζαρηνοί N2--NPM--- γαζαρηνός
ἵνα C--------- ἵνα
τὴν RA--ASF--- ὁ
γραφὴν N1--ASF--- γραφή
ταύτην RD--ASF--- οὗτος
ἀναγνῶσιν VZ--AAS3P- γιγνώσκω ἀνα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτῆς RD--GSF--- αὐτός
γνωρίσωσίν VA--AAS3P- γνωρίζω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἠδυνήθησαν VCI-API3P- δύναμαι
ἀναγγεῖλαί VA--AAN--- ἀγγέλλω ἀνα
μοι RP--DS---- ἐγώ

DanTh 5:16
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἤκουσα VAI-AAI1S- ἀκούω
περὶ P--------- περί
σοῦ RP--GS---- σύ
ὅτι C--------- ὅτι
δύνασαι V6--PMI2S- δύναμαι
κρίματα N3M-APN--- κρίμα
συγκρῖναι VA--AAN--- κρίνω συν
νῦν D--------- νῦν
οὖν X--------- οὖν
ἐὰν C--------- ἐάν
δυνηθῇς VC--APS2S- δύναμαι
τὴν RA--ASF--- ὁ
γραφὴν N1--ASF--- γραφή
ἀναγνῶναι VZ--AAN--- γιγνώσκω ἀνα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτῆς RD--GSF--- αὐτός
γνωρίσαι VA--AAN--- γνωρίζω
μοι RP--DS---- ἐγώ
πορφύραν N1A-ASF--- πορφύρα
ἐνδύσῃ VF--FMI2S- δύω ἐν
καὶ C--------- καί
ὁ RA--NSM--- ὁ
μανιάκης N1M-NSM--- μανιάκης
ὁ RA--NSM--- ὁ
χρυσοῦς A1C-NSM--- χρυσοῦς
ἔσται VF--FMI3S- εἰμί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τράχηλόν N2--ASM--- τράχηλος
σου RP--GS---- σύ
καὶ C--------- καί
τρίτος A1--NSM--- τρίτος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
μου RP--GS---- ἐγώ
ἄρξεις VF--FAI2S- ἄρχω

DanTh 5:17
τότε D--------- τότε
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τὰ RA--NPN--- ὁ
δόματά N3M-NPN--- δόμα
σου RP--GS---- σύ
σοὶ RP--DS---- σύ
ἔστω V9--PAD3S- εἰμί
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δωρεὰν N1A-ASF--- δωρεά
τῆς RA--GSF--- ὁ
οἰκίας N1A-GSF--- οἰκία
σου RP--GS---- σύ
ἑτέρῳ A1A-DSM--- ἕτερος
δός VO--AAD2S- δίδωμι
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
τὴν RA--ASF--- ὁ
γραφὴν N1--ASF--- γραφή
ἀναγνώσομαι VF--FMI1S- γιγνώσκω ἀνα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτῆς RD--GSF--- αὐτός
γνωρίσω VA--AAS1S- γνωρίζω
σοι RP--DS---- σύ

DanTh 5:18
βασιλεῦ N3V-VSM--- βασιλεύς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μεγαλωσύνην N1--ASF--- μεγαλωσύνη
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τιμὴν N1--ASF--- τιμή
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
ἔδωκεν VAI-AAI3S- δίδωμι
Ναβουχοδονοσορ N---DSM--- Ναβουχοδονοσορ
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
σου RP--GS---- σύ

DanTh 5:19
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
μεγαλωσύνης N1--GSF--- μεγαλωσύνη
ἧς RR--GSF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
λαοί N2--NPM--- λαός
φυλαί N1--NPF--- φυλή
γλῶσσαι N1S-NPF--- γλῶσσα
ἦσαν V9--IAI3P- εἰμί
τρέμοντες V1--PAPNPM τρέμω
καὶ C--------- καί
φοβούμενοι V2--PMPNPM φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
οὓς RR--APM--- ὅς
ἠβούλετο V1I-IMI3S- βούλομαι
αὐτὸς RD--NSM--- αὐτός
ἀνῄρει V2I-IAI3S- αἱρέω ἀνα
καὶ C--------- καί
οὓς RR--APM--- ὅς
ἠβούλετο V1I-IMI3S- βούλομαι
αὐτὸς RD--NSM--- αὐτός
ἔτυπτεν V1I-IAI3S- τύπτω
καὶ C--------- καί
οὓς RR--APM--- ὅς
ἠβούλετο V1I-IMI3S- βούλομαι
αὐτὸς RD--NSM--- αὐτός
ὕψου V4--IAI3S- ὑψόω
καὶ C--------- καί
οὓς RR--APM--- ὅς
ἠβούλετο V1I-IMI3S- βούλομαι
αὐτὸς RD--NSM--- αὐτός
ἐταπείνου V4I-IAI3S- ταπεινόω

DanTh 5:20
καὶ C--------- καί
ὅτε D--------- ὅτε
ὑψώθη VCI-API3S- ὑψόω
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
αὐτοῦ RD--GSM--- αὐτός
ἐκραταιώθη VCI-API3S- κραταιόω
τοῦ RA--GSN--- ὁ
ὑπερηφανεύσασθαι VA--AMN--- ὑπερηφανεύομαι
κατηνέχθη VQI-API3S- φέρω κατα
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
τιμὴ N1--NSF--- τιμή
ἀφῃρέθη VCI-API3S- αἱρέω ἀπο
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

DanTh 5:21
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἐξεδιώχθη VQI-API3S- διώκω ἐκ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
ἐδόθη VCI-API3S- δίδωμι
καὶ C--------- καί
μετὰ P--------- μετά
ὀνάγρων N2--GPM--- ὄναγρος
ἡ RA--NSF--- ὁ
κατοικία N1A-NSF--- κατοικία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
χόρτον N2--ASM--- χόρτος
ὡς C--------- ὡς
βοῦν N3--ASM--- βοῦς
ἐψώμιζον V1I-IAI3S- ψωμίζω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
δρόσου N2--GSF--- δρόσος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸ RA--NSN--- ὁ
σῶμα N3M-NSN--- σῶμα
αὐτοῦ RD--GSM--- αὐτός
ἐβάφη VDI-API3S- βάπτω
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἔγνω VZI-AAI3S- γιγνώσκω
ὅτι C--------- ὅτι
κυριεύει V1--PAI3S- κυριεύω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
ᾧ RR--DSM--- ὅς
ἂν X--------- ἄν
δόξῃ VA--AAS3S- δοκέω
δώσει VF--FAI3S- δίδωμι
αὐτήν RD--ASF--- αὐτός

DanTh 5:22
καὶ C--------- καί
σὺ RP--NS---- σύ
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
Βαλτασαρ N---NSM--- Βαλτασαρ
οὐκ D--------- οὐ
ἐταπείνωσας VAI-AAI2S- ταπεινόω
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
σου RP--GS---- σύ
κατενώπιον P--------- κατενώπιον
οὗ RR--GSM--- ὅς
πάντα A3--APN--- πᾶς
ταῦτα RD--APN--- οὗτος
ἔγνως VZI-AAI2S- γιγνώσκω

DanTh 5:23
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
θεὸν N2--ASM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὑψώθης VCI-API2S- ὑψόω
καὶ C--------- καί
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
ἤνεγκαν VAI-AAI3P- φέρω
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
καὶ C--------- καί
σὺ RP--NS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μεγιστᾶνές N3--NPM--- μεγιστάν
σου RP--GS---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
παλλακαί N1--NPF--- παλλακή
σου RP--GS---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
παράκοιτοί N2--NPF--- παράκοιτος
σου RP--GS---- σύ
οἶνον N2--ASM--- οἶνος
ἐπίνετε V1I-IAI2P- πίνω
ἐν P--------- ἐν
αὐτοῖς RD--DPN--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
θεοὺς N2--APM--- θεός
τοὺς RA--APM--- ὁ
χρυσοῦς A1C-APM--- χρυσοῦς
καὶ C--------- καί
ἀργυροῦς A1C-APM--- ἀργυροῦς
καὶ C--------- καί
χαλκοῦς A1C-APM--- χαλκοῦς
καὶ C--------- καί
σιδηροῦς A1C-APM--- σιδηροῦς
καὶ C--------- καί
ξυλίνους A1--APM--- ξύλινος
καὶ C--------- καί
λιθίνους A1--APM--- λίθινος
οἳ RR--NPM--- ὅς
οὐ D--------- οὐ
βλέπουσιν V1--PAI3P- βλέπω
καὶ C--------- καί
οὐκ D--------- οὐ
ἀκούουσιν V1--PAI3P- ἀκούω
καὶ C--------- καί
οὐ D--------- οὐ
γινώσκουσιν V1--PAI3P- γιγνώσκω
ᾔνεσας VAI-AAI2S- αἰνέω
καὶ C--------- καί
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
οὗ RR--GSM--- ὅς
ἡ RA--NSF--- ὁ
πνοή N1--NSF--- πνοή
σου RP--GS---- σύ
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ὁδοί N2--NPF--- ὁδός
σου RP--GS---- σύ
αὐτὸν RD--ASM--- αὐτός
οὐκ D--------- οὐ
ἐδόξασας VAI-AAI2S- δοξάζω

DanTh 5:24
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἀπεστάλη VDI-API3S- στέλλω ἀπο
ἀστράγαλος N2--NSM--- ἀστράγαλος
χειρὸς N3--GSF--- χείρ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γραφὴν N1--ASF--- γραφή
ταύτην RD--ASF--- οὗτος
ἐνέταξεν VAI-AAI3S- τάσσω ἐν

DanTh 5:25
καὶ C--------- καί
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
γραφὴ N1--NSF--- γραφή
ἡ RA--NSF--- ὁ
ἐντεταγμένη VK--XMPNSF τάσσω ἐν
μανη N---NS---- μανη
θεκελ N---NS---- θεκελ
φαρες N---N----- φαρες

DanTh 5:26
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
σύγκριμα N3M-NSN--- σύγκριμα
τοῦ RA--GSN--- ὁ
ῥήματος N3M-GSN--- ῥῆμα
μανη N---NS---- μανη
ἐμέτρησεν VAI-AAI3S- μετρέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
σου RP--GS---- σύ
καὶ C--------- καί
ἐπλήρωσεν VAI-AAI3S- πληρόω
αὐτήν RD--ASF--- αὐτός

DanTh 5:27
θεκελ N---NS---- θεκελ
ἐστάθη VCI-API3S- ἵστημι
ἐν P--------- ἐν
ζυγῷ N2--DSM--- ζυγός
καὶ C--------- καί
εὑρέθη VC--API3S- εὑρίσκω
ὑστεροῦσα V2--PAPNSF ὑστερέω

DanTh 5:28
φαρες N---N----- φαρες
διῄρηται VM--XMI3S- αἱρέω δια
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
σου RP--GS---- σύ
καὶ C--------- καί
ἐδόθη VCI-API3S- δίδωμι
Μήδοις N2--DPM--- Μῆδος
καὶ C--------- καί
Πέρσαις N1M-DPM--- Πέρσης

DanTh 5:29
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βαλτασαρ N---NSM--- Βαλτασαρ
καὶ C--------- καί
ἐνέδυσαν VAI-AAI3P- δύω ἐν
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
πορφύραν N1A-ASF--- πορφύρα
καὶ C--------- καί
τὸν RA--ASM--- ὁ
μανιάκην N1M-ASM--- μανιάκης
τὸν RA--ASM--- ὁ
χρυσοῦν A1C-ASM--- χρυσοῦς
περιέθηκαν VHI-AAI3P- τίθημι περι
περὶ P--------- περί
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκήρυξεν VAI-AAI3S- κηρύσσω
περὶ P--------- περί
αὐτοῦ RD--GSM--- αὐτός
εἶναι V9--PAN--- εἰμί
αὐτὸν RD--ASM--- αὐτός
ἄρχοντα N3--ASM--- ἄρχων
τρίτον A1--ASM--- τρίτος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία

DanTh 5:30
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
ἀναιρέθη VC--API3S- αἱρέω ἀνα
Βαλτασαρ N---NSM--- Βαλτασαρ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὁ RA--NSM--- ὁ
Χαλδαίων N2--GPM--- Χαλδαῖος

DanTh 6:1
καὶ C--------- καί
Δαρεῖος N2--NSM--- Δαρεῖος
ὁ RA--NSM--- ὁ
Μῆδος N2--NSM--- Μῆδος
παρέλαβεν VBI-AAI3S- λαμβάνω παρα
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
ὢν V9--PAPNSM εἰμί
ἐτῶν N3E-GPN--- ἔτος
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο

DanTh 6:2
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
ἐνώπιον P--------- ἐνώπιον
Δαρείου N2--GSM--- Δαρεῖος
καὶ C--------- καί
κατέστησεν VAI-AAI3S- ἵστημι κατα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
σατράπας N1M-APM--- σατράπης
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
τοῦ RA--GSN--- ὁ
εἶναι V9--PAN--- εἰμί
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

DanTh 6:3
καὶ C--------- καί
ἐπάνω P--------- ἐπάνω
αὐτῶν RD--GPM--- αὐτός
τακτικοὺς N2--APM--- τακτικός
τρεῖς A3--APM--- τρεῖς
ὧν RR--GPM--- ὅς
ἦν V9--IAI3S- εἰμί
Δανιηλ N---NSM--- Δανιηλ
εἷς A3--NSM--- εἷς
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός
τοῦ RA--GSN--- ὁ
ἀποδιδόναι V8--PAN--- δίδωμι ἀπο
αὐτοῖς RD--DPM--- αὐτός
τοὺς RA--APM--- ὁ
σατράπας N1M-APM--- σατράπης
λόγον N2--ASM--- λόγος
ὅπως C--------- ὅπως
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
μὴ D--------- μή
ἐνοχλῆται V2--PMI3S- ὀχλέω ἐν

DanTh 6:4
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Δανιηλ N---NSM--- Δανιηλ
ὑπὲρ P--------- ὑπέρ
αὐτούς RD--APM--- αὐτός
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
περισσὸν A1--NSN--- περισσός
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
κατέστησεν VAI-AAI3S- ἵστημι κατα
αὐτὸν RD--ASM--- αὐτός
ἐφ' P--------- ἐπί
ὅλης A1--GSF--- ὅλος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

DanTh 6:5
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τακτικοὶ N2--NPM--- τακτικός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
σατράπαι N1M-NPM--- σατράπης
ἐζήτουν V2I-IAI3P- ζητέω
πρόφασιν N3I-ASF--- πρόφασις
εὑρεῖν VB--AAN--- εὑρίσκω
κατὰ P--------- κατά
Δανιηλ N---ASM--- Δανιηλ
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
πρόφασιν N3I-ASF--- πρόφασις
καὶ C--------- καί
παράπτωμα N3M-ASN--- παράπτωμα
καὶ C--------- καί
ἀμβλάκημα N3M-ASN--- ἀμβλάκημα
οὐχ D--------- οὐ
εὗρον VB--AAI3P- εὑρίσκω
κατ' P--------- κατά
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
πιστὸς A1--NSM--- πιστός
ἦν V9--IAI3S- εἰμί

DanTh 6:6
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
τακτικοί N2--NPM--- τακτικός
οὐχ D--------- οὐ
εὑρήσομεν VF--FAI1P- εὑρίσκω
κατὰ P--------- κατά
Δανιηλ N---ASM--- Δανιηλ
πρόφασιν N3I-ASF--- πρόφασις
εἰ C--------- εἰ
μὴ D--------- μή
ἐν P--------- ἐν
νομίμοις A1--DPM--- νόμιμος
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

DanTh 6:7
τότε D--------- τότε
οἱ RA--NPM--- ὁ
τακτικοὶ N2--NPM--- τακτικός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
σατράπαι N1M-NPM--- σατράπης
παρέστησαν VHI-AAI3P- ἵστημι παρα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῷ RD--DSM--- αὐτός
Δαρεῖε N2--VSM--- Δαρεῖος
βασιλεῦ N3V-VSM--- βασιλεύς
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
ζῆθι V3--PAD2S- ζάω

DanTh 6:8
συνεβουλεύσαντο VAI-AMI3P- βουλεύω συν
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
σου RP--GS---- σύ
στρατηγοὶ N2--NPM--- στρατηγός
καὶ C--------- καί
σατράπαι N1M-NPM--- σατράπης
ὕπατοι N2--NPM--- ὕπατος
καὶ C--------- καί
τοπάρχαι N1M-NPM--- τοπαρχής
τοῦ RA--GSN--- ὁ
στῆσαι VA--AAN--- ἵστημι
στάσει N3I-DSF--- στάσις
βασιλικῇ A1--DSF--- βασιλικός
καὶ C--------- καί
ἐνισχῦσαι VA--AAN--- ἰσχύω ἐν
ὁρισμόν N2--ASM--- ὁρισμός
ὅπως C--------- ὅπως
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
αἰτήσῃ VA--AAS3S- αἰτέω
αἴτημα N3M-ASN--- αἴτημα
παρὰ P--------- παρά
παντὸς A3--GSM--- πᾶς
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἕως P--------- ἕως
ἡμερῶν N1A-GPF--- ἡμέρα
τριάκοντα M--------- τριάκοντα
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
παρὰ P--------- παρά
σοῦ RP--GS---- σύ
βασιλεῦ N3V-VSM--- βασιλεύς
ἐμβληθήσεται VC--FPI3S- βάλλω ἐν
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

DanTh 6:9
νῦν D--------- νῦν
οὖν X--------- οὖν
βασιλεῦ N3V-VSM--- βασιλεύς
στῆσον VA--AAD2S- ἵστημι
τὸν RA--ASM--- ὁ
ὁρισμὸν N2--ASM--- ὁρισμός
καὶ C--------- καί
ἔκθες VE--AAD2S- τίθημι ἐκ
γραφήν N1--ASF--- γραφή
ὅπως C--------- ὅπως
μὴ D--------- μή
ἀλλοιωθῇ VC--APS3S- ἀλλοιόω
τὸ RA--NSN--- ὁ
