Jos 1:1
τοῦτο RD--ASN--- οὗτος
καθὰ D--------- καθά
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
ἀκήκοας VX--XAI2S- ἀκούω
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦτο RD--ASN--- οὗτος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
νυνὶ D--------- νυνί
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
Ενακιμ N---NPM--- Ενακιμ
ἐκεῖ D--------- ἐκεῖ
εἰσιν V9--PAI3P- εἰμί
πόλεις N3I-NPF--- πόλις
ὀχυραὶ A1A-NPF--- ὀχυρός
καὶ C--------- καί
μεγάλαι A1--NPF--- μέγας
ἐὰν C--------- ἐάν
οὖν X--------- οὖν
κύριος N2--NSM--- κύριος
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ᾖ V9--PAS3S- εἰμί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
αὐτούς RD--APM--- αὐτός
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
κύριος N2--NSM--- κύριος

Jos 14:13
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
Ἰησοῦς N---NSM--- Ἰησοῦς
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
τὴν RA--ASF--- ὁ
Χεβρων N---ASF--- Χεβρων
τῷ RA--DSM--- ὁ
Χαλεβ N---DSM--- Χαλεβ
υἱῷ N2--DSM--- υἱός
Ιεφοννη N---GSM--- Ιεφοννη
υἱοῦ N2--GSM--- υἱός
Κενεζ N---GS---- Κενεζ
ἐν P--------- ἐν
κλήρῳ N2--DSM--- κλῆρος

Jos 14:14
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐγενήθη VCI-API3S- γίγνομαι
ἡ RA--NSF--- ὁ
Χεβρων N---NSF--- Χεβρων
τῷ RA--DSM--- ὁ
Χαλεβ N---DSM--- Χαλεβ
τῷ RA--DSM--- ὁ
τοῦ RA--GSM--- ὁ
Ιεφοννη N---GSM--- Ιεφοννη
τοῦ RA--GSM--- ὁ
Κενεζαίου N2--GSM--- Κενεζαῖος
ἐν P--------- ἐν
κλήρῳ N2--DSM--- κλῆρος
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
διὰ P--------- διά
τὸ RA--ASN--- ὁ
αὐτὸν RD--ASM--- αὐτός
ἐπακολουθῆσαι VA--AAN--- ἀκολουθέω ἐπι
τῷ RA--DSN--- ὁ
προστάγματι N3M-DSN--- πρόσταγμα
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ

Jos 14:15
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ὄνομα N3M-NSN--- ὄνομα
τῆς RA--GSF--- ὁ
Χεβρων N---GSF--- Χεβρων
ἦν V9--IAI3S- εἰμί
τὸ RA--ASN--- ὁ
πρότερον A1--ASN--- πρότερος
πόλις N3I-NSF--- πόλις
Αρβοκ N---GS---- Αρβοκ
μητρόπολις N3I-NSF--- μητρόπολις
τῶν RA--GPM--- ὁ
Ενακιμ N---GPM--- Ενακιμ
αὕτη RD--NSF--- οὗτος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἐκόπασεν VAI-AAI3S- κοπάζω
τοῦ RA--GSM--- ὁ
πολέμου N2--GSM--- πόλεμος

Jos 15:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
φυλῆς N1--GSF--- φυλή
Ιουδα N---GS---- Ιουδα
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ὁρίων N2N-GPN--- ὅριον
τῆς RA--GSF--- ὁ
Ιδουμαίας N1A-GSF--- Ιδουμαία
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
Σιν N---GS---- Σιν
ἕως P--------- ἕως
Καδης N---GS---- Καδης
πρὸς P--------- πρός
λίβα N3B-ASM--- λίψ

Jos 15:2
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
αὐτῶν RD--GPM--- αὐτός
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἀπὸ P--------- ἀπό
λιβὸς N3B-GSM--- λίψ
ἕως P--------- ἕως
μέρους N3E-GSN--- μέρος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
τῆς RA--GSF--- ὁ
ἁλυκῆς A1--GSF--- ἁλυκός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
λοφιᾶς N1A-GSF--- λοφιά
τῆς RA--GSF--- ὁ
φερούσης V1--PAPGSF φέρω
ἐπὶ P--------- ἐπί
λίβα N3B-ASM--- λίψ

Jos 15:3
καὶ C--------- καί
διαπορεύεται V1--PMI3S- πορεύομαι δια
ἀπέναντι P--------- ἀπέναντι
τῆς RA--GSF--- ὁ
προσαναβάσεως N3I-GSF--- προσανάβασις
Ακραβιν N---GS---- Ακραβιν
καὶ C--------- καί
ἐκπεριπορεύεται V1--PMI3S- πορεύομαι ἐκ περι
Σεννα N---GS---- Σεννα
καὶ C--------- καί
ἀναβαίνει V1--PAI3S- βαίνω ἀνα
ἀπὸ P--------- ἀπό
λιβὸς N3B-GSM--- λίψ
ἐπὶ P--------- ἐπί
Καδης N---AS---- Καδης
Βαρνη N---GS---- Βαρνη
καὶ C--------- καί
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
Ασωρων N---GS---- Ασωρων
καὶ C--------- καί
προσαναβαίνει V1--PAI3S- βαίνω προς ἀνα
εἰς P--------- εἰς
Αδδαρα N---AS---- Αδδαρα
καὶ C--------- καί
περιπορεύεται V1--PMI3S- πορεύομαι περι
τὴν RA--ASF--- ὁ
κατὰ P--------- κατά
δυσμὰς N1--APF--- δυσμή
Καδης N---ASF--- Καδης

Jos 15:4
καὶ C--------- καί
πορεύεται V1--PMI3S- πορεύομαι
ἐπὶ P--------- ἐπί
Ασεμωνα N---AS---- Ασεμωνα
καὶ C--------- καί
διεκβαλεῖ VF2-FAI3S- βάλλω δια ἐκ
ἕως P--------- ἕως
φάραγγος N3G-GSF--- φάραγξ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
αὐτοῦ RD--GSN--- αὐτός
ἡ RA--NSF--- ὁ
διέξοδος N2--NSF--- διέξοδος
τῶν RA--GPN--- ὁ
ὁρίων N2N-GPN--- ὅριον
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
τοῦτό RD--NSN--- οὗτος
ἐστιν V9--PAI3S- εἰμί
αὐτῶν RD--GPM--- αὐτός
ὅρια N2N-NPN--- ὅριον
ἀπὸ P--------- ἀπό
λιβός N3B-GSM--- λίψ

Jos 15:5
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἀπὸ P--------- ἀπό
ἀνατολῶν N1--GPF--- ἀνατολή
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
θάλασσα N1S-NSF--- θάλασσα
ἡ RA--NSF--- ὁ
ἁλυκὴ A1--NSF--- ἁλυκός
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
λοφιᾶς N1A-GSF--- λοφιά
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
μέρους N3E-GSN--- μέρος
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης

Jos 15:6
ἐπιβαίνει V1--PAI3S- βαίνω ἐπι
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἐπὶ P--------- ἐπί
Βαιθαγλα N---AS---- Βαιθαγλα
καὶ C--------- καί
παραπορεύεται V1--PMI3S- πορεύομαι παρα
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
ἐπὶ P--------- ἐπί
Βαιθαραβα N---AS---- Βαιθαραβά
καὶ C--------- καί
προσαναβαίνει V1--PAI3S- βαίνω προς ἀνα
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἐπὶ P--------- ἐπί
λίθον N2--ASM--- λίθος
Βαιων N---GS---- Βαιων
υἱοῦ N2--GSM--- υἱός
Ρουβην N---GS---- Ρουβην

Jos 15:7
καὶ C--------- καί
προσαναβαίνει V1--PAI3S- βαίνω προς ἀνα
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
τέταρτον A1--ASN--- τέταρτος
τῆς RA--GSF--- ὁ
φάραγγος N3G-GSF--- φάραγξ
Αχωρ N---GS---- Αχωρ
καὶ C--------- καί
καταβαίνει V1--PAI3S- βαίνω κατα
ἐπὶ P--------- ἐπί
Γαλγαλ N---AS---- Γαλγαλ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἀπέναντι P--------- ἀπέναντι
τῆς RA--GSF--- ὁ
προσβάσεως N3I-GSF--- πρόσβασις
Αδδαμιν N---GSF--- Αδδαμιν
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
κατὰ P--------- κατά
λίβα N3B-ASM--- λίψ
τῇ RA--DSF--- ὁ
φάραγγι N3G-DSF--- φάραγξ
καὶ C--------- καί
διεκβαλεῖ VF2-FAI3S- βάλλω δια ἐκ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
πηγῆς N1--GSF--- πηγή
ἡλίου N2--GSM--- ἥλιος
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
αὐτοῦ RD--GSN--- αὐτός
ἡ RA--NSF--- ὁ
διέξοδος N2--NSF--- διέξοδος
πηγὴ N1--NSF--- πηγή
Ρωγηλ N---GS---- Ρωγηλ

Jos 15:8
καὶ C--------- καί
ἀναβαίνει V1--PAI3S- βαίνω ἀνα
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
εἰς P--------- εἰς
φάραγγα N3G-ASF--- φάραγξ
Ονομ N---GS---- Ονομ
ἐπὶ P--------- ἐπί
νώτου N2N-GSN--- νῶτον
Ιεβους N---GS---- Ιεβους
ἀπὸ P--------- ἀπό
λιβός N3B-GSM--- λίψ
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Ιερουσαλημ N---NSF--- Ἰερουσαλήμ
καὶ C--------- καί
διεκβάλλει V1--PAI3S- βάλλω δια ἐκ
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ἐπὶ P--------- ἐπί
κορυφὴν N1--ASF--- κορυφή
ὄρους N3E-GSN--- ὄρος
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
φάραγγος N3G-GSF--- φάραγξ
Ονομ N---GS---- Ονομ
πρὸς P--------- πρός
θαλάσσης N1S-GSF--- θάλασσα
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐκ P--------- ἐκ
μέρους N3E-GSN--- μέρος
γῆς N1--GSF--- γῆ
Ραφαϊν N---GS---- Ραφαϊν
ἐπὶ P--------- ἐπί
βορρᾶ N1T-GSM--- βορέας

Jos 15:9
καὶ C--------- καί
διεκβάλλει V1--PAI3S- βάλλω δια ἐκ
τὸ RA--NSN--- ὁ
ὅριον N2N-NSN--- ὅριον
ἀπὸ P--------- ἀπό
κορυφῆς N1--GSF--- κορυφή
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
ἐπὶ P--------- ἐπί
πηγὴν N1--ASF--- πηγή
ὕδατος N3--GSN--- ὕδωρ
Ναφθω N---GS---- Ναφθω
καὶ C--------- καί
διεκβάλλει V1--PAI3S- βάλλω δια ἐκ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
Εφρων N---GS---- Εφρων
καὶ C--------- καί
ἐξάξει VF--FAI3S- ἄγω ἐκ
τὸ RA--NSN--- ὁ
ὅριον N2N-NSN--- ὅριον
εἰς P--------- εἰς
Βααλ N---AS---- Βααλ
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
πόλις N3I-NSF--- πόλις
Ιαριμ N---GS---- Ιαριμ

Jos 15:10
καὶ C--------- καί
περιελεύσεται VF--FMI3S- ἔρχομαι περι
ὅριον N2N-NSN--- ὅριον
ἀπὸ P--------- ἀπό
Βααλ N---GS---- Βααλ
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
εἰς P--------- εἰς
ὄρος N3E-ASN--- ὄρος
Ασσαρες N---GS---- Ασσαρες
ἐπὶ P--------- ἐπί
νώτου N2N-GSN--- νῶτον
πόλιν N3I-ASF--- πόλις
Ιαριμ N---GS---- Ιαριμ
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Χασλων N---NSF--- Χασλων
καὶ C--------- καί
καταβήσεται VF--FMI3S- βαίνω κατα
ἐπὶ P--------- ἐπί
Πόλιν N3I-ASF--- πόλις
ἡλίου N2--GSM--- ἥλιος
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
ἐπὶ P--------- ἐπί
λίβα N3B-ASM--- λίψ

Jos 15:11
καὶ C--------- καί
διεκβαλεῖ VF2-FAI3S- βάλλω δια ἐκ
τὸ RA--NSN--- ὁ
ὅριον N2N-NSN--- ὅριον
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
Ακκαρων N---GS---- Ακκαρων
ἐπὶ P--------- ἐπί
βορρᾶν N1T-ASM--- βορέας
καὶ C--------- καί
διεκβαλεῖ VF2-FAI3S- βάλλω δια ἐκ
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
εἰς P--------- εἰς
Σακχαρωνα N---AS---- Σακχαρωνα
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
ὄρος N3E-ASN--- ὄρος
τῆς RA--GSF--- ὁ
Βαλα N---GSF--- Βαλα
καὶ C--------- καί
διεκβαλεῖ VF2-FAI3S- βάλλω δια ἐκ
ἐπὶ P--------- ἐπί
Ιαβνηλ N---AS---- Ιαβνηλ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
διέξοδος N2--NSF--- διέξοδος
τῶν RA--GPN--- ὁ
ὁρίων N2N-GPN--- ὅριον
ἐπὶ P--------- ἐπί
θάλασσαν N1S-ASF--- θάλασσα

Jos 15:12
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
θαλάσσης N1S-GSF--- θάλασσα
ἡ RA--NSF--- ὁ
θάλασσα N1S-NSF--- θάλασσα
ἡ RA--NSF--- ὁ
μεγάλη A1--NSF--- μέγας
ὁριεῖ VF2-FAI3S- ὁρίζω
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
υἱῶν N2--GPM--- υἱός
Ιουδα N---GSM--- Ιουδα
κύκλῳ N2--DSM--- κύκλος
κατὰ P--------- κατά
δήμους N2--APM--- δῆμος
αὐτῶν RD--GPM--- αὐτός

Jos 15:13
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Χαλεβ N---DSM--- Χαλεβ
υἱῷ N2--DSM--- υἱός
Ιεφοννη N---GS---- Ιεφοννη
ἔδωκεν VAI-AAI3S- δίδωμι
μερίδα N3D-ASF--- μερίς
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
υἱῶν N2--GPM--- υἱός
Ιουδα N---GSM--- Ιουδα
διὰ P--------- διά
προστάγματος N3M-GSN--- πρόσταγμα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
Ἰησοῦς N---NSM--- Ἰησοῦς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
Αρβοκ N---GS---- Αρβοκ
μητρόπολιν N3I-ASF--- μητρόπολις
Ενακ N---GS---- Ενακ
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Χεβρων N---NSF--- Χεβρων

Jos 15:14
καὶ C--------- καί
ἐξωλέθρευσεν VAI-AAI3S- ὀλεθρεύω ἐκ
ἐκεῖθεν D--------- ἐκεῖθεν
Χαλεβ N---NS---- Χαλεβ
υἱὸς N2--NSM--- υἱός
Ιεφοννη N---GS---- Ιεφοννη
τοὺς RA--APM--- ὁ
τρεῖς A3--APM--- τρεῖς
υἱοὺς N2--APM--- υἱός
Ενακ N---GS---- Ενακ
τὸν RA--ASM--- ὁ
Σουσι N---ASM--- Σουσι
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Θολμι N---ASM--- Θολμι
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Αχιμα N---ASM--- Αχιμα

Jos 15:15
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἐκεῖθεν D--------- ἐκεῖθεν
Χαλεβ N---NS---- Χαλεβ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Δαβιρ N---AS---- Δαβιρ
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ὄνομα N3M-NSN--- ὄνομα
Δαβιρ N---GS---- Δαβιρ
ἦν V9--IAI3S- εἰμί
τὸ RA--ASN--- ὁ
πρότερον A1--ASN--- πρότερος
Πόλις N3I-NSF--- πόλις
γραμμάτων N3M-GPN--- γράμμα

Jos 15:16
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Χαλεβ N---NS---- Χαλεβ
ὃς RR--NSM--- ὅς
ἐὰν C--------- ἐάν
λάβῃ VB--AAS3S- λαμβάνω
καὶ C--------- καί
ἐκκόψῃ VA--AAS3S- κόπτω ἐκ
τὴν RA--ASF--- ὁ
Πόλιν N3I-ASF--- πόλις
τῶν RA--GPN--- ὁ
γραμμάτων N3M-GPN--- γράμμα
καὶ C--------- καί
κυριεύσῃ VA--AAS3S- κυριεύω
αὐτῆς RD--GSF--- αὐτός
δώσω VF--FAI1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
τὴν RA--ASF--- ὁ
Αχσαν N---ASF--- Αχσαν
θυγατέρα N3--ASF--- θυγάτηρ
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή

Jos 15:17
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
αὐτὴν RD--ASF--- αὐτός
Γοθονιηλ N---NS---- Γοθονιηλ
υἱὸς N2--NSM--- υἱός
Κενεζ N---GS---- Κενεζ
ἀδελφὸς N2--NSM--- ἀδελφός
Χαλεβ N---GS---- Χαλεβ
ὁ RA--NSM--- ὁ
νεώτερος A1A-NSMC-- νέος
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
τὴν RA--ASF--- ὁ
Αχσαν N---ASF--- Αχσαν
θυγατέρα N3--ASF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
αὐτῷ RD--DSM--- αὐτός
γυναῖκα N3K-ASF--- γυνή

Jos 15:18
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
εἰσπορεύεσθαι V1--PMN--- πορεύομαι εἰς
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
συνεβουλεύσατο VAI-AMI3S- βουλεύω συν
αὐτῷ RD--DSM--- αὐτός
λέγουσα V1--PAPNSF λέγω
αἰτήσομαι VF--FMI1S- αἰτέω
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
μου RP--GS---- ἐγώ
ἀγρόν N2--ASM--- ἀγρός
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
ὄνου N2--GSM--- ὄνος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Χαλεβ N---NS---- Χαλεβ
τί RI--NSN--- τίς
ἐστίν V9--PAI3S- εἰμί
σοι RP--DS---- σύ

Jos 15:19
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
εὐλογίαν N1A-ASF--- εὐλογία
ὅτι C--------- ὅτι
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Ναγεβ N---GS---- Ναγεβ
δέδωκάς VX--XAI2S- δίδωμι
με RP--AS---- ἐγώ
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
τὴν RA--ASF--- ὁ
Γολαθμαιν N---ASF--- Γολαθμαιν
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῇ RD--DSF--- αὐτός
Χαλεβ N---NS---- Χαλεβ
τὴν RA--ASF--- ὁ
Γολαθμαιν N---ASF--- Γολαθμαιν
τὴν RA--ASF--- ὁ
ἄνω D--------- ἄνω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Γολαθμαιν N---ASF--- Γολαθμαιν
τὴν RA--ASF--- ὁ
κάτω D--------- κάτω

Jos 15:20
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
κληρονομία N1A-NSF--- κληρονομία
φυλῆς N1--GSF--- φυλή
υἱῶν N2--GPM--- υἱός
Ιουδα N---GSM--- Ιουδα

Jos 15:21
ἐγενήθησαν VCI-API3P- γίγνομαι
δὲ X--------- δέ
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
αὐτῶν RD--GPM--- αὐτός
πόλις N3I-NSF--- πόλις
πρώτη A1--NSFS-- πρῶτος
φυλῆς N1--GSF--- φυλή
υἱῶν N2--GPM--- υἱός
Ιουδα N---GSM--- Ιουδα
ἐφ' P--------- ἐπί
ὁρίων N2N-GPN--- ὅριον
Εδωμ N---GS---- Εδωμ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
Καιβαισελεηλ N---NS---- Καιβαισελεηλ
καὶ C--------- καί
Αρα N---NS---- Αρα
καὶ C--------- καί
Ασωρ N---NS---- Ασωρ

Jos 15:22
καὶ C--------- καί
Ικαμ N---NS---- Ικαμ
καὶ C--------- καί
Ρεγμα N---NS---- Ρεγμα
καὶ C--------- καί
Αρουηλ N---NS---- Αρουηλ

Jos 15:23
καὶ C--------- καί
Καδης N---NS---- Καδης
καὶ C--------- καί
Ασοριωναιν N---NS---- Ασοριωναιν

Jos 15:24
καὶ C--------- καί
Μαιναμ N---NS---- Μαιναμ
καὶ C--------- καί
Βαλμαιναν N---NS---- Βαλμαιναν
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:25
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
Ασερων N---NS---- Ασερων
αὕτη RD--NSF--- οὗτος
Ασωρ N---NSF--- Ασωρ

Jos 15:26
καὶ C--------- καί
Σην N---NS---- Σην
καὶ C--------- καί
Σαλμαα N---NS---- Σαλμαα
καὶ C--------- καί
Μωλαδα N---NS---- Μωλαδα

Jos 15:27
καὶ C--------- καί
Σερι N---NS---- Σερι
καὶ C--------- καί
Βαιφαλαδ N---NS---- Βαιφαλαδ

Jos 15:28
καὶ C--------- καί
Χολασεωλα N---NS---- Χολασεωλα
καὶ C--------- καί
Βηρσαβεε N---NS---- Βηρσαβεε
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἐπαύλεις N3I-NPF--- ἔπαυλις
αὐτῶν RD--GPF--- αὐτός

Jos 15:29
Βαλα N---NS---- Βαλα
καὶ C--------- καί
Βακωκ N---NS---- Βακωκ
καὶ C--------- καί
Ασομ N---NS---- Ασομ

Jos 15:30
καὶ C--------- καί
Ελβωυδαδ N---NS---- Ελβωυδαδ
καὶ C--------- καί
Βαιθηλ N---NS---- Βαιθηλ
καὶ C--------- καί
Ερμα N---NS---- Ερμα

Jos 15:31
καὶ C--------- καί
Σεκελακ N---NS---- Σεκελακ
καὶ C--------- καί
Μαχαριμ N---NS---- Μαχαριμ
καὶ C--------- καί
Σεθεννακ N---NS---- Σεθεννακ

Jos 15:32
καὶ C--------- καί
Λαβως N---NS---- Λαβως
καὶ C--------- καί
Σαλη N---NS---- Σαλη
καὶ C--------- καί
Ερωμωθ N---NS---- Ερωμωθ
πόλεις N3I-NPF--- πόλις
κθʹ M--------- κθʹ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κῶμαι N1--NPF--- κώμη
αὐτῶν RD--GPF--- αὐτός

Jos 15:33
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πεδινῇ A1--DSF--- πεδεινός
Ασταωλ N---NS---- Ασταωλ
καὶ C--------- καί
Ραα N---NS---- Ραα
καὶ C--------- καί
Ασσα N---NS---- Ασσα

Jos 15:34
καὶ C--------- καί
Ραμεν N---NS---- Ραμεν
καὶ C--------- καί
Τανω N---NS---- Τανω
καὶ C--------- καί
Ιλουθωθ N---NS---- Ιλουθωθ
καὶ C--------- καί
Μαιανι N---NS---- Μαιανι

Jos 15:35
καὶ C--------- καί
Ιερμουθ N---NS---- Ιερμουθ
καὶ C--------- καί
Οδολλαμ N---NS---- Οδολλαμ
καὶ C--------- καί
Μεμβρα N---NS---- Μεμβρα
καὶ C--------- καί
Σαωχω N---NS---- Σαωχω
καὶ C--------- καί
Αζηκα N---NS---- Αζηκα

Jos 15:36
καὶ C--------- καί
Σακαριμ N---NS---- Σακαριμ
καὶ C--------- καί
Γαδηρα N---NS---- Γαδηρα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
