Est 1:1a
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
βδελύσσομαι V1--PMI1S- βδελύσσω
τὸ RA--ASN--- ὁ
σημεῖον N2--ASN--- σημεῖον
τῆς RA--GSF--- ὁ
ὑπερηφανίας N1A-GSF--- ὑπερηφανία
μου RP--GS---- ἐγώ
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
ὀπτασίας N1A-GSF--- ὀπτασία
μου RP--GS---- ἐγώ
βδελύσσομαι V1--PMI1S- βδελύσσω
αὐτὸ RD--ASN--- αὐτός
ὡς C--------- ὡς
ῥάκος N3--ASN--- ῥάκος
καταμηνίων A1A-GPM--- καταμήνιος
καὶ C--------- καί
οὐ D--------- οὐ
φορῶ V2--PAI1S- φορέω
αὐτὸ RD--ASN--- αὐτός
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
ἡσυχίας N1A-GSF--- ἡσυχία
μου RP--GS---- ἐγώ

Est 4:17x
καὶ C--------- καί
οὐκ D--------- οὐ
ἔφαγεν VBI-AAI3S- ἐσθίω
ἡ RA--NSF--- ὁ
δούλη N1--NSF--- δούλη
σου RP--GS---- σύ
τράπεζαν N1S-ASF--- τράπεζα
Αμαν N---GSM--- Αμαν
καὶ C--------- καί
οὐκ D--------- οὐ
ἐδόξασα VAI-AAI1S- δοξάζω
συμπόσιον A1A-ASN--- συμπόσιον
βασιλέως N3V-GSM--- βασιλεύς
οὐδὲ C--------- οὐδέ
ἔπιον VBI-AAI1S- πίνω
οἶνον N2--ASM--- οἶνος
σπονδῶν N1--GPF--- σπονδή

Est 4:17y
καὶ C--------- καί
οὐκ D--------- οὐ
ηὐφράνθη VCI-API3S- εὐφραίνω
ἡ RA--NSF--- ὁ
δούλη N1--NSF--- δούλη
σου RP--GS---- σύ
ἀφ' P--------- ἀπό
ἡμέρας N1A-GSF--- ἡμέρα
μεταβολῆς N1--GSF--- μεταβολή
μου RP--GS---- ἐγώ
μέχρι P--------- μέχρι
νῦν D--------- νῦν
πλὴν D--------- πλήν
ἐπὶ P--------- ἐπί
σοί RP--DS---- σύ
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Αβρααμ N---GSM--- Ἀβραάμ

Est 4:17z
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ἰσχύων V1--PAPNSM ἰσχύω
ἐπὶ P--------- ἐπί
πάντας A3--APM--- πᾶς
εἰσάκουσον VA--AAD2S- ἀκούω εἰς
φωνὴν N1--ASF--- φωνή
ἀπηλπισμένων VT--XMPGPM ἐλπίζω ἀπο
καὶ C--------- καί
ῥῦσαι VA--AMD2S- ῥύομαι
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
τῶν RA--GPM--- ὁ
πονηρευομένων V1--PMPGPM πονηρεύομαι
καὶ C--------- καί
ῥῦσαί VA--AMD2S- ῥύομαι
με RP--AS---- ἐγώ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
φόβου N2--GSM--- φόβος
μου RP--GS---- ἐγώ

Est 5:1
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
τρίτῃ A1--DSF--- τρίτος
ὡς C--------- ὡς
ἐπαύσατο VAI-AMI3S- παύω
προσευχομένη V1--PMPNSF εὔχομαι προς
ἐξεδύσατο VAI-AMI3S- δύω ἐκ
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
τῆς RA--GSF--- ὁ
θεραπείας N1A-GSF--- θεραπεία
καὶ C--------- καί
περιεβάλετο VBI-AMI3S- βάλλω περι
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
αὐτῆς RD--GSF--- αὐτός

Est 5:1a
καὶ C--------- καί
γενηθεῖσα VC--APPNSF γίγνομαι
ἐπιφανὴς A3H-NSF--- ἐπιφανής
ἐπικαλεσαμένη VA--AMPNSF καλέω ἐπι
τὸν RA--ASM--- ὁ
πάντων A3--GPN--- πᾶς
ἐπόπτην N1M-ASM--- ἐπόπτης
θεὸν N2--ASM--- θεός
καὶ C--------- καί
σωτῆρα N3H-ASM--- σωτήρ
παρέλαβεν VBI-AAI3S- λαμβάνω παρα
τὰς RA--APF--- ὁ
δύο M--------- δύο
ἅβρας N1A-APF--- ἅβρα
καὶ C--------- καί
τῇ RA--DSF--- ὁ
μὲν X--------- μέν
μιᾷ A1A-DSF--- εἷς
ἐπηρείδετο V1I-IMI3S- ἐρείδω ἐπι
ὡς C--------- ὡς
τρυφερευομένη V1--PMPNSF τρυφερεύομαι
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
ἑτέρα A1A-NSF--- ἕτερος
ἐπηκολούθει V2I-IAI3S- ἀκολουθέω ἐπι
κουφίζουσα V1--PAPNSF κουφίζω
τὴν RA--ASF--- ὁ
ἔνδυσιν N3I-ASF--- ἔνδυσις
αὐτῆς RD--GSF--- αὐτός

Est 5:1b
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἐρυθριῶσα V3--PAPNSF ἐρυθριάω
ἀκμῇ N1--DSF--- ἀκμή
κάλλους N3E-GSN--- κάλλος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
αὐτῆς RD--GSF--- αὐτός
ἱλαρὸν A1A-NSN--- ἱλαρός
ὡς C--------- ὡς
προσφιλές A3H-NSN--- προσφιλής
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
καρδία N1A-NSF--- καρδία
αὐτῆς RD--GSF--- αὐτός
ἀπεστενωμένη VM--XMPNSF στενόω ἀπο
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
φόβου N2--GSM--- φόβος

Est 5:1c
καὶ C--------- καί
εἰσελθοῦσα VB--AAPNSF ἔρχομαι εἰς
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
θύρας N1A-APF--- θύρα
κατέστη VHI-AAI3S- ἵστημι κατα
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἐκάθητο V1I-IAI3S- ἧμαι κατα
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
στολὴν N1--ASF--- στολή
τῆς RA--GSF--- ὁ
ἐπιφανείας N1A-GSF--- ἐπιφανεία
αὐτοῦ RD--GSM--- αὐτός
ἐνεδεδύκει VXI-YAI3S- δύω ἐν
ὅλος A1--NSM--- ὅλος
διὰ P--------- διά
χρυσοῦ N2--GSM--- χρυσός
καὶ C--------- καί
λίθων N2--GPM--- λίθος
πολυτελῶν A3--GPM--- πολυτελής
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
φοβερὸς A1A-NSM--- φοβερός
σφόδρα D--------- σφόδρα

Est 5:1d
καὶ C--------- καί
ἄρας VA--AAPNSM αἴρω
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
πεπυρωμένον VM--XMPASN πυρόω
δόξῃ N1S-DSF--- δόξα
ἐν P--------- ἐν
ἀκμῇ N1--DSF--- ἀκμή
θυμοῦ N2--GSM--- θυμός
ἔβλεψεν VAI-AAI3S- βλέπω
καὶ C--------- καί
ἔπεσεν VAI-AAI3S- πίπτω
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
καὶ C--------- καί
μετέβαλεν VBI-AAI3S- βάλλω μετα
τὸ RA--ASN--- ὁ
χρῶμα N3M-ASN--- χρῶμα
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
ἐκλύσει N3I-DSF--- ἔκλυσις
καὶ C--------- καί
κατεπέκυψεν VAI-AAI3S- κύπτω κατα ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
τῆς RA--GSF--- ὁ
ἅβρας N1A-GSF--- ἅβρα
τῆς RA--GSF--- ὁ
προπορευομένης V1--PMPGSF πορεύομαι προ

Est 5:1e
καὶ C--------- καί
μετέβαλεν VBI-AAI3S- βάλλω μετα
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
εἰς P--------- εἰς
πραΰτητα N3--ASF--- πραΰτης
καὶ C--------- καί
ἀγωνιάσας VA--AAPNSM ἀγωνιάω
ἀνεπήδησεν VAI-AAI3S- πηδάω ἀνα
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀνέλαβεν VBI-AAI3S- λαμβάνω ἀνα
αὐτὴν RD--ASF--- αὐτός
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
ἀγκάλας N1--APF--- ἀγκάλη
αὐτοῦ RD--GSM--- αὐτός
μέχρις P--------- μέχρι
οὗ RR--GSM--- ὅς
κατέστη VHI-AAI3S- ἵστημι κατα
καὶ C--------- καί
παρεκάλει V2I-IAI3S- καλέω παρα
αὐτὴν RD--ASF--- αὐτός
λόγοις N2--DPM--- λόγος
εἰρηνικοῖς A1--DPM--- εἰρηνικός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός

Est 5:1f
τί RI--NSN--- τίς
ἐστιν V9--PAI3S- εἰμί
Εσθηρ N---VSF--- Εσθηρ
ἐγὼ RP--NS---- ἐγώ
ὁ RA--NSM--- ὁ
ἀδελφός N2--NSM--- ἀδελφός
σου RP--GS---- σύ
θάρσει V2--PAD2S- θαρρέω
οὐ D--------- οὐ
μὴ D--------- μή
ἀποθάνῃς VB--AAS2S- θνήσκω ἀπο
ὅτι C--------- ὅτι
κοινὸν A1--NSN--- κοινός
τὸ RA--NSN--- ὁ
πρόσταγμα N3M-NSN--- πρόσταγμα
ἡμῶν RP--GP---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
πρόσελθε VB--AAD2S- ἔρχομαι προς

Est 5:2
καὶ C--------- καί
ἄρας VA--AAPNSM αἴρω
τὴν RA--ASF--- ὁ
χρυσῆν A1C-ASF--- χρυσοῦς
ῥάβδον N2--ASF--- ῥάβδος
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἠσπάσατο VAI-AMI3S- ἀσπάζομαι
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
λάλησόν VA--AAD2S- λαλέω
μοι RP--DS---- ἐγώ

Est 5:2a
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
εἶδόν VAI-AAI1S- ὁράω
σε RP--AS---- σύ
κύριε N2--VSM--- κύριος
ὡς C--------- ὡς
ἄγγελον N2--ASM--- ἄγγελος
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἐταράχθη VQI-API3S- ταράσσω
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
μου RP--GS---- ἐγώ
ἀπὸ P--------- ἀπό
φόβου N2--GSM--- φόβος
τῆς RA--GSF--- ὁ
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
ὅτι C--------- ὅτι
θαυμαστὸς A1--NSM--- θαυμαστός
εἶ V9--PAI2S- εἰμί
κύριε N2--VSM--- κύριος
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπόν N2N-NSN--- πρόσωπον
σου RP--GS---- σύ
χαρίτων N3T-GPF--- χάρις
μεστόν A1--NSN--- μεστός

Est 5:2b
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSN--- ὁ
διαλέγεσθαι V1--PMN--- λέγω δια
αὐτὴν RD--ASF--- αὐτός
ἔπεσεν VAI-AAI3S- πίπτω
ἀπὸ P--------- ἀπό
ἐκλύσεως N3I-GSF--- ἔκλυσις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐταράσσετο V1I-IMI3S- ταράσσω
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
θεραπεία N1A-NSF--- θεραπεία
αὐτοῦ RD--GSM--- αὐτός
παρεκάλει V2I-IAI3S- καλέω παρα
αὐτήν RD--ASF--- αὐτός

Est 5:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
τί RI--ASN--- τίς
θέλεις V1--PAI2S- θέλω
Εσθηρ N---VSF--- Εσθηρ
καὶ C--------- καί
τί RI--NSN--- τίς
σού RP--GS---- σύ
ἐστιν V9--PAI3S- εἰμί
τὸ RA--NSN--- ὁ
ἀξίωμα N3M-NSN--- ἀξίωμα
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
σοι RP--DS---- σύ

Est 5:4
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Εσθηρ N---NSF--- Εσθηρ
ἡμέρα N1A-NSF--- ἡμέρα
μου RP--GS---- ἐγώ
ἐπίσημος A1B-NSF--- ἐπίσημος
σήμερόν D--------- σήμερον
ἐστιν V9--PAI3S- εἰμί
εἰ C--------- εἰ
οὖν X--------- οὖν
δοκεῖ V2--PAI3S- δοκέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἐλθάτω VA--AAD3S- ἔρχομαι
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
Αμαν N---NSM--- Αμαν
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
δοχήν N1--ASF--- δοχή
ἣν RR--ASF--- ὅς
ποιήσω VF--FAI1S- ποιέω
σήμερον D--------- σήμερον

Est 5:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
κατασπεύσατε VA--AAD2P- σπεύδω κατα
Αμαν N---ASM--- Αμαν
ὅπως C--------- ὅπως
ποιήσωμεν VA--AAS1P- ποιέω
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
Εσθηρ N---GSF--- Εσθηρ
καὶ C--------- καί
παραγίνονται V1--PMI3P- γίγνομαι παρα
ἀμφότεροι A1--NPM--- ἀμφότεροι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
δοχήν N1--ASF--- δοχή
ἣν RR--ASF--- ὅς
εἶπεν VBI-AAI3S- εἶπον
Εσθηρ N---NSF--- Εσθηρ

Est 5:6
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSN--- ὁ
πότῳ N2N-DSN--- πότος
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πρὸς P--------- πρός
Εσθηρ N---ASF--- Εσθηρ
τί RI--NSN--- τίς
ἐστιν V9--PAI3S- εἰμί
βασίλισσα N1--VSF--- βασίλισσα
Εσθηρ N---VSF--- Εσθηρ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
σοι RP--DS---- σύ
ὅσα A1--APN--- ὅσος
ἀξιοῖς V4--PAI2S- ἀξιόω

Est 5:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τὸ RA--NSN--- ὁ
αἴτημά N3M-NSN--- αἴτημα
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἀξίωμά N3M-NSN--- ἀξίωμα
μου RP--GS---- ἐγώ

Est 5:8
εἰ C--------- εἰ
εὗρον VB--AAI1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐλθάτω VA--AAD3S- ἔρχομαι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
Αμαν N---NSM--- Αμαν
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
αὔριον D--------- αὔριον
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
δοχήν N1--ASF--- δοχή
ἣν RR--ASF--- ὅς
ποιήσω VF--FAI1S- ποιέω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
αὔριον D--------- αὔριον
ποιήσω VF--FAI1S- ποιέω
τὰ RA--APN--- ὁ
αὐτά RD--APN--- αὐτός

Est 5:9
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
Αμαν N---NSM--- Αμαν
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ὑπερχαρὴς A3--NSM--- ὑπερχαρής
εὐφραινόμενος V1--PMPNSM εὐφραίνω
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSN--- ὁ
ἰδεῖν VB--AAN--- ὁράω
Αμαν N---ASM--- Αμαν
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
τὸν RA--ASM--- ὁ
Ιουδαῖον N2--ASM--- Ἰουδαῖος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
ἐθυμώθη VCI-API3S- θυμόω
σφόδρα D--------- σφόδρα

Est 5:10
καὶ C--------- καί
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἴδια A1A-APN--- ἴδιος
ἐκάλεσεν VAI-AAI3S- καλέω
τοὺς RA--APM--- ὁ
φίλους A1--APM--- φίλος
καὶ C--------- καί
Ζωσαραν N---ASF--- Ζωσαρα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός

Est 5:11
καὶ C--------- καί
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
αὐτοῖς RD--DPM--- αὐτός
τὸν RA--ASM--- ὁ
πλοῦτον N2--ASM--- πλοῦτος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
ἣν RR--ASF--- ὅς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
αὐτῷ RD--DSM--- αὐτός
περιέθηκεν VAI-AAI3S- τίθημι περι
καὶ C--------- καί
ὡς C--------- ὡς
ἐποίησεν VAI-AAI3S- ποιέω
αὐτὸν RD--ASM--- αὐτός
πρωτεύειν V1--PAN--- πρωτεύω
καὶ C--------- καί
ἡγεῖσθαι V2--PMN--- ἡγέομαι
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία

Est 5:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αμαν N---NSM--- Αμαν
οὐ D--------- οὐ
κέκληκεν VX--XAI3S- καλέω
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
οὐδένα A3--ASM--- οὐδείς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
δοχὴν N1--ASF--- δοχή
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἐμέ RP--AS---- ἐγώ
καὶ C--------- καί
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὔριον D--------- αὔριον
κέκλημαι VM--XMI1S- καλέω

Est 5:13
καὶ C--------- καί
ταῦτά RD--NPN--- οὗτος
μοι RP--DS---- ἐγώ
οὐκ D--------- οὐ
ἀρέσκει V1--PAI3S- ἀρέσκω
ὅταν D--------- ὅταν
ἴδω VB--AAS1S- ὁράω
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
τὸν RA--ASM--- ὁ
Ιουδαῖον N2--ASM--- Ἰουδαῖος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή

Est 5:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
Ζωσαρα N---NSF--- Ζωσαρα
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
φίλοι A1--NPM--- φίλος
κοπήτω VA--AAD3S- κόπτω
σοι RP--DS---- σύ
ξύλον N2N-ASN--- ξύλον
πηχῶν N3U-GPM--- πῆχυς
πεντήκοντα M--------- πεντήκοντα
ὄρθρου N2--GSM--- ὄρθρος
δὲ X--------- δέ
εἰπὸν VA--AAD2S- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
κρεμασθήτω VS--APD3S- κρεμάζω
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
ξύλου N2N-GSN--- ξύλον
σὺ RP--NS---- σύ
δὲ X--------- δέ
εἴσελθε VB--AAD2S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
δοχὴν N1--ASF--- δοχή
σὺν P--------- σύν
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
εὐφραίνου V1--PMD2S- εὐφραίνω
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
τὸ RA--NSN--- ὁ
ῥῆμα N3M-NSN--- ῥῆμα
τῷ RA--DSM--- ὁ
Αμαν N---DSM--- Αμαν
καὶ C--------- καί
ἡτοιμάσθη VCI-API3S- ἑτοιμάζω
τὸ RA--NSN--- ὁ
ξύλον N2N-NSN--- ξύλον

Est 6:1
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ἀπέστησεν VAI-AAI3S- ἵστημι ἀπο
τὸν RA--ASM--- ὁ
ὕπνον N2--ASM--- ὕπνος
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἐκείνην RD--ASF--- ἐκεῖνος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
διδασκάλῳ N2--DSM--- διδάσκαλος
αὐτοῦ RD--GSM--- αὐτός
εἰσφέρειν V1--PAN--- φέρω εἰς
γράμματα N3M-APN--- γράμμα
μνημόσυνα N2N-APN--- μνημόσυνον
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
ἀναγινώσκειν V1--PAN--- γιγνώσκω ἀνα
αὐτῷ RD--DSM--- αὐτός

Est 6:2
εὗρεν VB--AAI3S- εὑρίσκω
δὲ X--------- δέ
τὰ RA--APN--- ὁ
γράμματα N3M-APN--- γράμμα
τὰ RA--APN--- ὁ
γραφέντα VD--APPAPN γράφω
περὶ P--------- περί
Μαρδοχαίου N2--GSM--- Μαρδοχαῖος
ὡς C--------- ὡς
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
περὶ P--------- περί
τῶν RA--GPM--- ὁ
δύο M--------- δύο
εὐνούχων N2--GPM--- εὐνοῦχος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
φυλάσσειν V1--PAN--- φυλάσσω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
ζητῆσαι VA--AAN--- ζητέω
ἐπιβαλεῖν VB--AAN--- βάλλω ἐπι
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
Ἀρταξέρξῃ N1M-DSM--- Ἀρταξέρξης

Est 6:3
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
τίνα RI--ASF--- τίς
δόξαν N1S-ASF--- δόξα
ἢ C--------- ἤ
χάριν N3--ASF--- χάρις
ἐποιήσαμεν VAI-AAI1P- ποιέω
τῷ RA--DSM--- ὁ
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
διάκονοι N2--NPM--- διάκονος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
οὐκ D--------- οὐ
ἐποίησας VAI-AAI2S- ποιέω
αὐτῷ RD--DSM--- αὐτός
οὐδέν A3--ASN--- οὐδείς

Est 6:4
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSN--- ὁ
πυνθάνεσθαι V1--PMN--- πυνθάνομαι
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
περὶ P--------- περί
τῆς RA--GSF--- ὁ
εὐνοίας N1A-GSF--- εὔνοια
Μαρδοχαίου N2--GSM--- Μαρδοχαῖος
ἰδοὺ I--------- ἰδού
Αμαν N---NSM--- Αμαν
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
τίς RI--NSM--- τίς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Αμαν N---NSM--- Αμαν
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰπεῖν VB--AAN--- λέγω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
κρεμάσαι VA--AAN--- κρεμάζω
τὸν RA--ASM--- ὁ
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ξύλῳ N2N-DSN--- ξύλον
ᾧ RR--DSN--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω

Est 6:5
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
διάκονοι N2--NPM--- διάκονος
