Gen 1:1
δὲ X--------- δέ
ἤκουσεν VAI-AAI3S- ἀκούω
λαλοῦντος V2--PAPGSM λαλέω
Ισαακ N---GSM--- Ισαακ
πρὸς P--------- πρός
Ησαυ N---ASM--- Ησαυ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἐπορεύθη VCI-API3S- πορεύομαι
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
θηρεῦσαι VA--AAN--- θηρεύω
θήραν N1A-ASF--- θήρα
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός

Gen 27:6
Ρεβεκκα N---NSF--- Ρεβεκκα
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
Ιακωβ N---ASM--- Ἰακώβ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτῆς RD--GSF--- αὐτός
τὸν RA--ASM--- ὁ
ἐλάσσω A3C-ASMC-- ἐλαχύς
ἰδὲ VB--AAD2S- ὁράω
ἐγὼ RP--NS---- ἐγώ
ἤκουσα VAI-AAI1S- ἀκούω
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
λαλοῦντος V2--PAPGSM λαλέω
πρὸς P--------- πρός
Ησαυ N---ASM--- Ησαυ
τὸν RA--ASM--- ὁ
ἀδελφόν N2--ASM--- ἀδελφός
σου RP--GS---- σύ
λέγοντος V1--PAPGSM λέγω

Gen 27:7
ἔνεγκόν VB--AAD2S- φέρω
μοι RP--DS---- ἐγώ
θήραν N1A-ASF--- θήρα
καὶ C--------- καί
ποίησόν VA--AAD2S- ποιέω
μοι RP--DS---- ἐγώ
ἐδέσματα N3M-APN--- ἔδεσμα
καὶ C--------- καί
φαγὼν VB--AAPNSM ἐσθίω
εὐλογήσω VF--FAI1S- εὐλογέω
σε RP--AS---- σύ
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
με RP--AS---- ἐγώ

Gen 27:8
νῦν D--------- νῦν
οὖν X--------- οὖν
υἱέ N2--VSM--- υἱός
ἄκουσόν VA--AAD2S- ἀκούω
μου RP--GS---- ἐγώ
καθὰ D--------- καθά
ἐγώ RP--NS---- ἐγώ
σοι RP--DS---- σύ
ἐντέλλομαι V1--PMI1S- τέλλομαι ἐν

Gen 27:9
καὶ C--------- καί
πορευθεὶς VC--APPNSM πορεύομαι
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
πρόβατα N2N-APN--- πρόβατον
λαβέ VB--AAD2S- λαμβάνω
μοι RP--DS---- ἐγώ
ἐκεῖθεν D--------- ἐκεῖθεν
δύο M--------- δύο
ἐρίφους N2--APM--- ἔριφος
ἁπαλοὺς A1--APM--- ἁπαλός
καὶ C--------- καί
καλούς A1--APM--- καλός
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
αὐτοὺς RD--APM--- αὐτός
ἐδέσματα N3M-APN--- ἔδεσμα
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
σου RP--GS---- σύ
ὡς C--------- ὡς
φιλεῖ V2--PAI3S- φιλέω

Gen 27:10
καὶ C--------- καί
εἰσοίσεις VF--FAI2S- φέρω εἰς
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
φάγεται VF--FMI3S- ἐσθίω
ὅπως C--------- ὅπως
εὐλογήσῃ VA--AAS3S- εὐλογέω
σε RP--AS---- σύ
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
αὐτόν RD--ASM--- αὐτός

Gen 27:11
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ιακωβ N---NSM--- Ἰακώβ
πρὸς P--------- πρός
Ρεβεκκαν N---ASF--- Ρεβεκκα
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
ἔστιν V9--PAI3S- εἰμί
Ησαυ N---NSM--- Ησαυ
ὁ RA--NSM--- ὁ
ἀδελφός N2--NSM--- ἀδελφός
μου RP--GS---- ἐγώ
ἀνὴρ N3--NSM--- ἀνήρ
δασύς A3U-NSM--- δασύς
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἀνὴρ N3--NSM--- ἀνήρ
λεῖος A1A-NSM--- λεῖος

Gen 27:12
μήποτε D--------- μήποτε
ψηλαφήσῃ VA--AAS3S- ψηλαφάω
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
καταφρονῶν V2--PAPNSM φρονέω κατα
καὶ C--------- καί
ἐπάξω VF--FAI1S- ἄγω ἐπι
ἐπ' P--------- ἐπί
ἐμαυτὸν RD--ASM--- ἐμαυτοῦ
κατάραν N1A-ASF--- κατάρα
καὶ C--------- καί
οὐκ D--------- οὐ
εὐλογίαν N1A-ASF--- εὐλογία

Gen 27:13
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
ἡ RA--NSF--- ὁ
κατάρα N1A-NSF--- κατάρα
σου RP--GS---- σύ
τέκνον N2N-VSN--- τέκνον
μόνον D--------- μόνον
ὑπάκουσον VA--AAD2S- ἀκούω ὑπο
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
μου RP--GS---- ἐγώ
καὶ C--------- καί
πορευθεὶς VC--APPNSM πορεύομαι
ἔνεγκέ VB--AAD2S- φέρω
μοι RP--DS---- ἐγώ

Gen 27:14
πορευθεὶς VC--APPNSM πορεύομαι
δὲ X--------- δέ
ἔλαβεν VBI-AAI3S- λαμβάνω
καὶ C--------- καί
ἤνεγκεν VAI-AAI3S- φέρω
τῇ RA--DSF--- ὁ
μητρί N3--DSF--- μήτηρ
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
ἐδέσματα N3M-APN--- ἔδεσμα
καθὰ D--------- καθά
ἐφίλει V2I-IAI3S- φιλέω
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός

Gen 27:15
καὶ C--------- καί
λαβοῦσα VB--AAPNSF λαμβάνω
Ρεβεκκα N---NSF--- Ρεβεκκα
τὴν RA--ASF--- ὁ
στολὴν N1--ASF--- στολή
Ησαυ N---GSM--- Ησαυ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτῆς RD--GSF--- αὐτός
τοῦ RA--GSM--- ὁ
πρεσβυτέρου A1A-GSMC-- πρεσβύτερος
τὴν RA--ASF--- ὁ
καλήν A1--ASF--- καλός
ἣ RR--NSF--- ὅς
ἦν V9--IAI3S- εἰμί
παρ' P--------- παρά
αὐτῇ RD--DSF--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
ἐνέδυσεν VAI-AAI3S- δύω ἐν
Ιακωβ N---NSM--- Ἰακώβ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτῆς RD--GSF--- αὐτός
τὸν RA--ASM--- ὁ
νεώτερον A1A-ASMC-- νέος

Gen 27:16
καὶ C--------- καί
τὰ RA--APN--- ὁ
δέρματα N3M-APN--- δέρμα
τῶν RA--GPM--- ὁ
ἐρίφων N2--GPM--- ἔριφος
περιέθηκεν VAI-AAI3S- τίθημι περι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
βραχίονας N3N-APM--- βραχίων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
γυμνὰ A1--APN--- γυμνός
τοῦ RA--GSM--- ὁ
τραχήλου N2--GSM--- τράχηλος
αὐτοῦ RD--GSM--- αὐτός

Gen 27:17
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
τὰ RA--APN--- ὁ
ἐδέσματα N3M-APN--- ἔδεσμα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
οὓς RR--APM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
Ιακωβ N---GSM--- Ἰακώβ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτῆς RD--GSF--- αὐτός

Gen 27:18
καὶ C--------- καί
εἰσήνεγκεν VAI-AAI3S- φέρω εἰς
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
δέ X--------- δέ
πάτερ N3--VSM--- πατήρ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἰδοὺ I--------- ἰδού
ἐγώ RP--NS---- ἐγώ
τίς RI--NSM--- τίς
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ
τέκνον N2N-VSN--- τέκνον

Gen 27:19
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιακωβ N---NSM--- Ἰακώβ
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἐγὼ RP--NS---- ἐγώ
Ησαυ N---NSM--- Ησαυ
ὁ RA--NSM--- ὁ
πρωτότοκός A1B-NSM--- πρωτότοκος
σου RP--GS---- σύ
ἐποίησα VAI-AAI1S- ποιέω
καθὰ D--------- καθά
ἐλάλησάς VAI-AAI2S- λαλέω
μοι RP--DS---- ἐγώ
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
κάθισον VA--AAD2S- ἵζω κατα
καὶ C--------- καί
φάγε VB--AAD2S- ἐσθίω
τῆς RA--GSF--- ὁ
θήρας N1A-GSF--- θήρα
μου RP--GS---- ἐγώ
ὅπως C--------- ὅπως
εὐλογήσῃ VA--AAS3S- εὐλογέω
με RP--AS---- ἐγώ
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ

Gen 27:20
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
τί RI--NSN--- τίς
τοῦτο RD--ASN--- οὗτος
ὃ RR--ASN--- ὅς
ταχὺ A3U-ASN--- ταχύς
εὗρες VB--AAI2S- εὑρίσκω
ὦ I--------- ὦ
τέκνον N2N-VSN--- τέκνον
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ὃ RR--ASN--- ὅς
παρέδωκεν VAI-AAI3S- δίδωμι παρα
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ἐναντίον P--------- ἐναντίον
μου RP--GS---- ἐγώ

Gen 27:21
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
ἔγγισόν VA--AAD2S- ἐγγίζω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ψηλαφήσω VA--AAS1S- ψηλαφάω
σε RP--AS---- σύ
τέκνον N2N-VSN--- τέκνον
εἰ C--------- εἰ
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
μου RP--GS---- ἐγώ
Ησαυ N---NSM--- Ησαυ
ἢ C--------- ἤ
οὔ D--------- οὐ

Gen 27:22
ἤγγισεν VAI-AAI3S- ἐγγίζω
δὲ X--------- δέ
Ιακωβ N---NSM--- Ἰακώβ
πρὸς P--------- πρός
Ισαακ N---ASM--- Ισαακ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐψηλάφησεν VAI-AAI3S- ψηλαφάω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
μὲν X--------- μέν
φωνὴ N1--NSF--- φωνή
φωνὴ N1--NSF--- φωνή
Ιακωβ N---GSM--- Ἰακώβ
αἱ RA--NPF--- ὁ
δὲ X--------- δέ
χεῖρες N3--NPF--- χείρ
χεῖρες N3--NPF--- χείρ
Ησαυ N---GSM--- Ησαυ

Gen 27:23
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπέγνω VZI-AAI3S- γιγνώσκω ἐπι
αὐτόν RD--ASM--- αὐτός
ἦσαν V9--IAI3P- εἰμί
γὰρ X--------- γάρ
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
Ησαυ N---GSM--- Ησαυ
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
δασεῖαι A3U-NPF--- δασύς
καὶ C--------- καί
ηὐλόγησεν VAI-AAI3S- εὐλογέω
αὐτόν RD--ASM--- αὐτός

Gen 27:24
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
μου RP--GS---- ἐγώ
Ησαυ N---NSM--- Ησαυ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἐγώ RP--NS---- ἐγώ

Gen 27:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
προσάγαγέ VB--AAD2S- ἄγω προς
μοι RP--DS---- ἐγώ
καὶ C--------- καί
φάγομαι VF--FMI1S- ἐσθίω
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
θήρας N1A-GSF--- θήρα
σου RP--GS---- σύ
τέκνον N2N-VSN--- τέκνον
ἵνα C--------- ἵνα
εὐλογήσῃ VA--AAS3S- εὐλογέω
σε RP--AS---- σύ
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
καὶ C--------- καί
προσήγαγεν VBI-AAI3S- ἄγω προς
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἔφαγεν VBI-AAI3S- ἐσθίω
καὶ C--------- καί
εἰσήνεγκεν VAI-AAI3S- φέρω εἰς
αὐτῷ RD--DSM--- αὐτός
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
ἔπιεν VBI-AAI3S- πίνω

Gen 27:26
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Ισαακ N---NSM--- Ισαακ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἔγγισόν VA--AAD2S- ἐγγίζω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
φίλησόν VA--AAD2S- φιλέω
με RP--AS---- ἐγώ
τέκνον N2N-VSN--- τέκνον

Gen 27:27
καὶ C--------- καί
ἐγγίσας VA--AAPNSM ἐγγίζω
ἐφίλησεν VAI-AAI3S- φιλέω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ὠσφράνθη VCI-API3S- ὀσφραίνομαι
τὴν RA--ASF--- ὁ
ὀσμὴν N1--ASF--- ὀσμή
τῶν RA--GPN--- ὁ
ἱματίων N2N-GPN--- ἱμάτιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ηὐλόγησεν VAI-AAI3S- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἰδοὺ I--------- ἰδού
ὀσμὴ N1--NSF--- ὀσμή
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
ὀσμὴ N1--NSF--- ὀσμή
ἀγροῦ N2--GSM--- ἀγρός
πλήρους A3H-GSM--- πλήρης
ὃν RR--ASM--- ὅς
ηὐλόγησεν VAI-AAI3S- εὐλογέω
κύριος N2--NSM--- κύριος

Gen 27:28
καὶ C--------- καί
δῴη VO--AAO3S- δίδωμι
σοι RP--DS---- σύ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
δρόσου N2--GSF--- δρόσος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
πιότητος N3--GSF--- πιότης
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πλῆθος N3E-ASN--- πλῆθος
σίτου N2--GSM--- σῖτος
καὶ C--------- καί
οἴνου N2--GSM--- οἶνος

Gen 27:29
καὶ C--------- καί
δουλευσάτωσάν VA--AAD3P- δουλεύω
σοι RP--DS---- σύ
ἔθνη N3E-NPN--- ἔθνος
καὶ C--------- καί
προσκυνήσουσίν VF--FAI3P- κυνέω προς
σοι RP--DS---- σύ
ἄρχοντες N3--NPM--- ἄρχων
καὶ C--------- καί
γίνου V1--PMD2S- γίγνομαι
κύριος N2--NSM--- κύριος
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
σου RP--GS---- σύ
καὶ C--------- καί
προσκυνήσουσίν VF--FAI3P- κυνέω προς
σοι RP--DS---- σύ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
καταρώμενός V3--PMPNSM ἀράομαι κατα
σε RP--AS---- σύ
ἐπικατάρατος A1B-NSM--- ἐπικατάρατος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εὐλογῶν V2--PAPNSM εὐλογέω
σε RP--AS---- σύ
εὐλογημένος VM--XPPNSM εὐλογέω

Gen 27:30
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
παύσασθαι VA--AMN--- παύω
Ισαακ N---ASM--- Ισαακ
εὐλογοῦντα V2--PAPASM εὐλογέω
Ιακωβ N---ASM--- Ἰακώβ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Ιακωβ N---NSM--- Ἰακώβ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
Ισαακ N---GSM--- Ισαακ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Ησαυ N---NSM--- Ησαυ
ὁ RA--NSM--- ὁ
ἀδελφὸς N2--NSM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
ἦλθεν VBI-AAI3S- ἔρχομαι
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
θήρας N1A-GSF--- θήρα

Gen 27:31
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἐδέσματα N3M-APN--- ἔδεσμα
καὶ C--------- καί
προσήνεγκεν VAI-AAI3S- φέρω προς
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
ἀναστήτω VH--AAD3S- ἵστημι ἀνα
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
φαγέτω VB--AAD3S- ἐσθίω
τῆς RA--GSF--- ὁ
θήρας N1A-GSF--- θήρα
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ὅπως C--------- ὅπως
εὐλογήσῃ VA--AAS3S- εὐλογέω
με RP--AS---- ἐγώ
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ

Gen 27:32
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Ισαακ N---NSM--- Ισαακ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
τίς RI--NSM--- τίς
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
πρωτότοκος A1B-NSM--- πρωτότοκος
Ησαυ N---NSM--- Ησαυ

Gen 27:33
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
ἔκστασιν N3I-ASF--- ἔκστασις
μεγάλην A1--ASF--- μέγας
σφόδρα D--------- σφόδρα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τίς RI--NSM--- τίς
οὖν X--------- οὖν
ὁ RA--NSM--- ὁ
θηρεύσας VA--AAPNSM θηρεύω
μοι RP--DS---- ἐγώ
θήραν N1A-ASF--- θήρα
καὶ C--------- καί
εἰσενέγκας VA--AAPNSM φέρω εἰς
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἔφαγον VBI-AAI1S- ἐσθίω
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
σε RP--AS---- σύ
ἐλθεῖν VB--AAN--- ἔρχομαι
καὶ C--------- καί
ηὐλόγησα VAI-AAI1S- εὐλογέω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
εὐλογημένος VM--XPPNSM εὐλογέω
ἔστω V9--PAD3S- εἰμί

Gen 27:34
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
ἡνίκα D--------- ἡνίκα
ἤκουσεν VAI-AAI3S- ἀκούω
Ησαυ N---NSM--- Ησαυ
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
Ισαακ N---GSM--- Ισαακ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἀνεβόησεν VAI-AAI3S- βοάω ἀνα
φωνὴν N1--ASF--- φωνή
μεγάλην A1--ASF--- μέγας
καὶ C--------- καί
πικρὰν A1A-ASF--- πικρός
σφόδρα D--------- σφόδρα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εὐλόγησον VA--AAD2S- εὐλογέω
δὴ X--------- δή
κἀμέ C+RPAS---- καί+ἐμός
πάτερ N3--VSM--- πατήρ

Gen 27:35
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
ἐλθὼν VB--AAPNSM ἔρχομαι
ὁ RA--NSM--- ὁ
ἀδελφός N2--NSM--- ἀδελφός
σου RP--GS---- σύ
μετὰ P--------- μετά
δόλου N2--GSM--- δόλος
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
εὐλογίαν N1A-ASF--- εὐλογία
σου RP--GS---- σύ

Gen 27:36
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
δικαίως D--------- δικαίως
ἐκλήθη VCI-API3S- καλέω
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Ιακωβ N---NSM--- Ἰακώβ
ἐπτέρνικεν VX--XAI3S- πτερνίζω
γάρ X--------- γάρ
με RP--AS---- ἐγώ
ἤδη D--------- ἤδη
δεύτερον A1A-ASN--- δεύτερος
τοῦτο RD--ASN--- οὗτος
τά RA--APN--- ὁ
τε X--------- τε
πρωτοτόκιά N2N-APN--- πρωτοτόκιον
μου RP--GS---- ἐγώ
εἴληφεν VX--XAI3S- λαμβάνω
καὶ C--------- καί
νῦν D--------- νῦν
εἴληφεν VX--XAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
εὐλογίαν N1A-ASF--- εὐλογία
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ησαυ N---NSM--- Ησαυ
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
οὐχ D--------- οὐ
ὑπελίπω VBI-AMI2S- λείπω ὑπο
μοι RP--DS---- ἐγώ
εὐλογίαν N1A-ASF--- εὐλογία
πάτερ N3--VSM--- πατήρ

Gen 27:37
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Ησαυ N---DSM--- Ησαυ
εἰ C--------- εἰ
κύριον N2--ASM--- κύριος
αὐτὸν RD--ASM--- αὐτός
ἐποίησά VAI-AAI1S- ποιέω
σου RP--GS---- σύ
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
ἐποίησα VAI-AAI1S- ποιέω
αὐτοῦ RD--GSM--- αὐτός
οἰκέτας N1M-APM--- οἰκέτης
σίτῳ N2--DSM--- σῖτος
καὶ C--------- καί
οἴνῳ N2--DSM--- οἶνος
ἐστήρισα VAI-AAI3S- στηρίζω
αὐτόν RD--ASM--- αὐτός
σοὶ RP--DS---- σύ
δὲ X--------- δέ
τί RI--ASN--- τίς
ποιήσω VA--AAS1S- ποιέω
τέκνον N2N-VSN--- τέκνον

Gen 27:38
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
μὴ D--------- μή
εὐλογία N1A-NSF--- εὐλογία
μία A1A-NSF--- εἷς
