Eze 1:1
εἰς P--------- εἰς
ἡμέραν N1A-ASF--- ἡμέρα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
ἀφ' P--------- ἀπό
ἧς RR--GSF--- ὅς
ἀπηρείσατο VAI-AMI3S- ἐρείδομαι ἀπο
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
ἐπὶ P--------- ἐπί
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον

Eze 24:3
καὶ C--------- καί
εἰπὸν VB--AAD2S- εἶπον
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τὸν RA--ASM--- ὁ
παραπικραίνοντα V1--PAPASM πικραίνω παρα
παραβολὴν N1--ASF--- παραβολή
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπίστησον VA--AAD2S- ἵστημι ἐπι
τὸν RA--ASM--- ὁ
λέβητα N3T-ASM--- λέβης
καὶ C--------- καί
ἔκχεον VA--AAD2S- χέω ἐκ
εἰς P--------- εἰς
αὐτὸν RD--ASM--- αὐτός
ὕδωρ N3--ASN--- ὕδωρ

Eze 24:4
καὶ C--------- καί
ἔμβαλε VB--AAD2S- βάλλω ἐν
εἰς P--------- εἰς
αὐτὸν RD--ASM--- αὐτός
τὰ RA--APN--- ὁ
διχοτομήματα N3M-APN--- διχοτόμημα
πᾶν A3--ASN--- πᾶς
διχοτόμημα N3M-ASN--- διχοτόμημα
καλόν A1--ASN--- καλός
σκέλος N3E-ASN--- σκέλος
καὶ C--------- καί
ὦμον N2--ASM--- ὦμος
ἐκσεσαρκισμένα VT--XPPAPN σαρκίζω ἐκ
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ὀστῶν N2N-GPN--- ὀστέον

Eze 24:5
ἐξ P--------- ἐκ
ἐπιλέκτων A1B-GPN--- ἐπίλεκτος
κτηνῶν N3E-GPN--- κτῆνος
εἰλημμένων VP--XMPGPN λαμβάνω
καὶ C--------- καί
ὑπόκαιε V1--PAD2S- καίω ὑπο
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
ὑποκάτω P--------- ὑποκάτω
αὐτῶν RD--GPN--- αὐτός
ἔζεσεν VAI-AAI3S- ζέω
ἔζεσεν VAI-AAI3S- ζέω
καὶ C--------- καί
ἥψηται VM--XMI3S- ἅπτομαι
τὰ RA--NPN--- ὁ
ὀστᾶ N2N-NPN--- ὀστέον
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
αὐτῆς RD--GSF--- αὐτός

Eze 24:6
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὦ I--------- ὦ
πόλις N3I-NSF--- πόλις
αἱμάτων N3M-GPN--- αἷμα
λέβης N3T-NSM--- λέβης
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἰὸς N2--NSM--- ἰός
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἰὸς N2--NSM--- ἰός
οὐκ D--------- οὐ
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
κατὰ P--------- κατά
μέλος N3E-ASN--- μέλος
αὐτῆς RD--GSF--- αὐτός
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
οὐκ D--------- οὐ
ἔπεσεν VAI-AAI3S- πίπτω
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
κλῆρος N2--NSM--- κλῆρος

Eze 24:7
ὅτι C--------- ὅτι
αἷμα N3M-ASN--- αἷμα
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
αὐτῆς RD--GSF--- αὐτός
ἐστιν V9--PAI3S- εἰμί
ἐπὶ P--------- ἐπί
λεωπετρίαν N1A-ASF--- λεωπετρία
τέταχα VX--XAI1S- τάσσω
αὐτό RD--ASN--- αὐτός
οὐκ D--------- οὐ
ἐκκέχυκα VX--XAI1S- χέω ἐκ
αὐτὸ RD--ASN--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τοῦ RA--GSN--- ὁ
καλύψαι VA--AAN--- καλύπτω
ἐπ' P--------- ἐπί
αὐτὸ RD--ASN--- αὐτός
γῆν N1--ASF--- γῆ

Eze 24:8
τοῦ RA--GSN--- ὁ
ἀναβῆναι VZ--AAN--- βαίνω ἀνα
θυμὸν N2--ASM--- θυμός
εἰς P--------- εἰς
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
ἐκδικηθῆναι VC--APN--- δικέω ἐκ
δέδωκα VX--XAI1S- δίδωμι
τὸ RA--ASN--- ὁ
αἷμα N3M-ASN--- αἷμα
αὐτῆς RD--GSF--- αὐτός
ἐπὶ P--------- ἐπί
λεωπετρίαν N1A-ASF--- λεωπετρία
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
καλύψαι VA--AAN--- καλύπτω
αὐτό RD--ASN--- αὐτός

Eze 24:9
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κἀγὼ C+RPNS---- καί+ἐγώ
μεγαλυνῶ VF--FAI1S- μεγαλύνω
τὸν RA--ASM--- ὁ
δαλὸν N2--ASM--- δαλός

Eze 24:10
καὶ C--------- καί
πληθυνῶ VF2-FAI1S- πληθύνω
τὰ RA--APN--- ὁ
ξύλα N2N-APN--- ξύλον
καὶ C--------- καί
ἀνακαύσω VF--FAI1S- καίω ἀνα
τὸ RA--ASN--- ὁ
πῦρ N3--ASN--- πῦρ
ὅπως C--------- ὅπως
τακῇ V1--PAS3S- τήκω
τὰ RA--APN--- ὁ
κρέα N3--APN--- κρέας
καὶ C--------- καί
ἐλαττωθῇ VC--APS3S- ἐλαττόω
ὁ RA--NSM--- ὁ
ζωμὸς N2--NSM--- ζωμός

Eze 24:11
καὶ C--------- καί
στῇ VH--AAS3S- ἵστημι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἄνθρακας N3K-APM--- ἄνθραξ
ὅπως C--------- ὅπως
προσκαυθῇ VC--APS3S- καίω προς
καὶ C--------- καί
θερμανθῇ VC--APS3S- θερμαίνω
ὁ RA--NSM--- ὁ
χαλκὸς N2--NSM--- χαλκός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τακῇ V1--PAS3S- τήκω
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
ἀκαθαρσίας N1A-GSF--- ἀκαθαρσία
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐκλίπῃ VB--AAS3S- λείπω ἐκ
ὁ RA--NSM--- ὁ
ἰὸς N2--NSM--- ἰός
αὐτῆς RD--GSF--- αὐτός

Eze 24:12
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐξέλθῃ VB--AAS3S- ἔρχομαι ἐκ
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
πολὺς A1P-NSM--- πολύς
ὁ RA--NSM--- ὁ
ἰὸς N2--NSM--- ἰός
αὐτῆς RD--GSF--- αὐτός
καταισχυνθήσεται VC--FPI3S- αἰσχύνω κατα
ὁ RA--NSM--- ὁ
ἰὸς N2--NSM--- ἰός
αὐτῆς RD--GSF--- αὐτός

Eze 24:13
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐμιαίνου V1I-IMI2S- μιαίνω
σύ RP--NS---- σύ
καὶ C--------- καί
τί RI--ASN--- τίς
ἐὰν C--------- ἐάν
μὴ D--------- μή
καθαρισθῇς VS--APS2S- καθαρίζω
ἔτι D--------- ἔτι
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἐμπλήσω VF--FAI1S- πίμπλημι ἐν
τὸν RA--ASM--- ὁ
θυμόν N2--ASM--- θυμός
μου RP--GS---- ἐγώ

Eze 24:14
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος
λελάληκα VX--XAI1S- λαλέω
καὶ C--------- καί
ἥξει VF--FAI3S- ἥκω
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
οὐ D--------- οὐ
διαστελῶ VF2-FAI1S- στέλλω δια
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
ἐλεήσω VF--FAI1S- ἐλεέω
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
σου RP--GS---- σύ
καὶ C--------- καί
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ἐνθυμήματά N3M-APN--- ἐνθύμημα
σου RP--GS---- σύ
κρινῶ VF2-FAI1S- κρίνω
σε RP--AS---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐγὼ RP--NS---- ἐγώ
κρινῶ VF2-FAI1S- κρίνω
σε RP--AS---- σύ
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
αἵματά N3M-APN--- αἷμα
σου RP--GS---- σύ
καὶ C--------- καί
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ἐνθυμήματά N3M-APN--- ἐνθύμημα
σου RP--GS---- σύ
κρινῶ VF2-FAI1S- κρίνω
σε RP--AS---- σύ
ἡ RA--NSF--- ὁ
ἀκάθαρτος A1B-NSF--- ἀκάθαρτος
ἡ RA--NSF--- ὁ
ὀνομαστὴ A1--NSF--- ὀνομαστός
καὶ C--------- καί
πολλὴ A1--NSF--- πολύς
τοῦ RA--GSN--- ὁ
παραπικραίνειν V1--PAN--- πικραίνω παρα

Eze 24:15
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 24:16
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
λαμβάνω V1--PAI1S- λαμβάνω
ἐκ P--------- ἐκ
σοῦ RP--GS---- σύ
τὰ RA--APN--- ὁ
ἐπιθυμήματα N3M-APN--- ἐπιθύμημα
τῶν RA--GPM--- ὁ
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
σου RP--GS---- σύ
ἐν P--------- ἐν
παρατάξει N3I-DSF--- παράταξις
οὐ D--------- οὐ
μὴ D--------- μή
κοπῇς VD--APS2S- κόπτω
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
κλαυσθῇς VC--APS2S- κλαίω

Eze 24:17
στεναγμὸς N2--NSM--- στεναγμός
αἵματος N3M-GSN--- αἷμα
ὀσφύος N3U-GSF--- ὀσφύς
πένθους N3E-GSN--- πένθος
ἐστίν V9--PAI3S- εἰμί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
τρίχωμά N3M-NSN--- τρίχωμα
σου RP--GS---- σύ
συμπεπλεγμένον VK--XMPNSN πλέκω συν
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὑποδήματά N3M-NPN--- ὑπόδημα
σου RP--GS---- σύ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ποσίν N3D-DPM--- πούς
σου RP--GS---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
παρακληθῇς VC--APS2S- καλέω παρα
ἐν P--------- ἐν
χείλεσιν N3E-DPN--- χεῖλος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἄρτον N2--ASM--- ἄρτος
ἀνδρῶν N3--GPM--- ἀνήρ
οὐ D--------- οὐ
μὴ D--------- μή
φάγῃς VB--AAS2S- ἐσθίω

Eze 24:18
καὶ C--------- καί
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
ἐνετείλατό VAI-AMI3S- τέλλομαι ἐν
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
μου RP--GS---- ἐγώ
ἑσπέρας N1A-GSF--- ἑσπέρα
καὶ C--------- καί
ἐποίησα VAI-AAI1S- ποιέω
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
ἐπετάγη VDI-API3S- τάσσω ἐπι
μοι RP--DS---- ἐγώ

Eze 24:19
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
οὐκ D--------- οὐ
ἀναγγελεῖς VF2-FAI2S- ἀγγέλλω ἀνα
ἡμῖν RP--DP---- ἐγώ
τί RI--ASN--- τίς
ἐστιν V9--PAI3S- εἰμί
ταῦτα RD--NPN--- οὗτος
ἃ RR--APN--- ὅς
σὺ RP--NS---- σύ
ποιεῖς V2--PAI2S- ποιέω

Eze 24:20
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἐγένετο VBI-AMI3S- γίγνομαι
λέγων V1--PAPNSM λέγω

Eze 24:21
εἰπὸν VB--AAD2S- εἶπον
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
βεβηλῶ V4--PAI1S- βεβηλόω
τὰ RA--APN--- ὁ
ἅγιά A1A-APN--- ἅγιος
μου RP--GS---- ἐγώ
φρύαγμα N3M-ASN--- φρύαγμα
ἰσχύος N3U-GSF--- ἰσχύς
ὑμῶν RP--GP---- σύ
ἐπιθυμήματα N3M-APN--- ἐπιθύμημα
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
ὧν RR--GPM--- ὅς
φείδονται V1--PMI3P- φείδομαι
αἱ RA--NPF--- ὁ
ψυχαὶ N1--NPF--- ψυχή
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
ὑμῶν RP--GP---- σύ
οὓς RR--APM--- ὅς
ἐγκατελίπετε VBI-AAI2P- λείπω ἐν κατα
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
πεσοῦνται VF2-FMI3P- πίπτω

Eze 24:22
καὶ C--------- καί
ποιήσετε VF--FAI2P- ποιέω
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
πεποίηκα VX--XAI1S- ποιέω
ἀπὸ P--------- ἀπό
στόματος N3M-GSN--- στόμα
αὐτῶν RD--GPM--- αὐτός
οὐ D--------- οὐ
παρακληθήσεσθε VC--FPI2P- καλέω παρα
καὶ C--------- καί
ἄρτον N2--ASM--- ἄρτος
ἀνδρῶν N3--GPM--- ἀνήρ
οὐ D--------- οὐ
φάγεσθε VF--FMI2P- ἐσθίω

Eze 24:23
καὶ C--------- καί
αἱ RA--NPF--- ὁ
κόμαι N1--NPF--- κόμη
ὑμῶν RP--GP---- σύ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὑποδήματα N3M-NPN--- ὑπόδημα
ὑμῶν RP--GP---- σύ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ποσὶν N3D-DPM--- πούς
ὑμῶν RP--GP---- σύ
οὔτε C--------- οὔτε
μὴ D--------- μή
κόψησθε VA--AMS2P- κόπτω
οὔτε C--------- οὔτε
μὴ D--------- μή
κλαύσητε VA--AAS2P- κλαίω
καὶ C--------- καί
ἐντακήσεσθε VF--FMI2P- τήκω ἐν
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀδικίαις N1A-DPF--- ἀδικία
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
παρακαλέσετε VF--FAI2P- καλέω παρα
ἕκαστος A1--NSM--- ἕκαστος
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός

Eze 24:24
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
Ιεζεκιηλ N---NSM--- Ιεζεκιηλ
ὑμῖν RP--DP---- σύ
εἰς P--------- εἰς
τέρας N3T-ASN--- τέρας
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
ποιήσετε VF--FAI2P- ποιέω
ὅταν D--------- ὅταν
ἔλθῃ VB--AAS3S- ἔρχομαι
ταῦτα RD--NPN--- οὗτος
καὶ C--------- καί
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 24:25
καὶ C--------- καί
σύ RP--NS---- σύ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
οὐχὶ D--------- οὐ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ὅταν D--------- ὅταν
λαμβάνω V1--PAI1S- λαμβάνω
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
παρ' P--------- παρά
αὐτῶν RD--GPM--- αὐτός
τὴν RA--ASF--- ὁ
ἔπαρσιν N3I-ASF--- ἔπαρσις
τῆς RA--GSF--- ὁ
καυχήσεως N3I-GSF--- καύχησις
αὐτῶν RD--GPM--- αὐτός
τὰ RA--APN--- ὁ
ἐπιθυμήματα N3M-APN--- ἐπιθύμημα
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἔπαρσιν N3I-ASF--- ἔπαρσις
ψυχῆς N1--GSF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
υἱοὺς N2--APM--- υἱός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ
αὐτῶν RD--GPM--- αὐτός

Eze 24:26
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἥξει VF--FAI3S- ἥκω
ὁ RA--NSM--- ὁ
ἀνασῳζόμενος V1--PPPNSM σώζω ἀνα
πρὸς P--------- πρός
σὲ RP--AS---- σύ
τοῦ RA--GSN--- ὁ
ἀναγγεῖλαί VA--AAN--- ἀγγέλλω ἀνα
σοι RP--DS---- σύ
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὦτα N3T-APN--- οὖς

Eze 24:27
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
διανοιχθήσεται VQ--FPI3S- οἴγω δια ἀνα
τὸ RA--NSN--- ὁ
στόμα N3M-NSN--- στόμα
σου RP--GS---- σύ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἀνασῳζόμενον V1--PPPASM σώζω ἀνα
καὶ C--------- καί
λαλήσεις VF--FAI2S- λαλέω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἀποκωφωθῇς VC--APS2S- κωφόω ἀπο
οὐκέτι D--------- οὐκέτι
καὶ C--------- καί
ἔσῃ VF--FMI2S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
τέρας N3T-ASN--- τέρας
καὶ C--------- καί
ἐπιγνώσονται VF--FMI3P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 25:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 25:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
στήρισον VA--AAD2S- στηρίζω
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
προφήτευσον VA--AAD2S- προφητεύω
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός

Eze 25:3
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Αμμων N---GSM--- Αμμων
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐπεχάρητε VDI-API2P- χαίρω ἐπι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ἅγιά A1A-APN--- ἅγιος
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἐβεβηλώθη VCI-API3S- βεβηλόω
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ὅτι C--------- ὅτι
ἠφανίσθη VSI-API3S- ἵζω ἀπο ἀνα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ιουδα N---GSM--- Ιουδα
ὅτι C--------- ὅτι
ἐπορεύθησαν VCI-API3P- πορεύομαι
ἐν P--------- ἐν
αἰχμαλωσίᾳ N1A-DSF--- αἰχμαλωσία

Eze 25:4
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
παραδίδωμι V8--PAI1S- δίδωμι παρα
ὑμᾶς RP--AP---- σύ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Κεδεμ N---GSM--- Κεδεμ
εἰς P--------- εἰς
κληρονομίαν N1A-ASF--- κληρονομία
καὶ C--------- καί
κατασκηνώσουσιν VF--FAI3P- σκηνόω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀπαρτίᾳ N1A-DSF--- ἀπαρτία
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
καὶ C--------- καί
δώσουσιν VF--FAI3P- δίδωμι
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
τὰ RA--APN--- ὁ
σκηνώματα N3M-APN--- σκήνωμα
αὐτῶν RD--GPM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
φάγονται VF--FMI3P- ἐσθίω
τοὺς RA--APM--- ὁ
καρπούς N2--APM--- καρπός
σου RP--GS---- σύ
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
πίονται VF--FMI3P- πίνω
τὴν RA--ASF--- ὁ
πιότητά N3T-ASF--- πιότης
σου RP--GS---- σύ

Eze 25:5
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
τοῦ RA--GSM--- ὁ
Αμμων N---GSM--- Αμμων
εἰς P--------- εἰς
νομὰς N1--APF--- νομή
καμήλων N2--GPM--- κάμηλος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Αμμων N---GSM--- Αμμων
εἰς P--------- εἰς
νομὴν N1--ASF--- νομή
προβάτων N2N-GPN--- πρόβατον
καὶ C--------- καί
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 25:6
διότι C--------- διότι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐκρότησας VAI-AAI2S- κροτέω
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
καὶ C--------- καί
ἐπεψόφησας VAI-AAI2S- ψοφέω ἐπι
τῷ RA--DSM--- ὁ
ποδί N3D-DSM--- πούς
σου RP--GS---- σύ
καὶ C--------- καί
ἐπέχαρας VAI-AAI2S- χαίρω ἐπι
ἐκ P--------- ἐκ
ψυχῆς N1--GSF--- ψυχή
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Eze 25:7
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
σε RP--AS---- σύ
εἰς P--------- εἰς
διαρπαγὴν N1--ASF--- διαρπαγή
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
καὶ C--------- καί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
σε RP--AS---- σύ
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
λαῶν N2--GPM--- λαός
καὶ C--------- καί
ἀπολῶ VF2-FAI1S- ὀλλύω ἀπο
σε RP--AS---- σύ
ἐκ P--------- ἐκ
