2Ch 1:1
ὀγδοήκοντα M--------- ὀγδοήκοντα
χιλιάδες N3D-NPF--- χιλίας

2Ch 17:16
καὶ C--------- καί
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
Αμασιας N1T-ASM--- Αμασιας
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ζαχρι N---GSM--- Ζαχρι
ὁ RA--NSM--- ὁ
προθυμούμενος V4--PMPNSM θυμόω προ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
διακόσιαι A1A-NPF--- διακόσιοι
χιλιάδες N3D-NPF--- χιλίας
δυνατοὶ A1--NPM--- δυνατός
δυνάμεως N3I-GSF--- δύναμις

2Ch 17:17
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Βενιαμιν N---GSM--- Βενιαμίν
δυνατὸς A1--NSM--- δυνατός
δυνάμεως N3I-GSF--- δύναμις
Ελιαδα N---NSM--- Ελιαδα
καὶ C--------- καί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
τοξόται N1--NPM--- τοξότης
καὶ C--------- καί
πελτασταὶ N1M-NPM--- πελταστής
διακόσιαι A1A-NPF--- διακόσιοι
χιλιάδες N3D-NPF--- χιλίας

2Ch 17:18
καὶ C--------- καί
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
Ιωζαβαδ N---NSM--- Ιωζαβαδ
καὶ C--------- καί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἑκατὸν M--------- ἑκατόν
ὀγδοήκοντα M--------- ὀγδοήκοντα
χιλιάδες N3D-NPF--- χιλίας
δυνατοὶ A1--NPM--- δυνατός
πολέμου N2--GSM--- πόλεμος

2Ch 17:19
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
λειτουργοῦντες V2--PAPNPM λειτουργέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἐκτὸς P--------- ἐκτός
ὧν RR--GPM--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
ταῖς RA--DPF--- ὁ
ὀχυραῖς A1A-DPF--- ὀχυρός
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία

2Ch 18:1
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τῷ RA--DSM--- ὁ
Ιωσαφατ N---DSM--- Ιωσαφατ
ἔτι D--------- ἔτι
πλοῦτος N2--NSM--- πλοῦτος
καὶ C--------- καί
δόξα N1S-NSF--- δόξα
πολλή A1--NSF--- πολύς
καὶ C--------- καί
ἐπεγαμβρεύσατο VAI-AMI3S- γαμβρεύω ἐπι
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
Αχααβ N---GSM--- Αχααβ

2Ch 18:2
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
διὰ P--------- διά
τέλους N3E-GSN--- τέλος
ἐτῶν N3E-GPN--- ἔτος
πρὸς P--------- πρός
Αχααβ N---ASM--- Αχααβ
εἰς P--------- εἰς
Σαμάρειαν N1A-ASF--- Σαμαρεία
καὶ C--------- καί
ἔθυσεν VAI-AAI3S- θύω
αὐτῷ RD--DSM--- αὐτός
Αχααβ N---NSM--- Αχααβ
πρόβατα N2N-APN--- πρόβατον
καὶ C--------- καί
μόσχους N2--APM--- μόσχος
πολλοὺς A1--APM--- πολύς
καὶ C--------- καί
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τῷ RA--DSM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἠπάτα V3I-IAI3S- ἀπατάω
αὐτὸν RD--ASM--- αὐτός
τοῦ RA--GSN--- ὁ
συναναβῆναι VZ--AAN--- βαίνω συν ἀνα
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
Ραμωθ N---AS---- Ραμωθ
τῆς RA--GSF--- ὁ
Γαλααδίτιδος N3D-GSF--- Γαλααδίτις

2Ch 18:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αχααβ N---NSM--- Αχααβ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
Ιωσαφατ N---ASM--- Ιωσαφατ
βασιλέα N3V-ASM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
πορεύσῃ VF--FAI2S- πορεύομαι
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
εἰς P--------- εἰς
Ραμωθ N---AS---- Ραμωθ
τῆς RA--GSF--- ὁ
Γαλααδίτιδος N3D-GSF--- Γαλααδίτις
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὡς X--------- ὡς
ἐγώ RP--NS---- ἐγώ
οὕτως D--------- οὕτως
καὶ C--------- καί
σύ RP--NS---- σύ
ὡς X--------- ὡς
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος

2Ch 18:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωσαφατ N---NSM--- Ιωσαφατ
πρὸς P--------- πρός
βασιλέα N3V-ASM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
ζήτησον VA--AAD2S- ζητέω
δὴ X--------- δή
σήμερον D--------- σήμερον
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

2Ch 18:5
καὶ C--------- καί
συνήγαγεν VBI-AAI3S- ἄγω συν
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
τετρακοσίους A1A-APM--- τετρακόσιοι
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
εἰ C--------- εἰ
πορευθῶ VC--APS1S- πορεύομαι
εἰς P--------- εἰς
Ραμωθ N---AS---- Ραμωθ
Γαλααδ N---AS---- Γαλαάδ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ἢ C--------- ἤ
ἐπίσχω VB--AAS1S- ἔχω ἐπι
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἀνάβαινε V1--PAD2S- βαίνω ἀνα
καὶ C--------- καί
δώσει VF--FAI3S- δίδωμι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

2Ch 18:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωσαφατ N---NSM--- Ιωσαφατ
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὧδε D--------- ὧδε
προφήτης N1M-NSM--- προφήτης
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἔτι D--------- ἔτι
καὶ C--------- καί
ἐπιζητήσομεν VF--FAI1P- ζητέω ἐπι
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός

2Ch 18:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
Ιωσαφατ N---ASM--- Ιωσαφατ
ἔτι D--------- ἔτι
ἀνὴρ N3--NSM--- ἀνήρ
εἷς M---NSM--- εἷς
τοῦ RA--GSN--- ὁ
ζητῆσαι VA--AAN--- ζητέω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
δι' P--------- διά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἐμίσησα VAI-AAI1S- μισέω
αὐτόν RD--ASM--- αὐτός
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
προφητεύων V1--PAPNSM προφητεύω
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
εἰς P--------- εἰς
ἀγαθά A1--APN--- ἀγαθός
ὅτι C--------- ὅτι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
κακά A1--APN--- κακός
οὗτος RD--NSM--- οὗτος
Μιχαιας N1T-NSM--- Μιχαιας
υἱὸς N2--NSM--- υἱός
Ιεμλα N---GSM--- Ιεμλα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωσαφατ N---NSM--- Ιωσαφατ
μὴ D--------- μή
λαλείτω V2--PAD3S- λαλέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
οὕτως D--------- οὕτως

2Ch 18:8
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
εὐνοῦχον N2--ASM--- εὐνοῦχος
ἕνα A3--ASN--- εἷς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τάχος N3--NSN--- τάχος
Μιχαιαν N1T-ASM--- Μιχαιας
υἱὸν N2--ASM--- υἱός
Ιεμλα N---GSM--- Ιεμλα

2Ch 18:9
καὶ C--------- καί
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
Ιωσαφατ N---NSM--- Ιωσαφατ
βασιλεὺς N3V-NSM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
καθήμενοι V5--PMPNPM ἧμαι κατα
ἕκαστος A1--NSM--- ἕκαστος
ἐπὶ P--------- ἐπί
θρόνου N2--GSM--- θρόνος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐνδεδυμένοι VM--XMPNPM δύω ἐν
στολὰς N1--APF--- στολή
καθήμενοι V5--PMPNPM ἧμαι κατα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
εὐρυχώρῳ A1B-DSM--- εὐρύχωρος
θύρας N1A-GSF--- θύρα
πύλης N1--GSF--- πύλη
Σαμαρείας N1A-GSF--- Σαμαρεία
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
ἐπροφήτευον V1I-IAI3P- προφητεύω
ἐναντίον P--------- ἐναντίον
αὐτῶν RD--GPM--- αὐτός

2Ch 18:10
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
Σεδεκιας N1T-NSM--- Σεδεκιας
υἱὸς N2--NSM--- υἱός
Χανανα N---GSM--- Χανανα
κέρατα N3T-APN--- κέρας
σιδηρᾶ A1C-APN--- σιδηροῦς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τούτοις RD--DPN--- οὗτος
κερατιεῖς VF2-FAI2S- κερατίζω
τὴν RA--ASF--- ὁ
Συρίαν N1A-ASF--- Συρία
ἕως P--------- ἕως
ἂν X--------- ἄν
συντελεσθῇ VS--APS3S- τελέω συν

2Ch 18:11
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
ἐπροφήτευον V1I-IAI3P- προφητεύω
οὕτως D--------- οὕτως
λέγοντες V1--PAPNPM λέγω
ἀνάβαινε V1--PAD2S- βαίνω ἀνα
εἰς P--------- εἰς
Ραμωθ N---AS---- Ραμωθ
Γαλααδ N---AS---- Γαλαάδ
καὶ C--------- καί
εὐοδωθήσῃ VC--FPI2S- εὐοδόω
καὶ C--------- καί
δώσει VF--FAI3S- δίδωμι
κύριος N2--NSM--- κύριος
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

2Ch 18:12
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἄγγελος N2--NSM--- ἄγγελος
ὁ RA--NSM--- ὁ
πορευθεὶς VC--APPNSM πορεύομαι
τοῦ RA--GSN--- ὁ
καλέσαι VA--AAN--- καλέω
τὸν RA--ASM--- ὁ
Μιχαιαν N1T-ASM--- Μιχαιας
ἐλάλησεν VAI-AAI3S- λαλέω
αὐτῷ RD--DSM--- αὐτός
λέγων V1--PAPNSM λέγω
ἰδοὺ I--------- ἰδού
ἐλάλησαν VAI-AAI3P- λαλέω
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
ἐν P--------- ἐν
στόματι N3M-DSN--- στόμα
ἑνὶ A3--DSN--- εἷς
ἀγαθὰ A1--APN--- ἀγαθός
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἔστωσαν V9--PAD3P- εἰμί
δὴ X--------- δή
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
σου RP--GS---- σύ
ὡς X--------- ὡς
ἑνὸς A3--GSM--- εἷς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
λαλήσεις VF--FAI2S- λαλέω
ἀγαθά A1--APN--- ἀγαθός

2Ch 18:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Μιχαιας N1T-NSM--- Μιχαιας
ζῇ V3--PAI3S- ζάω
κύριος N2--NSM--- κύριος
ὅτι C--------- ὅτι
ὃ RR--NSM--- ὅς
ἐὰν C--------- ἐάν
εἴπῃ VB--AAS3S- εἶπον
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πρός P--------- πρός
με RP--AS---- ἐγώ
αὐτὸ RD--NSN--- αὐτός
λαλήσω VF--FAI1S- λαλέω

2Ch 18:14
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
Μιχαια N1--NSM--- Μιχαια
εἰ C--------- εἰ
πορευθῶ VC--APS1S- πορεύομαι
εἰς P--------- εἰς
Ραμωθ N---AS---- Ραμωθ
Γαλααδ N---AS---- Γαλαάδ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ἢ C--------- ἤ
ἐπίσχω VB--AAS1S- ἔχω ἐπι
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἀνάβαινε V1--PAD2S- βαίνω ἀνα
καὶ C--------- καί
εὐοδώσεις VF--FAI2S- εὐοδόω
καὶ C--------- καί
δοθήσονται VC--FPI3P- δίδωμι
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
ὑμῶν RP--GP---- σύ

2Ch 18:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ποσάκις D--------- ποσάκις
ὁρκίζω V1--PAI1S- ὁρκίζω
σε RP--AS---- σύ
ἵνα C--------- ἵνα
μὴ D--------- μή
λαλήσῃς VA--AAS2S- λαλέω
πρός P--------- πρός
με RP--AS---- ἐγώ
πλὴν D--------- πλήν
ἀλήθειαν N1A-ASF--- ἀλήθεια
ἐν P--------- ἐν
ὀνόματι N3M-DSN--- ὄνομα
κυρίου N2--GSM--- κύριος

2Ch 18:16
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εἶδον VBI-AAI1S- ὁράω
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
διεσπαρμένους VM--XMPAPM σπείρω δια
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὄρεσιν N3E-DPN--- ὄρος
ὡς X--------- ὡς
πρόβατα N2N-APN--- πρόβατον
οἷς RR--DPN--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ποιμήν N3--NSM--- ποιμήν
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
οὐκ D--------- οὐ
ἔχουσιν V1--PAI3P- ἔχω
ἡγούμενον V2--PMPASM ἡγέομαι
ἀναστρεφέτωσαν V1--PAD3P- στρέφω ἀνα
ἕκαστος A1--NSM--- ἕκαστος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη

2Ch 18:17
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
Ιωσαφατ N---ASM--- Ιωσαφατ
οὐκ D--------- οὐ
εἶπά VAI-AAI1S- εἶπον
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
οὐ D--------- οὐ
προφητεύει V1--PAI3S- προφητεύω
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
ἀγαθά A1--APN--- ἀγαθός
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
κακά A1--APN--- κακός

2Ch 18:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὐχ D--------- οὐ
οὕτως D--------- οὕτως
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
εἶδον VBI-AAI1S- ὁράω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
καθήμενον V5--PMPASM ἧμαι κατα
ἐπὶ P--------- ἐπί
θρόνου N2--GSM--- θρόνος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
δύναμις N3I-NSF--- δύναμις
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εἱστήκει VXI-YAI3S- ἵστημι
ἐκ P--------- ἐκ
δεξιῶν A1A-GPM--- δεξιός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξ P--------- ἐκ
ἀριστερῶν A1A-GPM--- ἀριστερός
αὐτοῦ RD--GSM--- αὐτός

2Ch 18:19
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
τίς RI--NSM--- τίς
ἀπατήσει VF--FAI3S- ἀπατάω
τὸν RA--ASM--- ὁ
Αχααβ N---ASM--- Αχααβ
βασιλέα N3V-ASM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἀναβήσεται VF--FMI3S- βαίνω ἀνα
καὶ C--------- καί
πεσεῖται VF2-FMI3S- πίπτω
ἐν P--------- ἐν
Ραμωθ N---DS---- Ραμωθ
Γαλααδ N---DS---- Γαλαάδ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὗτος RD--NSM--- οὗτος
οὕτως D--------- οὕτως
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
εἶπεν VBI-AAI3S- εἶπον
οὕτως D--------- οὕτως

2Ch 18:20
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐγὼ RP--NS---- ἐγώ
ἀπατήσω VF--FAI1S- ἀπατάω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τίνι RI--DSN--- τίς

2Ch 18:21
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐξελεύσομαι VF--FMI1S- ἔρχομαι ἐκ
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
πνεῦμα N3M-NSN--- πνεῦμα
ψευδὲς A3H-NSN--- ψευδής
ἐν P--------- ἐν
στόματι N3M-DSN--- στόμα
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἀπατήσεις VF--FAI2S- ἀπατάω
καὶ C--------- καί
δυνήσῃ VF--FMI2S- δύναμαι
ἔξελθε VB--AAD2S- ἔρχομαι ἐκ
καὶ C--------- καί
ποίησον VA--AAD2S- ποιέω
οὕτως D--------- οὕτως

2Ch 18:22
καὶ C--------- καί
νῦν D--------- νῦν
ἰδοὺ I--------- ἰδού
ἔδωκεν VAI-AAI3S- δίδωμι
κύριος N2--NSM--- κύριος
πνεῦμα N3M-ASN--- πνεῦμα
ψευδὲς A3H-ASN--- ψευδής
ἐν P--------- ἐν
στόματι N3M-DSN--- στόμα
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
σου RP--GS---- σύ
τούτων RD--GPM--- οὗτος
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἐλάλησεν VAI-AAI3S- λαλέω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
κακά A1--APN--- κακός

2Ch 18:23
καὶ C--------- καί
ἤγγισεν VAI-AAI3S- ἐγγίζω
Σεδεκιας N1T-NSM--- Σεδεκιας
υἱὸς N2--NSM--- υἱός
Χανανα N---GSM--- Χανανα
καὶ C--------- καί
ἐπάταξεν VAI-AAI3S- πατάσσω
τὸν RA--ASM--- ὁ
Μιχαιαν N1--ASM--- Μιχαιας
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
σιαγόνα N3--ASF--- σιαγών
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ποίᾳ A1A-DSF--- ποῖος
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
παρῆλθεν VBI-AAI3S- ἔρχομαι παρα
πνεῦμα N3M-NSN--- πνεῦμα
κυρίου N2--GSM--- κύριος
παρ' P--------- παρά
ἐμοῦ RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
λαλῆσαι VA--AAN--- λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ

2Ch 18:24
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Μιχαιας N1T-NSM--- Μιχαιας
ἰδοὺ I--------- ἰδού
ὄψῃ VF--FMI2S- ὁράω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
εἰσελεύσῃ VF--FMI2S- ἔρχομαι εἰς
ταμίειον N2N-ASN--- ταμιεῖον
ἐκ P--------- ἐκ
ταμιείου N2N-GSN--- ταμιεῖον
τοῦ RA--GSN--- ὁ
κατακρυβῆναι VD--APN--- κρύπτω κατα

2Ch 18:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
λάβετε VB--AAD2P- λαμβάνω
τὸν RA--ASM--- ὁ
Μιχαιαν N1T-ASM--- Μιχαιας
καὶ C--------- καί
ἀποστρέψατε VA--AAD2P- στρέφω ἀπο
πρὸς P--------- πρός
Εμηρ N---ASM--- Εμηρ
ἄρχοντα N3--ASM--- ἄρχων
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
πρὸς P--------- πρός
Ιωας N---ASM--- Ιωας
ἄρχοντα N3--ASM--- ἄρχων
υἱὸν N2--ASM--- υἱός
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

2Ch 18:26
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ἀπόθεσθε VE--AMD2P- τίθημι ἀπο
τοῦτον RD--ASM--- οὗτος
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
φυλακῆς N1--GSF--- φυλακή
καὶ C--------- καί
ἐσθιέτω V1--PAD3S- ἐσθίω
ἄρτον N2--ASM--- ἄρτος
θλίψεως N3I-GSF--- θλῖψις
καὶ C--------- καί
ὕδωρ N3--ASN--- ὕδωρ
θλίψεως N3I-GSF--- θλῖψις
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι
με RP--AS---- ἐγώ
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη

2Ch 18:27
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Μιχαιας N1T-NSM--- Μιχαιας
ἐὰν C--------- ἐάν
ἐπιστρέφων V1--PAPNSM στρέφω ἐπι
ἐπιστρέψῃς VA--AAS2S- στρέφω ἐπι
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη
οὐκ D--------- οὐ
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ
ἀκούσατε VA--AAD2P- ἀκούω
λαοὶ N2--NPM--- λαός
πάντες A3--NPM--- πᾶς

2Ch 18:28
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
Ιωσαφατ N---NSM--- Ιωσαφατ
βασιλεὺς N3V-NSM--- βασιλεύς
Ιουδα N---GSM--- Ἰουδά
εἰς P--------- εἰς
Ραμωθ N---AS---- Ραμωθ
Γαλααδ N---AS---- Γαλαάδ

2Ch 18:29
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
Ιωσαφατ N---ASM--- Ιωσαφατ
κατακαλύψομαι VF--FMI1S- καλύπτω κατα
καὶ C--------- καί
εἰσελεύσομαι VF--FMI1S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
πόλεμον N2--ASM--- πόλεμος
καὶ C--------- καί
σὺ RP--NS---- σύ
