Mic 1:1
ἔθνεσιν N3E-DPN--- ἔθνος
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
λαῶν N2--GPM--- λαός
πολλῶν A1--GPM--- πολύς
ὡς C--------- ὡς
δρόσος N2--NSF--- δρόσος
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
πίπτουσα V1--PAPNSF πίπτω
καὶ C--------- καί
ὡς C--------- ὡς
ἄρνες N3--NPM--- ἀρνός
ἐπὶ P--------- ἐπί
ἄγρωστιν N3I-ASF--- ἄγρωστις
ὅπως C--------- ὅπως
μὴ D--------- μή
συναχθῇ VQ--APS3S- ἄγω συν
μηδεὶς A3P-NSM--- μηδείς
μηδὲ C--------- μηδέ
ὑποστῇ VH--AAS3S- ἵστημι ὑπο
ἐν P--------- ἐν
υἱοῖς N2--DPM--- υἱός
ἀνθρώπων N2--GPM--- ἄνθρωπος

Mic 5:7
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
ὑπόλειμμα N3M-NSN--- ὑπόλειμμα
τοῦ RA--GSM--- ὁ
Ιακωβ N---GSM--- Ἰακώβ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
λαῶν N2--GPM--- λαός
πολλῶν A1--GPM--- πολύς
ὡς C--------- ὡς
λέων N3W-NSM--- λέων
ἐν P--------- ἐν
κτήνεσιν N3E-DPN--- κτῆνος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δρυμῷ N2--DSM--- δρυμός
καὶ C--------- καί
ὡς C--------- ὡς
σκύμνος N2--NSM--- σκύμνος
ἐν P--------- ἐν
ποιμνίοις N2N-DPN--- ποίμνιον
προβάτων N2N-GPN--- πρόβατον
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
ὅταν D--------- ὅταν
διέλθῃ VB--AAS3S- ἔρχομαι δια
καὶ C--------- καί
διαστείλας VA--AAPNSM στέλλω δια
ἁρπάσῃ VA--AAS3S- ἁρπάζω
καὶ C--------- καί
μὴ D--------- μή
ᾖ V9--PAS3S- εἰμί
ὁ RA--NSM--- ὁ
ἐξαιρούμενος V2--PMPNSM αἱρέω ἐκ

Mic 5:8
ὑψωθήσεται VC--FPI3S- ὑψόω
ἡ RA--NSF--- ὁ
χείρ N3--NSF--- χείρ
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
θλίβοντάς V1--PAPAPM θλίβω
σε RP--AS---- σύ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἐχθροί N2--NPM--- ἐχθρός
σου RP--GS---- σύ
ἐξολεθρευθήσονται VC--FPI3P- ὀλεθρεύω ἐκ

Mic 5:9
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
τοὺς RA--APM--- ὁ
ἵππους N2--APM--- ἵππος
σου RP--GS---- σύ
ἐκ P--------- ἐκ
μέσου A1--GSN--- μέσος
σου RP--GS---- σύ
καὶ C--------- καί
ἀπολῶ VF2-FAI1S- ὀλλύω ἀπο
τὰ RA--APN--- ὁ
ἅρματά N3M-APN--- ἅρμα
σου RP--GS---- σύ

Mic 5:10
καὶ C--------- καί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
σου RP--GS---- σύ
καὶ C--------- καί
ἐξαρῶ VF2-FAI1S- αἴρω ἐκ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὀχυρώματά N3M-APN--- ὀχύρωμα
σου RP--GS---- σύ

Mic 5:11
καὶ C--------- καί
ἐξαρῶ VF2-FAI1S- αἴρω ἐκ
τὰ RA--APN--- ὁ
φάρμακά N2N-APN--- φάρμακον
σου RP--GS---- σύ
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
σου RP--GS---- σύ
καὶ C--------- καί
ἀποφθεγγόμενοι V1--PMPNPM φθέγγομαι ἀπο
οὐκ D--------- οὐ
ἔσονται VF--FMI3P- εἰμί
ἐν P--------- ἐν
σοί RP--DS---- σύ

Mic 5:12
καὶ C--------- καί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
τὰ RA--APN--- ὁ
γλυπτά A1--APN--- γλυπτός
σου RP--GS---- σύ
καὶ C--------- καί
τὰς RA--APF--- ὁ
στήλας N1--APF--- στήλη
σου RP--GS---- σύ
ἐκ P--------- ἐκ
μέσου A1--GSN--- μέσος
σου RP--GS---- σύ
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
μὴ D--------- μή
προσκυνήσῃς VA--AAS2S- κυνέω προς
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
σου RP--GS---- σύ

Mic 5:13
καὶ C--------- καί
ἐκκόψω VF--FAI1S- κόπτω ἐκ
τὰ RA--APN--- ὁ
ἄλση N3E-APN--- ἄλσος
σου RP--GS---- σύ
ἐκ P--------- ἐκ
μέσου A1--GSN--- μέσος
σου RP--GS---- σύ
καὶ C--------- καί
ἀφανιῶ VF2-FAI1S- ἵζω ἀπο ἀνα
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
σου RP--GS---- σύ

Mic 5:14
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
ἐν P--------- ἐν
ὀργῇ N1--DSF--- ὀργή
καὶ C--------- καί
ἐν P--------- ἐν
θυμῷ N2--DSM--- θυμός
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
οὐκ D--------- οὐ
εἰσήκουσαν VAI-AAI3P- ἀκούω εἰς

Mic 6:1
ἀκούσατε VA--AAD2P- ἀκούω
δὴ X--------- δή
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
κύριος N2--NSM--- κύριος
εἶπεν VBI-AAI3S- εἶπον
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
κρίθητι VC--APD2S- κρίνω
πρὸς P--------- πρός
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
καὶ C--------- καί
ἀκουσάτωσαν VA--AAD3P- ἀκούω
οἱ RA--NPM--- ὁ
βουνοὶ N2--NPM--- βουνός
φωνήν N1--ASF--- φωνή
σου RP--GS---- σύ

Mic 6:2
ἀκούσατε VA--AAD2P- ἀκούω
βουνοί N2--NPM--- βουνός
τὴν RA--ASF--- ὁ
κρίσιν N3I-ASF--- κρίσις
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
φάραγγες N3G-NPF--- φάραγξ
θεμέλια N2N-APN--- θεμέλιον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅτι C--------- ὅτι
κρίσις N3I-NSF--- κρίσις
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
διελεγχθήσεται VQ--FPI3S- ἐλέγχω δια

Mic 6:3
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
τί RI--ASN--- τίς
ἐποίησά VAI-AAI1S- ποιέω
σοι RP--DS---- σύ
ἢ C--------- ἤ
τί RI--ASN--- τίς
ἐλύπησά VAI-AAI1S- λυπέω
σε RP--AS---- σύ
ἢ C--------- ἤ
τί RI--ASN--- τίς
παρηνώχλησά VAI-AAI1S- ὀχλέω παρα ἐν
σοι RP--DS---- σύ
ἀποκρίθητί VC--APD2S- κρίνω ἀπο
μοι RP--DS---- ἐγώ

Mic 6:4
διότι C--------- διότι
ἀνήγαγόν VBI-AAI1S- ἄγω ἀνα
σε RP--AS---- σύ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐξ P--------- ἐκ
οἴκου N2--GSM--- οἶκος
δουλείας N1A-GSF--- δουλεία
ἐλυτρωσάμην VAI-AMI1S- λυτρόω
σε RP--AS---- σύ
καὶ C--------- καί
ἐξαπέστειλα VAI-AAI1S- στέλλω ἐκ ἀπο
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
σου RP--GS---- σύ
τὸν RA--ASM--- ὁ
Μωυσῆν N1M-ASM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---ASM--- Ἀαρών
καὶ C--------- καί
Μαριαμ N---ASF--- Μαριαμ

Mic 6:5
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
μνήσθητι VS--APD2S- μιμνήσκω
δὴ X--------- δή
τί RI--ASN--- τίς
ἐβουλεύσατο VAI-AMI3S- βουλεύω
κατὰ P--------- κατά
σοῦ RP--GS---- σύ
Βαλακ N---NSM--- Βαλακ
βασιλεὺς N3V-NSM--- βασιλεύς
Μωαβ N---GSF--- Μωαβ
καὶ C--------- καί
τί RI--ASN--- τίς
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
αὐτῷ RD--DSM--- αὐτός
Βαλααμ N---NSM--- Βαλααμ
υἱὸς N2--NSM--- υἱός
τοῦ RA--GSM--- ὁ
Βεωρ N---GSM--- Βεωρ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
σχοίνων N2--GPM--- σχοίνος
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
Γαλγαλ N---GS---- Γαλγαλ
ὅπως C--------- ὅπως
γνωσθῇ VS--APS3S- γιγνώσκω
ἡ RA--NSF--- ὁ
δικαιοσύνη N1--NSF--- δικαιοσύνη
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

Mic 6:6
ἐν P--------- ἐν
τίνι RI--DSN--- τίς
καταλάβω VB--AAS1S- λαμβάνω κατα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἀντιλήμψομαι VF--FMI1S- λαμβάνω ἀντι
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ
ὑψίστου A1--GSM--- ὕψιστος
εἰ C--------- εἰ
καταλήμψομαι VF--FMI1S- λαμβάνω κατα
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
ὁλοκαυτώμασιν N3M-DPN--- ὁλοκαύτωμα
ἐν P--------- ἐν
μόσχοις N2--DPM--- μόσχος
ἐνιαυσίοις A1A-DPM--- ἐνιαύσιος

Mic 6:7
εἰ C--------- εἰ
προσδέξεται VF--FMI3S- δέχομαι προς
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
χιλιάσιν N3D-DPF--- χιλιάς
κριῶν N2--GPM--- κριός
ἢ C--------- ἤ
ἐν P--------- ἐν
μυριάσιν N3D-DPF--- μυριάς
χειμάρρων N2--GPM--- χειμάρρους
πιόνων N3N-GPM--- πίων
εἰ C--------- εἰ
δῶ VO--AAS1S- δίδωμι
πρωτότοκά A1B-APN--- πρωτότοκος
μου RP--GS---- ἐγώ
ἀσεβείας N1A-GSF--- ἀσέβεια
καρπὸν N2--ASM--- καρπός
κοιλίας N1A-GSF--- κοιλία
μου RP--GS---- ἐγώ
ὑπὲρ P--------- ὑπέρ
ἁμαρτίας N1A-GSF--- ἁμαρτία
ψυχῆς N1--GSF--- ψυχή
μου RP--GS---- ἐγώ

Mic 6:8
εἰ C--------- εἰ
ἀνηγγέλη VDI-API3S- ἀγγέλλω ἀνα
σοι RP--DS---- σύ
ἄνθρωπε N2--VSM--- ἄνθρωπος
τί RI--ASN--- τίς
καλόν A1--ASN--- καλός
ἢ C--------- ἤ
τί RI--ASN--- τίς
κύριος N2--NSM--- κύριος
ἐκζητεῖ V2--PAI3S- ζητέω ἐκ
παρὰ P--------- παρά
σοῦ RP--GS---- σύ
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τοῦ RA--GSN--- ὁ
ποιεῖν V2--PAN--- ποιέω
κρίμα N3M-ASN--- κρίμα
καὶ C--------- καί
ἀγαπᾶν V3--PAN--- ἀγαπάω
ἔλεον N3E-ASN--- ἔλεος
καὶ C--------- καί
ἕτοιμον A1--ASM--- ἕτοιμος
εἶναι V9--PAN--- εἰμί
τοῦ RA--GSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
μετὰ P--------- μετά
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
σου RP--GS---- σύ

Mic 6:9
φωνὴ N1--NSF--- φωνή
κυρίου N2--GSM--- κύριος
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
ἐπικληθήσεται VC--FPI3S- καλέω ἐπι
καὶ C--------- καί
σώσει VF--FAI3S- σώζω
φοβουμένους V2--PMPAPM φοβέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
ἄκουε V1--PAD2S- ἀκούω
φυλή N1--NSF--- φυλή
καὶ C--------- καί
τίς RI--NSM--- τίς
κοσμήσει VF--FAI3S- κοσμέω
πόλιν N3I-ASF--- πόλις

Mic 6:10
μὴ D--------- μή
πῦρ N3--NSN--- πῦρ
καὶ C--------- καί
οἶκος N2--NSM--- οἶκος
ἀνόμου A1B-GSM--- ἄνομος
θησαυρίζων V1--PAPNSM θησαυρίζω
θησαυροὺς N2--APM--- θησαυρός
ἀνόμους A1B-APM--- ἄνομος
καὶ C--------- καί
μετὰ P--------- μετά
ὕβρεως N3I-GSF--- ὕβρις
ἀδικία N1A-NSF--- ἀδικία

Mic 6:11
εἰ C--------- εἰ
δικαιωθήσεται VC--FPI3S- δικαιόω
ἐν P--------- ἐν
ζυγῷ N2--DSM--- ζυγός
ἄνομος A1B-NSM--- ἄνομος
καὶ C--------- καί
ἐν P--------- ἐν
μαρσίππῳ N2--DSM--- μάρσιππος
στάθμια N2N-NPN--- στάθμιον
δόλου N2--GSM--- δόλος

Mic 6:12
ἐξ P--------- ἐκ
ὧν RR--GPM--- ὅς
τὸν RA--ASM--- ὁ
πλοῦτον N2--ASM--- πλοῦτος
αὐτῶν RD--GPM--- αὐτός
ἀσεβείας N1A-GSF--- ἀσέβεια
ἔπλησαν VAI-AAI3P- πίμπλημι
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
αὐτὴν RD--ASF--- αὐτός
ἐλάλουν V2I-IAI3P- λαλέω
ψευδῆ A3H-APN--- ψευδής
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γλῶσσα N1S-NSF--- γλῶσσα
αὐτῶν RD--GPM--- αὐτός
ὑψώθη VCI-API3S- ὑψόω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στόματι N3M-DSN--- στόμα
αὐτῶν RD--GPM--- αὐτός

Mic 6:13
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἄρξομαι VF--FMI1S- ἄρχω
τοῦ RA--GSN--- ὁ
πατάξαι VA--AAN--- πατάσσω
σε RP--AS---- σύ
ἀφανιῶ VF2-FAI1S- ἵζω ἀπο ἀνα
σε RP--AS---- σύ
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
σου RP--GS---- σύ

Mic 6:14
σὺ RP--NS---- σύ
φάγεσαι VF--FMI2S- ἐσθίω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐμπλησθῇς VS--APS2S- πίμπλημι ἐν
καὶ C--------- καί
σκοτάσει VF--FAI2S- σκοτάζω
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
καὶ C--------- καί
ἐκνεύσει VF--FAI3S- νεύω ἐκ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
διασωθῇς VC--APS2S- σώζω δια
καὶ C--------- καί
ὅσοι A1--NPM--- ὅσος
ἐὰν C--------- ἐάν
διασωθῶσιν VC--APS3P- σώζω δια
εἰς P--------- εἰς
ῥομφαίαν N1A-ASF--- ῥομφαία
παραδοθήσονται VC--FPI3P- δίδωμι παρα

Mic 6:15
σὺ RP--NS---- σύ
σπερεῖς VF2-FAI2S- σπείρω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἀμήσῃς VA--AAS2S- ἀμάω
σὺ RP--NS---- σύ
πιέσεις VF--FAI2S- πιέζω
ἐλαίαν N1A-ASF--- ἐλαία
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἀλείψῃ VA--AAS3S- ἀλείφω
ἔλαιον N2N-ASN--- ἔλαιον
καὶ C--------- καί
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
πίητε VB--AAS2P- πίνω
καὶ C--------- καί
ἀφανισθήσεται VS--FPI3S- ἵζω ἀπο ἀνα
νόμιμα A1--APN--- νόμιμος
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ

Mic 6:16
καὶ C--------- καί
ἐφύλαξας VAI-AAI2S- φυλάσσω
τὰ RA--APN--- ὁ
δικαιώματα N3M-APN--- δικαίωμα
Ζαμβρι N---GS---- Ζαμβρι
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
οἴκου N2--GSM--- οἶκος
Αχααβ N---GSM--- Αχααβ
καὶ C--------- καί
ἐπορεύθητε VCI-API2P- πορεύομαι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
βουλαῖς N1--DPF--- βουλή
αὐτῶν RD--GPM--- αὐτός
ὅπως C--------- ὅπως
παραδῶ VO--AAS1S- δίδωμι παρα
σε RP--AS---- σύ
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
συρισμόν N2--ASM--- συρισμός
καὶ C--------- καί
ὀνείδη N3E-APN--- ὄνειδος
λαῶν N2--GPM--- λαός
λήμψεσθε VF--FMI2P- λαμβάνω

Mic 7:1
οἴμμοι I--------- οἴμμοι
ὅτι C--------- ὅτι
ἐγενόμην VBI-AMI1S- γίγνομαι
ὡς C--------- ὡς
συνάγων V1--PAPNSM ἄγω συν
καλάμην N1--ASF--- καλάμη
ἐν P--------- ἐν
ἀμήτῳ N2--DSM--- ἀμητός
καὶ C--------- καί
ὡς C--------- ὡς
ἐπιφυλλίδα N3D-ASF--- ἐπιφυλλίς
ἐν P--------- ἐν
τρυγήτῳ N2--DSM--- τρύγητος
οὐχ D--------- οὐ
ὑπάρχοντος V1--PAPGSM ἄρχω ὑπο
βότρυος N3U-GSM--- βότρυς
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
τὰ RA--APN--- ὁ
πρωτόγονα A1B-APN--- πρωτόγονος
οἴμμοι I--------- οἴμμοι
ψυχή N1--NSF--- ψυχή

Mic 7:2
ὅτι C--------- ὅτι
ἀπόλωλεν VX--XAI3S- ὀλλύω ἀπο
εὐλαβὴς A3H-NSM--- εὐλαβής
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
κατορθῶν V4--PAPNSM ὀρθόω κατα
ἐν P--------- ἐν
ἀνθρώποις N2--DPM--- ἄνθρωπος
οὐχ D--------- οὐ
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
πάντες A3--NPM--- πᾶς
εἰς P--------- εἰς
αἵματα N3M-APN--- αἷμα
δικάζονται V1--PMI3P- δικάζω
ἕκαστος A1--NSM--- ἕκαστος
τὸν RA--ASM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
ἐκθλίβουσιν V1--PAI3P- θλίβω ἐκ
ἐκθλιβῇ V1--PAS3S- θλίβω ἐκ

Mic 7:3
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
κακὸν A1--ASN--- κακός
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἑτοιμάζουσιν V1--PAI3P- ἑτοιμάζω
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
αἰτεῖ V2--PAI3S- αἰτέω
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κριτὴς N1M-NSM--- κριτής
εἰρηνικοὺς A1--APM--- εἰρηνικός
λόγους N2--APM--- λόγος
ἐλάλησεν VAI-AAI3S- λαλέω
καταθύμιον A1B-ASN--- καταθύμιος
ψυχῆς N1--GSF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
ἐξελοῦμαι VF2-FMI1S- αἱρέω ἐκ

Mic 7:4
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
σὴς A1--GSF--- σός
ἐκτρώγων V1--PAPNSM τρώγω ἐκ
καὶ C--------- καί
βαδίζων V1--PAPNSM βαδίζω
ἐπὶ P--------- ἐπί
κανόνος N3N-GSM--- κανών
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
σκοπιᾶς N1A-GSF--- σκοπιά
οὐαὶ I--------- οὐαί
οὐαί I--------- οὐαί
αἱ RA--NPF--- ὁ
ἐκδικήσεις N3I-NPF--- ἐκδίκησις
σου RP--GS---- σύ
ἥκασιν V1--PAI3P- ἥκω
νῦν D--------- νῦν
ἔσονται VF--FMI3P- εἰμί
κλαυθμοὶ N2--NPM--- κλαυθμός
αὐτῶν RD--GPM--- αὐτός

Mic 7:5
μὴ D--------- μή
καταπιστεύετε V1--PAI2P- πιστεύω κατα
ἐν P--------- ἐν
φίλοις A1--DPM--- φίλος
καὶ C--------- καί
μὴ D--------- μή
ἐλπίζετε V1--PAI2P- ἐλπίζω
ἐπὶ P--------- ἐπί
ἡγουμένοις V2--PMPDPM ἡγέομαι
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
συγκοίτου A1B-GSF--- συγκοίτος
σου RP--GS---- σύ
φύλαξαι VA--AMD2S- φυλάσσω
τοῦ RA--GSN--- ὁ
ἀναθέσθαι VE--AMN--- τίθημι ἀνα
τι RI--ASN--- τις
αὐτῇ RD--DSF--- αὐτός

Mic 7:6
διότι C--------- διότι
υἱὸς N2--NSM--- υἱός
ἀτιμάζει V1--PAI3S- ἀτιμάζω
πατέρα N3--ASM--- πατήρ
θυγάτηρ N3--NSF--- θυγάτηρ
ἐπαναστήσεται VF--FMI3S- ἵστημι ἐπι ἀνα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
αὐτῆς RD--GSF--- αὐτός
νύμφη N1--NSF--- νύμφη
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πενθερὰν N1A-ASF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
ἐχθροὶ N2--NPM--- ἐχθρός
ἀνδρὸς N3--GSM--- ἀνήρ
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός

Mic 7:7
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἐπιβλέψομαι VF--FMI1S- βλέπω ἐπι
ὑπομενῶ VF2-FAI1S- μένω ὑπο
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
τῷ RA--DSM--- ὁ
σωτῆρί N3H-DSM--- σωτήρ
μου RP--GS---- ἐγώ
εἰσακούσεταί VF--FMI3S- ἀκούω εἰς
μου RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
μου RP--GS---- ἐγώ

Mic 7:8
μὴ D--------- μή
ἐπίχαιρέ V1--PAD2S- χαίρω ἐπι
μοι RP--DS---- ἐγώ
ἡ RA--NSF--- ὁ
ἐχθρά N1A-NSF--- ἔχθρα
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
πέπτωκα VX--XAI1S- πίπτω
καὶ C--------- καί
ἀναστήσομαι VF--FMI1S- ἵστημι ἀνα
διότι C--------- διότι
ἐὰν C--------- ἐάν
καθίσω VF--FAI1S- ἵζω κατα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σκότει N3E-DSN--- σκότος
κύριος N2--NSM--- κύριος
φωτιεῖ VF2-FAI3S- φωτίζω
μοι RP--DS---- ἐγώ

Mic 7:9
ὀργὴν N1--ASF--- ὀργή
κυρίου N2--GSM--- κύριος
ὑποίσω VF--FAI1S- φέρω ὑπο
ὅτι C--------- ὅτι
ἥμαρτον VBI-AAI1S- ἁμαρτάνω
αὐτῷ RD--DSM--- αὐτός
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
δικαιῶσαι VA--AAN--- δικαιόω
αὐτὸν RD--ASM--- αὐτός
τὴν RA--ASF--- ὁ
δίκην N1--ASF--- δίκη
μου RP--GS---- ἐγώ
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
τὸ RA--ASN--- ὁ
κρίμα N3M-ASN--- κρίμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐξάξει VF--FAI3S- ἄγω ἐκ
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
ὄψομαι VF--FMI1S- ὁράω
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
αὐτοῦ RD--GSM--- αὐτός

Mic 7:10
καὶ C--------- καί
ὄψεται VF--FMI3S- ὁράω
ἡ RA--NSF--- ὁ
ἐχθρά N1A-NSF--- ἔχθρα
μου RP--GS---- ἐγώ
καὶ C--------- καί
περιβαλεῖται VF2-FMI3S- βάλλω περι
αἰσχύνην N1--ASF--- αἰσχύνη
ἡ RA--NSF--- ὁ
λέγουσα V1--PAPNSF λέγω
πρός P--------- πρός
με RP--AS---- ἐγώ
ποῦ D--------- ποῦ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
μου RP--GS---- ἐγώ
ἐπόψονται VF--FMI3P- ὁράω ἐπι
αὐτήν RD--ASF--- αὐτός
νῦν D--------- νῦν
ἔσται V9--FMI3S- εἰμί
εἰς P--------- εἰς
καταπάτημα N3M-ASN--- καταπάτημα
ὡς C--------- ὡς
πηλὸς N2--NSM--- πηλός
