Job 1:1
ἡ RA--NSF--- ὁ
φλόξ N3G-NSF--- φλόξ

Job 18:6
τὸ RA--NSN--- ὁ
φῶς N3T-NSN--- φῶς
αὐτοῦ RD--GSM--- αὐτός
σκότος N3E-NSN--- σκότος
ἐν P--------- ἐν
διαίτῃ N1S-DSF--- δίαιτα
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
λύχνος N2--NSM--- λύχνος
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
σβεσθήσεται VS--FPI3S- σβέννυμι

Job 18:7
θηρεύσαισαν VA--AAO3P- θηρεύω
ἐλάχιστοι A1--NPMS-- ἐλαχύς
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
αὐτοῦ RD--GSM--- αὐτός
σφάλαι VB--AAO3S- σφάλλω
δὲ X--------- δέ
αὐτοῦ RD--GSM--- αὐτός
ἡ RA--NSF--- ὁ
βουλή N1--NSF--- βουλή

Job 18:8
ἐμβέβληται VM--XMI3S- βάλλω ἐν
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
ποὺς N3D-NSM--- πούς
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
παγίδι N3D-DSF--- παγίς
ἐν P--------- ἐν
δικτύῳ N2N-DSN--- δίκτυον
ἑλιχθείη VQ--APO3S- ἑλίσσω

Job 18:9
ἔλθοισαν VB--AAO3P- ἔρχομαι
δὲ X--------- δέ
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
παγίδες N3D-NPF--- παγίς
κατισχύσει VF--FAI3S- ἰσχύω κατα
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
διψῶντας V3--PAPAPM διψάω

Job 18:10
κέκρυπται VP--XMI3S- κρύπτω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
σχοινίον N2--NSN--- σχοινίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σύλλημψις N3I-NSF--- σύλληψις
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τρίβων N2--GPM--- τρίβος

Job 18:11
κύκλῳ N2--DSM--- κύκλος
ὀλέσαισαν VA--AAO3P- ὄλλυμι
αὐτὸν RD--ASM--- αὐτός
ὀδύναι N1--NPF--- ὀδύνη
πολλοὶ A1--NPM--- πολύς
δὲ X--------- δέ
περὶ P--------- περί
πόδας N3D-APM--- πούς
αὐτοῦ RD--GSM--- αὐτός
ἔλθοισαν VB--AAO3P- ἔρχομαι
ἐν P--------- ἐν
λιμῷ N2--DSM--- λιμός
στενῷ A1--DSM--- στενός

Job 18:12
πτῶμα N3M-NSN--- πτῶμα
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
ἡτοίμασται VT--XPI3S- ἑτοιμάζω
ἐξαίσιον A1B-NSN--- ἐξαίσιος

Job 18:13
βρωθείησαν VC--APO3P- βιβρώσκω
αὐτοῦ RD--GSM--- αὐτός
κλῶνες N3W-NPM--- κλών
ποδῶν N3D-GPM--- πούς
κατέδεται VF--FMI3S- ἐσθίω κατα
δὲ X--------- δέ
τὰ RA--APN--- ὁ
ὡραῖα A1A-APN--- ὡραῖος
αὐτοῦ RD--GSM--- αὐτός
θάνατος N2--NSM--- θάνατος

Job 18:14
ἐκραγείη VD--APO3S- ῥήγνυμι ἐκ
δὲ X--------- δέ
ἐκ P--------- ἐκ
διαίτης N1S-GSF--- δίαιτα
αὐτοῦ RD--GSM--- αὐτός
ἴασις N3I-NSF--- ἴασις
σχοίη VB--AAO3S- ἔχω
δὲ X--------- δέ
αὐτὸν RD--ASM--- αὐτός
ἀνάγκη N1--NSF--- ἀνάγκη
αἰτίᾳ N1A-DSF--- αἰτία
βασιλικῇ A1--DSF--- βασιλικός

Job 18:15
κατασκηνώσει VF--FAI3S- σκηνόω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
νυκτὶ N3--DSF--- νύξ
αὐτοῦ RD--GSM--- αὐτός
κατασπαρήσονται VD--FPI3P- σπείρω κατα
τὰ RA--NPN--- ὁ
εὐπρεπῆ A3H-NPN--- εὐπρεπής
αὐτοῦ RD--GSM--- αὐτός
θείῳ N2N-DSN--- θεῖον

Job 18:16
ὑποκάτωθεν D--------- ὑποκάτωθεν
αἱ RA--NPF--- ὁ
ῥίζαι N1S-NPF--- ῥίζα
αὐτοῦ RD--GSM--- αὐτός
ξηρανθήσονται VC--FPI3P- ξηραίνω
καὶ C--------- καί
ἐπάνωθεν D--------- ἐπάνωθεν
ἐπιπεσεῖται VF2-FMI3S- πίπτω ἐπι
θερισμὸς N2--NSM--- θερισμός
αὐτοῦ RD--GSM--- αὐτός

Job 18:17
τὸ RA--NSN--- ὁ
μνημόσυνον N2N-NSN--- μνημόσυνον
αὐτοῦ RD--GSM--- αὐτός
ἀπόλοιτο VB--AMO3S- ὀλλύω ἀπο
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
ὄνομα N3M-NSN--- ὄνομα
αὐτῷ RD--DSM--- αὐτός
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
ἐξωτέρω D--------- ἔξωτέρος

Job 18:18
ἀπώσειεν VA--AAO3S- ὠθέω ἀπο
αὐτὸν RD--ASM--- αὐτός
ἐκ P--------- ἐκ
φωτὸς N3T-GSN--- φῶς
εἰς P--------- εἰς
σκότος N3E-ASN--- σκότος

Job 18:19
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἐπίγνωστος A1B-NSM--- ἐπίγνωστος
ἐν P--------- ἐν
λαῷ N2--DSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
οὐδὲ C--------- οὐδέ
σεσῳσμένος VT--XPPNSM σώζω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑπ' P--------- ὑπό
οὐρανὸν N2--ASM--- οὐρανός
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
ἀλλ' C--------- ἀλλά
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
αὐτοῦ RD--GSM--- αὐτός
ζήσονται VF--FMI3P- ζάω
ἕτεροι A1A-NPM--- ἕτερος

Job 18:20
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
ἐστέναξαν VAI-AAI3P- στενάζω
ἔσχατοι A1--NPM--- ἔσχατος
πρώτους A1--APMS-- πρῶτος
δὲ X--------- δέ
ἔσχεν VBI-AAI3S- ἔχω
θαῦμα N3M-NSN--- θαῦμα

Job 18:21
οὗτοί RD--NPM--- οὗτος
εἰσιν V9--PAI3P- εἰμί
οἶκοι N2--NPM--- οἶκος
ἀδίκων A1B-GPM--- ἄδικος
οὗτος RD--NSM--- οὗτος
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
τῶν RA--GPM--- ὁ
μὴ D--------- μή
εἰδότων VX--XAPGPM οἶδα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

Job 19:1
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Ιωβ N---NSM--- Ιωβ
λέγει V1--PAI3S- λέγω

Job 19:2
ἕως P--------- ἕως
τίνος RI--GSN--- τίς
ἔγκοπον A1B-ASF--- ἔγκοπος
ποιήσετε VF--FAI2P- ποιέω
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
καὶ C--------- καί
καθαιρεῖτε V2--PAI2P- αἱρέω κατα
με RP--AS---- ἐγώ
λόγοις N2--DPM--- λόγος

Job 19:3
γνῶτε VZ--AAD2P- γιγνώσκω
μόνον D--------- μόνον
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἐποίησέ VAI-AAI3S- ποιέω
με RP--AS---- ἐγώ
οὕτως D--------- οὕτως
καταλαλεῖτέ V2--PAI2P- λαλέω κατα
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
αἰσχυνόμενοί V1--PMPNPM αἰσχύνω
με RP--AS---- ἐγώ
ἐπίκεισθέ V5--PMI2P- κεῖμαι ἐπι
μοι RP--DS---- ἐγώ

Job 19:4
ναὶ X--------- ναί
δὴ X--------- δή
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
ἐγὼ RP--NS---- ἐγώ
ἐπλανήθην VCI-API1S- πλανάω
παρ' P--------- παρά
ἐμοὶ RP--DS---- ἐγώ
δὲ X--------- δέ
αὐλίζεται V1--PMI3S- αὐλίζω
πλάνος A1B-NSM--- πλάνος

Job 19:4a
λαλῆσαι VA--AAN--- λαλέω
ῥῆμα N3M-ASN--- ῥῆμα
ὃ RR--ASN--- ὅς
οὐκ D--------- οὐ
ἔδει V2I-IAI3S- δέω
τὰ RA--NPN--- ὁ
δὲ X--------- δέ
ῥήματά N3M-NPN--- ῥῆμα
μου RP--GS---- ἐγώ
πλανᾶται V3--PMI3S- πλανάω
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπὶ P--------- ἐπί
καιροῦ N2--GSM--- καιρός

Job 19:5
ἔα I--------- ἔα
δὲ X--------- δέ
ὅτι C--------- ὅτι
ἐπ' P--------- ἐπί
ἐμοὶ RP--DS---- ἐγώ
μεγαλύνεσθε V1--PMI2P- μεγαλύνω
ἐνάλλεσθε V1--PMI2P- ἅλλομαι ἐν
δέ X--------- δέ
μοι RP--DS---- ἐγώ
ὀνείδει N3E-DSN--- ὄνειδος

Job 19:6
γνῶτε VZ--AAD2P- γιγνώσκω
οὖν X--------- οὖν
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
κύριός N2--NSM--- κύριος
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ταράξας VA--AAPNSM ταράσσω
ὀχύρωμα N3M-ASN--- ὀχύρωμα
δὲ X--------- δέ
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
ὕψωσεν VAI-AAI3S- ὑψόω

Job 19:7
ἰδοὺ I--------- ἰδού
γελῶ V3--PAI1S- γελάω
ὀνείδει N3E-DSN--- ὄνειδος
καὶ C--------- καί
οὐ D--------- οὐ
λαλήσω VF--FAI1S- λαλέω
κεκράξομαι VFX-FMI1S- κράζω
καὶ C--------- καί
οὐδαμοῦ D--------- οὐδαμοῦ
κρίμα N3M-NSN--- κρίμα

Job 19:8
κύκλῳ N2--DSM--- κύκλος
περιῳκοδόμημαι VM--XPI1S- οἰκοδομέω περι
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
διαβῶ VZ--AAS1S- βαίνω δια
ἐπὶ P--------- ἐπί
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
σκότος N3E-ASN--- σκότος
ἔθετο VEI-AMI3S- τίθημι

Job 19:9
τὴν RA--ASF--- ὁ
δὲ X--------- δέ
δόξαν N1S-ASF--- δόξα
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
ἐξέδυσεν VAI-AAI3S- δύω ἐκ
ἀφεῖλεν VBI-AAI3S- αἱρέω ἀπο
δὲ X--------- δέ
στέφανον N2--ASM--- στέφανος
ἀπὸ P--------- ἀπό
κεφαλῆς N1--GSF--- κεφαλή
μου RP--GS---- ἐγώ

Job 19:10
διέσπασέν VAI-AAI3S- σπάω δια
με RP--AS---- ἐγώ
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
ᾠχόμην V1I-IMI1S- οἴχομαι
ἐξέκοψεν VAI-AAI3S- κόπτω ἐκ
δὲ X--------- δέ
ὥσπερ D--------- ὥσπερ
δένδρον N2N-ASN--- δένδρον
τὴν RA--ASF--- ὁ
ἐλπίδα N3D-ASF--- ἐλπίς
μου RP--GS---- ἐγώ

Job 19:11
δεινῶς D--------- δεινῶς
δέ X--------- δέ
μοι RP--DS---- ἐγώ
ὀργῇ N1--DSF--- ὀργή
ἐχρήσατο VAI-AMI3S- χράω
ἡγήσατο VAI-AMI3S- ἡγέομαι
δέ X--------- δέ
με RP--AS---- ἐγώ
ὥσπερ D--------- ὥσπερ
ἐχθρόν N2--ASM--- ἐχθρός

Job 19:12
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
δὲ X--------- δέ
ἦλθον VBI-AAI3P- ἔρχομαι
τὰ RA--NPN--- ὁ
πειρατήρια N2N-NPN--- πειρατήριον
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
ἐμοὶ RP--DS---- ἐγώ
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
μου RP--GS---- ἐγώ
ἐκύκλωσάν VAI-AAI3P- κυκλόω
με RP--AS---- ἐγώ
ἐγκάθετοι A1B-NSM--- ἐγκάθετος

Job 19:13
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
δὲ X--------- δέ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
ἔγνωσαν VZI-AAI3P- γιγνώσκω
ἀλλοτρίους A1A-APM--- ἀλλότριος
ἢ C--------- ἤ
ἐμέ RP--AS---- ἐγώ
φίλοι A1--NPM--- φίλος
δέ X--------- δέ
μου RP--GS---- ἐγώ
ἀνελεήμονες N3N-NPM--- ἀνελεήμων
γεγόνασιν VX--XAI3P- γίγνομαι

Job 19:14
οὐ D--------- οὐ
προσεποιήσαντό VAI-AMI3P- ποιέω προς
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
ἐγγύτατοί A1--NPMS-- ἐγγύς
μου RP--GS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
εἰδότες VX--XAPNPM οἶδα
μου RP--GS---- ἐγώ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
ἐπελάθοντό VBI-AMI3P- λανθάνω ἐπι
μου RP--GS---- ἐγώ

Job 19:15
γείτονες N3N-NPM--- γείτων
οἰκίας N1A-GSF--- οἰκία
θεράπαιναί N1A-NPF--- θεραπαίνα
τέ X--------- τε
μου RP--GS---- ἐγώ
ἀλλογενὴς A3H-NSM--- ἀλλογενής
ἤμην V9I-IMI1S- εἰμί
ἐναντίον P--------- ἐναντίον
αὐτῶν RD--GPM--- αὐτός

Job 19:16
θεράποντά N3--ASM--- θεράπων
μου RP--GS---- ἐγώ
ἐκάλεσα VAI-AAI1S- καλέω
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπήκουσεν VAI-AAI3S- ἀκούω ὑπο
στόμα N3M-NSN--- στόμα
δέ X--------- δέ
μου RP--GS---- ἐγώ
ἐδέετο V1I-IMI3S- δέομαι

Job 19:17
καὶ C--------- καί
ἱκέτευον V1I-IAI1S- ἱκετεύω
τὴν RA--ASF--- ὁ
γυναῖκά N3K-ASF--- γυνή
μου RP--GS---- ἐγώ
προσεκαλούμην V2I-IMI1S- καλέω προς
δὲ X--------- δέ
κολακεύων V1--PAPNSM κολακεύω
υἱοὺς N2--APM--- υἱός
παλλακίδων N3D-GPF--- παλλακίς
μου RP--GS---- ἐγώ

Job 19:18
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνά N3W-ASM--- αἰών
με RP--AS---- ἐγώ
ἀπεποιήσαντο VAI-AMI3P- ποιέω ἀπο
ὅταν D--------- ὅταν
ἀναστῶ VH--AAS1S- ἵστημι ἀνα
κατ' P--------- κατά
ἐμοῦ RP--GS---- ἐγώ
λαλοῦσιν V2--PAI3P- λαλέω

Job 19:19
ἐβδελύξαντο VAI-AMI3P- βδελύσσω
δέ X--------- δέ
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
εἰδότες VX--XAPNPM οἶδα
με RP--AS---- ἐγώ
οὓς RR--APM--- ὅς
δὴ X--------- δή
ἠγαπήκειν VXI-YAI1S- ἀγαπάω
ἐπανέστησάν VHI-AAI3P- ἵστημι ἐπι ἀνα
μοι RP--DS---- ἐγώ

Job 19:20
ἐν P--------- ἐν
δέρματί N3M-DSN--- δέρμα
μου RP--GS---- ἐγώ
ἐσάπησαν VAI-AAI3P- σήπω
αἱ RA--NPF--- ὁ
σάρκες N3K-NPF--- σάρξ
μου RP--GS---- ἐγώ
τὰ RA--NPN--- ὁ
δὲ X--------- δέ
ὀστᾶ N2N-NPN--- ὀστέον
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ὀδοῦσιν N3--DPM--- ὀδούς
ἔχεται V1--PMI3S- ἔχω

Job 19:21
ἐλεήσατέ VA--AAD2P- ἐλεέω
με RP--AS---- ἐγώ
ἐλεήσατέ VA--AAD2P- ἐλεέω
με RP--AS---- ἐγώ
ὦ I--------- ὦ
φίλοι A1--NPM--- φίλος
χεὶρ N3--NSF--- χείρ
γὰρ X--------- γάρ
κυρίου N2--GSM--- κύριος
ἡ RA--NSF--- ὁ
ἁψαμένη VA--AMPNSF ἅπτομαι
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί

Job 19:22
διὰ P--------- διά
τί RI--ASN--- τίς
δέ X--------- δέ
με RP--AS---- ἐγώ
διώκετε V1--PAI2P- διώκω
ὥσπερ D--------- ὥσπερ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
σαρκῶν N3K-GPF--- σάρξ
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
ἐμπίπλασθε V6--PPI2P- πίμπλημι ἐν

Job 19:23
τίς RI--NSM--- τίς
γὰρ X--------- γάρ
ἂν X--------- ἄν
δῴη VO--AAO3S- δίδωμι
γραφῆναι VD--APN--- γράφω
τὰ RA--NPN--- ὁ
ῥήματά N3M-NPN--- ῥῆμα
μου RP--GS---- ἐγώ
τεθῆναι VE--APN--- τίθημι
δὲ X--------- δέ
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
βιβλίῳ N2N-DSN--- βιβλίον
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

Job 19:24
ἐν P--------- ἐν
γραφείῳ N2N-DSN--- γραφεῖον
σιδηρῷ A1C-DSN--- σιδηροῦς
καὶ C--------- καί
μολίβῳ N2--DSM--- μόλιβος
ἢ C--------- ἤ
ἐν P--------- ἐν
πέτραις N1A-DPF--- πέτρα
ἐγγλυφῆναι VD--APN--- γλύφω ἐν

Job 19:25
οἶδα VX--XAI1S- οἶδα
γὰρ X--------- γάρ
ὅτι C--------- ὅτι
ἀέναός A1B-NSM--- ἀέναος
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἐκλύειν V1--PAN--- λύω ἐκ
με RP--AS---- ἐγώ
μέλλων V1--PAPNSM μέλλω
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ

Job 19:26
ἀναστήσαι VA--AAO3S- ἵστημι ἀνα
τὸ RA--ASN--- ὁ
δέρμα N3M-ASN--- δέρμα
μου RP--GS---- ἐγώ
τὸ RA--ASN--- ὁ
ἀνατλῶν VA--AAPASN ἀνέτλην
ταῦτα RD--APN--- οὗτος
παρὰ P--------- παρά
γὰρ X--------- γάρ
κυρίου N2--GSM--- κύριος
ταῦτά RD--NPN--- οὗτος
μοι RP--DS---- ἐγώ
συνετελέσθη VSI-API3S- τελέω συν

Job 19:27
ἃ RR--APN--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
συνεπίσταμαι V6--PMI1S- ἵσταμαι συν ἐπι
ἃ RR--APN--- ὅς
ὁ RA--NSM--- ὁ
ὀφθαλμός N2--NSM--- ὀφθαλμός
μου RP--GS---- ἐγώ
ἑόρακεν VX--XAI3S- ὁράω
καὶ C--------- καί
οὐκ D--------- οὐ
ἄλλος RD--NSM--- ἄλλος
πάντα A3--NSN--- πᾶς
δέ X--------- δέ
μοι RP--DS---- ἐγώ
συντετέλεσται VM--XPI3S- τελέω συν
ἐν P--------- ἐν
κόλπῳ N2--DSM--- κόλπος

Job 19:28
εἰ C--------- εἰ
δὲ X--------- δέ
καὶ C--------- καί
ἐρεῖτε VF2-FAI2P- εἶπον
τί RI--ASN--- τίς
ἐροῦμεν VF2-FAI1P- εἶπον
ἔναντι P--------- ἔναντι
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ῥίζαν N1S-ASF--- ῥίζα
λόγου N2--GSM--- λόγος
εὑρήσομεν VF--FAI1P- εὑρίσκω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός

Job 19:29
εὐλαβήθητε VC--API2P- εὐλαβέομαι
δὴ X--------- δή
καὶ D--------- καί
ὑμεῖς RP--NP---- σύ
ἀπὸ P--------- ἀπό
ἐπικαλύμματος N3M-GSN--- ἐπικάλυμμα
θυμὸς N2--NSM--- θυμός
γὰρ X--------- γάρ
ἐπ' P--------- ἐπί
ἀνόμους A1B-APM--- ἄνομος
ἐπελεύσεται VF--FMI3S- ἔρχομαι ἐπι
καὶ C--------- καί
τότε D--------- τότε
γνώσονται VF--FMI3P- γιγνώσκω
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
αὐτῶν RD--GPM--- αὐτός
ἡ RA--NSF--- ὁ
ὕλη N1--NSF--- ὕλη

Job 20:1
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Σωφαρ N---NSM--- Σωφαρ
ὁ RA--NSM--- ὁ
Μιναῖος N2--NSM--- Μιναῖος
λέγει V1--PAI3S- λέγω

Job 20:2
οὐχ D--------- οὐ
οὕτως D--------- οὕτως
ὑπελάμβανον V1I-IAI1S- λαμβάνω ὑπο
ἀντερεῖν VF2-FAN--- εἶπον ἀντι
σε RP--AS---- σύ
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
οὐχὶ D--------- οὐ
συνίετε V6--PAI2P- ἵημι συν
μᾶλλον D--------- μᾶλλον
ἢ C--------- ἤ
καὶ D--------- καί
ἐγώ RP--NS---- ἐγώ

Job 20:3
παιδείαν N1A-ASF--- παιδεία
ἐντροπῆς N1--GSF--- ἐντροπή
μου RP--GS---- ἐγώ
ἀκούσομαι VF--FMI1S- ἀκούω
καὶ C--------- καί
πνεῦμα N3M-NSN--- πνεῦμα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
συνέσεως N3I-GSF--- σύνεσις
ἀποκρίνεταί V1--PMI3S- κρίνω ἀπο
μοι RP--DS---- ἐγώ

Job 20:4
μὴ D--------- μή
ταῦτα RD--APN--- οὗτος
ἔγνως VZI-AAI2S- γιγνώσκω
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἔτι D--------- ἔτι
ἀφ' P--------- ἀπό
οὗ RR--GSM--- ὅς
ἐτέθη VEI-API3S- τίθημι
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Job 20:5
εὐφροσύνη N1--NSF--- εὐφροσύνη
γὰρ X--------- γάρ
ἀσεβῶν A3H-GPM--- ἀσεβής
πτῶμα N3M-NSN--- πτῶμα
ἐξαίσιον A1B-NSN--- ἐξαίσιος
χαρμονὴ N1--NSF--- χαρμονή
δὲ X--------- δέ
παρανόμων A1B-GPM--- παράνομος
ἀπώλεια N1A-NSF--- ἀπώλεια

Job 20:6
ἐὰν C--------- ἐάν
ἀναβῇ VZ--AAS3S- βαίνω ἀνα
εἰς P--------- εἰς
οὐρανὸν N2--ASM--- οὐρανός
αὐτοῦ RD--GSM--- αὐτός
τὰ RA--NPN--- ὁ
δῶρα N2N-NPN--- δῶρον
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
θυσία N1A-NSF--- θυσία
αὐτοῦ RD--GSM--- αὐτός
νεφῶν N3E-GPN--- νέφος
ἅψηται VA--AMS3S- ἅπτομαι

Job 20:7
ὅταν D--------- ὅταν
γὰρ X--------- γάρ
δοκῇ V2--PAS3S- δοκέω
ἤδη D--------- ἤδη
κατεστηρίχθαι VK--XPN--- στηρίζω κατα
τότε D--------- τότε
εἰς P--------- εἰς
τέλος N3E-ASN--- τέλος
ἀπολεῖται VF2-FMI3S- ὀλλύω ἀπο
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἰδόντες VB--AAPNPM ὁράω
αὐτὸν RD--ASM--- αὐτός
ἐροῦσιν VF2-FAI3P- εἶπον
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί

Job 20:8
ὥσπερ D--------- ὥσπερ
ἐνύπνιον N2N-NSN--- ἐνύπνιον
ἐκπετασθὲν VC--APPNSN πετάζω ἐκ
οὐ D--------- οὐ
μὴ D--------- μή
εὑρεθῇ VC--APS3S- εὑρίσκω
ἔπτη VBI-AMI3S- πέτομαι
δὲ X--------- δέ
ὥσπερ D--------- ὥσπερ
φάσμα N3M-NSN--- φάσμα
νυκτερινόν A1--NSN--- νυκτερινός

Job 20:9
ὀφθαλμὸς N2--NSM--- ὀφθαλμός
παρέβλεψεν VAI-AAI3S- βλέπω παρα
καὶ C--------- καί
οὐ D--------- οὐ
προσθήσει VF--FAI3S- τίθημι προς
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
προσνοήσει VF--FAI3S- νοέω προς
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
αὐτοῦ RD--GSM--- αὐτός

Job 20:10
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ὀλέσαισαν VA--AAO3P- ὄλλυμι
ἥττονες A3C-NPM--- ἥσσων
αἱ RA--NPF--- ὁ
δὲ X--------- δέ
χεῖρες N3--NPF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
πυρσεύσαισαν VA--AAO3P- πυρσεύω
ὀδύνας N1--APF--- ὀδύνη

Job 20:11
ὀστᾶ N2N-NPN--- ὀστέον
αὐτοῦ RD--GSM--- αὐτός
ἐνεπλήσθησαν VSI-API3P- πίμπλημι ἐν
νεότητος N3T-GSF--- νεότης
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
χώματος N3M-GSN--- χῶμα
κοιμηθήσεται VC--FPI3S- κοιμάω

Job 20:12
ἐὰν C--------- ἐάν
γλυκανθῇ VC--APS3S- γλυκαίνω
ἐν P--------- ἐν
στόματι N3M-DSN--- στόμα
αὐτοῦ RD--GSM--- αὐτός
κακία N1A-NSF--- κακία
κρύψει VF--FAI3S- κρύπτω
αὐτὴν RD--ASF--- αὐτός
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
γλῶσσαν N1S-ASF--- γλῶσσα
αὐτοῦ RD--GSM--- αὐτός

Job 20:13
οὐ D--------- οὐ
φείσεται VF--FMI3S- φείδομαι
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγκαταλείψει VF--FAI3S- λείπω ἐν κατα
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
συνέξει VF--FAI3S- ἔχω συν
αὐτὴν RD--ASF--- αὐτός
ἐν P--------- ἐν
