Num 1:1
καὶ C--------- καί
ἀνοίξασα VA--AAPNSF οἴγω ἀνα
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτῆς RD--GSF--- αὐτός
καταπίεται VF--FMI3S- πίνω κατα
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
οἴκους N2--APM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
σκηνὰς N1--APF--- σκηνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
καταβήσονται VF--FMI3P- βαίνω κατα
ζῶντες V3--PAPNPM ζάω
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
καὶ C--------- καί
γνώσεσθε VF--FMI2P- γιγνώσκω
ὅτι C--------- ὅτι
παρώξυναν VAI-AAI3P- ὀξύνω παρα
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
οὗτοι RD--NPM--- οὗτος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

Num 16:31
ὡς C--------- ὡς
δὲ X--------- δέ
ἐπαύσατο VAI-AMI3S- παύω
λαλῶν V2--PAPNSM λαλέω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
ἐρράγη VDI-API3S- ῥήγνυμι
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ὑποκάτω P--------- ὑποκάτω
αὐτῶν RD--GPM--- αὐτός

Num 16:32
καὶ C--------- καί
ἠνοίχθη VQI-API3S- οἴγω ἀνα
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
κατέπιεν VBI-AAI3S- πίνω κατα
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
οἴκους N2--APM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀνθρώπους N2--APM--- ἄνθρωπος
τοὺς RA--APM--- ὁ
ὄντας V9--PAPAPM εἰμί
μετὰ P--------- μετά
Κορε N---GSM--- Κορε
καὶ C--------- καί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
αὐτῶν RD--GPM--- αὐτός

Num 16:33
καὶ C--------- καί
κατέβησαν VZI-AAI3P- βαίνω κατα
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
αὐτῶν RD--GPM--- αὐτός
ζῶντα V3--PAPASM ζάω
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
καὶ C--------- καί
ἐκάλυψεν VAI-AAI3S- καλύπτω
αὐτοὺς RD--APM--- αὐτός
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
ἀπώλοντο VBI-AMI3P- ὀλλύω ἀπο
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή

Num 16:34
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
οἱ RA--NPM--- ὁ
κύκλῳ N2--DSM--- κύκλος
αὐτῶν RD--GPM--- αὐτός
ἔφυγον VBI-AAI3P- φεύγω
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
λέγοντες V1--PAPNPM λέγω
μήποτε D--------- μήποτε
καταπίῃ VF--FMI2S- πίνω κατα
ἡμᾶς RP--AP---- ἐγώ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ

Num 16:35
καὶ C--------- καί
πῦρ N3--ASN--- πῦρ
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κατέφαγεν VBI-AAI3S- ἐσθίω κατα
τοὺς RA--APM--- ὁ
πεντήκοντα M--------- πεντήκοντα
καὶ C--------- καί
διακοσίους A1A-APM--- διακόσιοι
ἄνδρας N3--APM--- ἀνήρ
τοὺς RA--APM--- ὁ
προσφέροντας V1--PAPAPM φέρω προς
τὸ RA--ASN--- ὁ
θυμίαμα N3M-ASN--- θυμίαμα

Num 17:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς

Num 17:2
καὶ C--------- καί
πρὸς P--------- πρός
Ελεαζαρ N---ASM--- Ελεαζαρ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
Ααρων N---GSM--- Ἀαρών
τὸν RA--ASM--- ὁ
ἱερέα N3V-ASM--- ἱερεύς
ἀνέλεσθε VB--AMD2P- αἱρέω ἀνα
τὰ RA--APN--- ὁ
πυρεῖα N2N-APN--- πυρεῖον
τὰ RA--APN--- ὁ
χαλκᾶ A1C-APN--- χαλκοῦς
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τῶν RA--GPM--- ὁ
κατακεκαυμένων VM--XMPGPM καίω κατα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πῦρ N3--ASN--- πῦρ
τὸ RA--ASN--- ὁ
ἀλλότριον A1A-ASN--- ἀλλότριος
τοῦτο RD--ASN--- οὗτος
σπεῖρον VA--AAD2S- σπείρω
ἐκεῖ D--------- ἐκεῖ
ὅτι C--------- ὅτι
ἡγίασαν VAI-AAI3P- ἁγιάζω

Num 17:3
τὰ RA--APN--- ὁ
πυρεῖα N2N-APN--- πυρεῖον
τῶν RA--GPM--- ὁ
ἁμαρτωλῶν A1B-GPM--- ἁμαρτωλός
τούτων RD--GPM--- οὗτος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ψυχαῖς N1--DPF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ποίησον VA--AAD2S- ποιέω
αὐτὰ RD--APN--- αὐτός
λεπίδας N3D-APF--- λεπίς
ἐλατάς N1--APF--- ἐλάτη
περίθεμα N3M-ASN--- περίθεμα
τῷ RA--DSN--- ὁ
θυσιαστηρίῳ N2N-DSN--- θυσιαστήριον
ὅτι C--------- ὅτι
προσηνέχθησαν VQI-API3P- φέρω προς
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἡγιάσθησαν VSI-API3P- ἁγιάζω
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
εἰς P--------- εἰς
σημεῖον N2N-ASN--- σημεῖον
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Num 17:4
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Ελεαζαρ N---NSM--- Ελεαζαρ
υἱὸς N2--NSM--- υἱός
Ααρων N---GSM--- Ἀαρών
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
τὰ RA--APN--- ὁ
πυρεῖα N2N-APN--- πυρεῖον
τὰ RA--APN--- ὁ
χαλκᾶ A1C-APN--- χαλκοῦς
ὅσα A1--APN--- ὅσος
προσήνεγκαν VAI-AAI3P- φέρω προς
οἱ RA--NPM--- ὁ
κατακεκαυμένοι VM--XMPNPM καίω κατα
καὶ C--------- καί
προσέθηκαν VAI-AAI3P- τίθημι προς
αὐτὰ RD--APN--- αὐτός
περίθεμα N3M-ASN--- περίθεμα
τῷ RA--DSN--- ὁ
θυσιαστηρίῳ N2N-DSN--- θυσιαστήριον

Num 17:5
μνημόσυνον N2N-ASN--- μνημόσυνον
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ὅπως C--------- ὅπως
ἂν X--------- ἄν
μὴ D--------- μή
προσέλθῃ VB--AAS3S- ἔρχομαι προς
μηθεὶς A3--NSM--- μηδείς
ἀλλογενής A3H-NSM--- ἀλλογενής
ὃς RR--NSM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
Ααρων N---GSM--- Ἀαρών
ἐπιθεῖναι VE--AAN--- τίθημι ἐπι
θυμίαμα N3M-ASN--- θυμίαμα
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ὥσπερ D--------- ὥσπερ
Κορε N---NSM--- Κορε
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἐπισύστασις N3I-NSF--- ἐπισύστασις
αὐτοῦ RD--GSM--- αὐτός
καθὰ D--------- καθά
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
Μωυσῆ N1M-GSM--- Μωυσῆς

Num 17:6
καὶ C--------- καί
ἐγόγγυσαν VAI-AAI3P- γογγύζω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τῇ RA--DSF--- ὁ
ἐπαύριον D--------- ἐπαύριον
ἐπὶ P--------- ἐπί
Μωυσῆν N1M-ASM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---ASM--- Ἀαρών
λέγοντες V1--PAPNPM λέγω
ὑμεῖς RP--NP---- σύ
ἀπεκτάγκατε VX--XAI2P- κτείνω ἀπο
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
κυρίου N2--GSM--- κύριος

Num 17:7
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐπισυστρέφεσθαι V1--PMN--- τρέφω ἐπι συν
τὴν RA--ASF--- ὁ
συναγωγὴν N1--ASF--- συναγωγή
ἐπὶ P--------- ἐπί
Μωυσῆν N1M-ASM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---ASM--- Ἀαρών
καὶ C--------- καί
ὥρμησαν VAI-AAI3P- ὁρμάω
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
καὶ C--------- καί
τήνδε RD--ASF--- ὅδε
ἐκάλυψεν VAI-AAI3S- καλύπτω
αὐτὴν RD--ASF--- αὐτός
ἡ RA--NSF--- ὁ
νεφέλη N1--NSF--- νεφέλη
καὶ C--------- καί
ὤφθη VVI-API3S- ὁράω
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος

Num 17:8
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---NSM--- Ἀαρών
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον

Num 17:9
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---ASM--- Ἀαρών
λέγων V1--PAPNSM λέγω

Num 17:10
ἐκχωρήσατε VA--AAD2P- χωρέω ἐκ
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τῆς RA--GSF--- ὁ
συναγωγῆς N1--GSF--- συναγωγή
ταύτης RD--GSF--- οὗτος
καὶ C--------- καί
ἐξαναλώσω VF--FAI1S- ἁλίσκω ἐκ ἀνα
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ἅπαξ D--------- ἅπαξ
καὶ C--------- καί
ἔπεσον VBI-AAI3P- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός

Num 17:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Μωυσῆς N1M-NSM--- Μωυσῆς
πρὸς P--------- πρός
Ααρων N---ASM--- Ἀαρών
λαβὲ VB--AAD2S- λαμβάνω
τὸ RA--ASN--- ὁ
πυρεῖον N2--ASN--- πυρεῖον
καὶ C--------- καί
ἐπίθες VBI-AAI2S- πείθω
ἐπ' P--------- ἐπί
αὐτὸ RD--ASN--- αὐτός
πῦρ N3--ASN--- πῦρ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
καὶ C--------- καί
ἐπίβαλε VB--AAD2S- βάλλω ἐπι
ἐπ' P--------- ἐπί
αὐτὸ RD--ASN--- αὐτός
θυμίαμα N3M-ASN--- θυμίαμα
καὶ C--------- καί
ἀπένεγκε VB--AAD2S- φέρω ἀπο
τὸ RA--ASN--- ὁ
τάχος N3E-ASN--- τάχος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
καὶ C--------- καί
ἐξίλασαι VA--AMD2S- ἱλάσκομαι ἐκ
περὶ P--------- περί
αὐτῶν RD--GPM--- αὐτός
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
γὰρ X--------- γάρ
ὀργὴ N1--NSF--- ὀργή
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
ἦρκται VM--XMI3S- ἄρχω
θραύειν V1--PAN--- θραύω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός

Num 17:12
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Ααρων N---NSM--- Ἀαρών
καθάπερ D--------- καθάπερ
ἐλάλησεν VAI-AAI3S- λαλέω
αὐτῷ RD--DSM--- αὐτός
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
ἔδραμεν VBI-AAI3S- τρέχω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
συναγωγήν N1--ASF--- συναγωγή
καὶ C--------- καί
ἤδη D--------- ἤδη
ἐνῆρκτο VK--YMI3S- ἄρχω ἐν
ἡ RA--NSF--- ὁ
θραῦσις N3I-NSF--- θραῦσις
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
καὶ C--------- καί
ἐπέβαλεν VBI-AAI3S- βάλλω ἐπι
τὸ RA--ASN--- ὁ
θυμίαμα N3M-ASN--- θυμίαμα
καὶ C--------- καί
ἐξιλάσατο VAI-AMI3S- ἱλάσκομαι ἐκ
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός

Num 17:13
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῶν RA--GPM--- ὁ
τεθνηκότων VX--XAPGPM θνήσκω
καὶ C--------- καί
τῶν RA--GPM--- ὁ
ζώντων V3--PAPGPM ζάω
καὶ C--------- καί
ἐκόπασεν VAI-AAI3S- κοπάζω
ἡ RA--NSF--- ὁ
θραῦσις N3I-NSF--- θραῦσις

Num 17:14
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
οἱ RA--NPM--- ὁ
τεθνηκότες VX--XAPNPM θνήσκω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
θραύσει N3I-DSF--- θραῦσις
τέσσαρες A3--NPM--- τέσσαρες
καὶ C--------- καί
δέκα M--------- δέκα
χιλιάδες N3D-NPF--- χιλιάς
καὶ C--------- καί
ἑπτακόσιοι A1A-NPM--- ἑπτακόσιοι
χωρὶς P--------- χωρίς
τῶν RA--GPM--- ὁ
τεθνηκότων VX--XAPGPM θνήσκω
ἕνεκεν P--------- ἕνεκεν
Κορε N---GSM--- Κορε

Num 17:15
καὶ C--------- καί
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
Ααρων N---NSM--- Ἀαρών
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
καὶ C--------- καί
ἐκόπασεν VAI-AAI3S- κοπάζω
ἡ RA--NSF--- ὁ
θραῦσις N3I-NSF--- θραῦσις

Num 17:16
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
λέγων V1--PAPNSM λέγω

Num 17:17
λάλησον VA--AAD2S- λαλέω
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
λαβὲ VB--AAD2S- λαμβάνω
παρ' P--------- παρά
αὐτῶν RD--GPM--- αὐτός
ῥάβδον N2--ASF--- ῥάβδος
ῥάβδον N2--ASF--- ῥάβδος
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
παρὰ P--------- παρά
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
δώδεκα M--------- δώδεκα
ῥάβδους N2--APF--- ῥάβδος
καὶ C--------- καί
ἑκάστου A1--GSM--- ἕκαστος
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
ἐπίγραψον VA--AAD2S- γράφω ἐπι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ῥάβδου N2--GSF--- ῥάβδος
αὐτοῦ RD--GSM--- αὐτός

Num 17:18
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
Ααρων N---GSM--- Ἀαρών
ἐπίγραψον VA--AAD2S- γράφω ἐπι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ῥάβδου N2--GSF--- ῥάβδος
Λευι N---GSM--- Λευί
ἔστιν V9--PAI3S- εἰμί
γὰρ X--------- γάρ
ῥάβδος N2--NSF--- ῥάβδος
μία A1A-NSF--- εἷς
κατὰ P--------- κατά
φυλὴν N1--ASF--- φυλή
οἴκου N2--GSM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
δώσουσιν VF--FAI3P- δίδωμι

Num 17:19
καὶ C--------- καί
θήσεις VF--FAI2S- τίθημι
αὐτὰς RD--APF--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
κατέναντι P--------- κατέναντι
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
ἐν P--------- ἐν
οἷς RR--DPM--- ὅς
γνωσθήσομαί VS--FPI1S- γιγνώσκω
σοι RP--DS---- σύ
ἐκεῖ D--------- ἐκεῖ

Num 17:20
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ἐὰν C--------- ἐάν
ἐκλέξωμαι VA--AMS1S- λέγω ἐκ
αὐτόν RD--ASM--- αὐτός
ἡ RA--NSF--- ὁ
ῥάβδος N2--NSF--- ῥάβδος
αὐτοῦ RD--GSM--- αὐτός
ἐκβλαστήσει VF--FAI3S- βλαστάνω ἐκ
καὶ C--------- καί
περιελῶ VF2-FAI1S- αἱρέω περι
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
τὸν RA--ASM--- ὁ
γογγυσμὸν N2--ASM--- γογγυσμός
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἃ RR--APN--- ὅς
αὐτοὶ RD--NPM--- αὐτός
γογγύζουσιν V1--PAI3P- γογγύζω
ἐφ' P--------- ἐπί
ὑμῖν RP--DP---- σύ

Num 17:21
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
Μωυσῆς N1M-NSM--- Μωυσῆς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἔδωκαν VAI-AAI3P- δίδωμι
αὐτῷ RD--DSM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
ῥάβδον N2--ASF--- ῥάβδος
τῷ RA--DSM--- ὁ
ἄρχοντι N3--DSM--- ἄρχων
τῷ RA--DSM--- ὁ
ἑνὶ A3--DSM--- εἷς
ῥάβδον N2--ASF--- ῥάβδος
κατὰ P--------- κατά
ἄρχοντα N3--ASM--- ἄρχων
κατ' P--------- κατά
οἴκους N2--APM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
δώδεκα M--------- δώδεκα
ῥάβδους N2--APF--- ῥάβδος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ῥάβδος N2--NSF--- ῥάβδος
Ααρων N---GSM--- Ἀαρών
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῶν RA--GPF--- ὁ
ῥάβδων N2--GPF--- ῥάβδος
αὐτῶν RD--GPM--- αὐτός

Num 17:22
καὶ C--------- καί
ἀπέθηκεν VAI-AAI3S- τίθημι ἀπο
Μωυσῆς N1M-NSM--- Μωυσῆς
τὰς RA--APF--- ὁ
ῥάβδους N2--APF--- ῥάβδος
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον

Num 17:23
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τῇ RA--DSF--- ὁ
ἐπαύριον D--------- ἐπαύριον
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---NSM--- Ἀαρών
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐβλάστησεν VAI-AAI3S- βλαστάνω
ἡ RA--NSF--- ὁ
ῥάβδος N2--NSF--- ῥάβδος
Ααρων N---GSM--- Ἀαρών
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
Λευι N---GSM--- Λευί
καὶ C--------- καί
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
βλαστὸν N2--ASM--- βλαστός
καὶ C--------- καί
ἐξήνθησεν VAI-AAI3S- ἀνθέω ἐκ
ἄνθη N3E-APN--- ἄνθος
καὶ C--------- καί
ἐβλάστησεν VAI-AAI3S- βλαστάνω
κάρυα N2N-APN--- κάρυον

Num 17:24
καὶ C--------- καί
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
Μωυσῆς N1M-NSM--- Μωυσῆς
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ῥάβδους N2--APF--- ῥάβδος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἶδον VBI-AAI3P- ὁράω
καὶ C--------- καί
ἔλαβον VBI-AAI3P- λαμβάνω
ἕκαστος A1--NSM--- ἕκαστος
τὴν RA--ASF--- ὁ
ῥάβδον N2--ASF--- ῥάβδος
αὐτοῦ RD--GSM--- αὐτός

Num 17:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
ἀπόθες VE--AAD2S- τίθημι ἀπο
τὴν RA--ASF--- ὁ
ῥάβδον N2--ASF--- ῥάβδος
Ααρων N---GSM--- Ἀαρών
ἐνώπιον P--------- ἐνώπιον
τῶν RA--GPN--- ὁ
μαρτυρίων N2N-GPN--- μαρτύριον
εἰς P--------- εἰς
διατήρησιν N3I-ASF--- διατήρησις
σημεῖον N2N-ASN--- σημεῖον
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
τῶν RA--GPM--- ὁ
ἀνηκόων A1B-GPM--- ἀνήκοος
καὶ C--------- καί
παυσάσθω VA--AMD3S- παύω
ὁ RA--NSM--- ὁ
γογγυσμὸς N2--NSM--- γογγυσμός
αὐτῶν RD--GPM--- αὐτός
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἀποθάνωσιν VB--AAS3P- θνήσκω ἀπο

Num 17:26
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
Μωυσῆς N1M-NSM--- Μωυσῆς
καὶ C--------- καί
Ααρων N---NSM--- Ἀαρών
καθὰ D--------- καθά
συνέταξεν VAI-AAI3S- τάσσω συν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
οὕτως D--------- οὕτως
ἐποίησαν VAI-AAI3P- ποιέω

Num 17:27
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
λέγοντες V1--PAPNPM λέγω
ἰδοὺ I--------- ἰδού
ἐξανηλώμεθα VM--XPI1P- ἁλίσκω ἐκ ἀνα
ἀπολώλαμεν VX--XAI1P- ὀλλύω ἀπο
παρανηλώμεθα VM--XPI1P- ἁλίσκω παρα ἀνα

Num 17:28
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἁπτόμενος V1--PMPNSM ἅπτομαι
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
κυρίου N2--GSM--- κύριος
ἀποθνῄσκει V1--PAI3S- θνήσκω ἀπο
ἕως C--------- ἕως
εἰς P--------- εἰς
τέλος N3E-ASN--- τέλος
ἀποθάνωμεν VB--AAS1P- θνήσκω ἀπο

Num 18:1
καὶ C--------- καί
