Dan 1:1
τοῦ RA--GSN--- ὁ
λύχνους N3E-GSN--- λύχνος
μανη N---A----- μανη
φαρες N---A----- φαρες
θεκελ N---AS---- θεκελ
ἔστι V9--PAI3S- εἰμί
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
ἑρμηνεία N1A-NSF--- ἑρμηνεία
αὐτῶν RD--GPN--- αὐτός
μανη N---N----- μανη
ἠρίθμηται VMI-XPI3S- ἀριθμέω
φαρες N---N----- φαρες
ἐξῆρται VM--XPI3S- αἴρω ἐκ
θεκελ N---NS---- θεκελ
ἕσταται VMI-XMI3S- ἵστημι

Dan 5:1
Βαλτασαρ N---NSM--- Βαλτασαρ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐποίησεν VAI-AAI3S- ποιέω
ἑστιατορίαν N1A-ASF--- ἑστιατορία
μεγάλην A1--ASF--- μέγας
τοῖς RA--DPM--- ὁ
ἑταίροις N2--DPM--- ἑταῖρος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔπινεν V1I-IAI3S- πίνω
οἶνον N2--ASM--- οἶνος

Dan 5:2
καὶ C--------- καί
ἀνυψώθη VCI-API3S- ὑψόω ἀνα
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐνέγκαι VA--AAN--- φέρω
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
τὰ RA--APN--- ὁ
χρυσᾶ A1C-APN--- χρυσοῦς
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἀργυρᾶ A1C-APN--- ἀργυροῦς
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἃ RR--APN--- ὅς
ἤνεγκε VAI-AAI3S- φέρω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
οἰνοχοῆσαι VA--AAN--- οἰνοχοέω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
τοῖς RA--DPM--- ὁ
ἑταίροις N2--DPM--- ἑταῖρος
αὐτοῦ RD--GSM--- αὐτός

Dan 5:3
καὶ C--------- καί
ἠνέχθη VQI-API3S- φέρω
καὶ C--------- καί
ἔπινον V1I-IAI3P- πίνω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

Dan 5:4
καὶ C--------- καί
ηὐλόγουν V2I-IAI3P- εὐλογέω
τὰ RA--APN--- ὁ
εἴδωλα N2N-APN--- εἴδωλον
τὰ RA--APN--- ὁ
χειροποίητα A1B-APN--- χειροποίητος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
οὐκ D--------- οὐ
εὐλόγησαν VA--AAI3P- εὐλογέω
τὸν RA--ASM--- ὁ
ἔχοντα V1--PAPASM ἔχω
τὴν RA--ASF--- ὁ
ἐξουσίαν N1A-ASF--- ἐξουσία
τοῦ RA--GSN--- ὁ
πνεύματος N3M-GSN--- πνεῦμα
αὐτῶν RD--GPM--- αὐτός

Dan 5:5
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
ὥρᾳ N1A-DSF--- ὥρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
δάκτυλοι N2--NPM--- δάκτυλος
ὡσεὶ D--------- ὡσεί
χειρὸς N3--GSF--- χείρ
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
ἔγραψαν VAI-AAI3P- γράφω
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
κονιάματος N3M-GSN--- κονίαμα
κατέναντι P--------- κατέναντι
τοῦ RA--GSN--- ὁ
φωτὸς N3T-GSN--- φῶς
ἔναντι P--------- ἔναντι
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Βαλτασαρ N---GSM--- Βαλτασαρ
καὶ C--------- καί
εἶδε VBI-AAI3S- ὁράω
χεῖρα N3--ASF--- χείρ
γράφουσαν V1--PAPASF γράφω

Dan 5:6
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
αὐτοῦ RD--GSM--- αὐτός
ἠλλοιώθη VCI-API3S- ἀλλοιόω
καὶ C--------- καί
φόβοι N2--NPM--- φόβος
καὶ C--------- καί
ὑπόνοιαι N1A-NPF--- ὑπόνοια
αὐτὸν RD--ASM--- αὐτός
κατέσπευδον V1I-IAI3P- σπεύδω κατα
ἔσπευσεν VAI-AAI3S- σπεύδω
οὖν X--------- οὖν
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἐξανέστη VHI-AAI3S- ἵστημι ἐκ ἀνα
καὶ C--------- καί
ἑώρα V3I-IAI3S- ὁράω
τὴν RA--ASF--- ὁ
γραφὴν N1--ASF--- γραφή
ἐκείνην RD--ASF--- ἐκεῖνος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
συνεταῖροι N2--NPM--- συνέταιρος
κύκλῳ N2--DSM--- κύκλος
αὐτοῦ RD--GSM--- αὐτός
ἐκαυχῶντο V3I-IMI3P- καυχάομαι

Dan 5:7
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐφώνησε VAI-AAI3S- φωνέω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
καλέσαι VA--AAN--- καλέω
τοὺς RA--APM--- ὁ
ἐπαοιδοὺς N2--APM--- ἐπαοιδός
καὶ C--------- καί
φαρμακοὺς N2--APM--- φαρμακός
καὶ C--------- καί
Χαλδαίους N2--APM--- Χαλδαῖος
καὶ C--------- καί
γαζαρηνοὺς N2--APM--- γαζαρηνός
ἀπαγγεῖλαι VA--AAN--- ἀγγέλλω ἀπο
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
καὶ C--------- καί
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
ἐπὶ P--------- ἐπί
θεωρίαν N1A-ASF--- θεωρία
ἰδεῖν VB--AAN--- ὁράω
τὴν RA--ASF--- ὁ
γραφήν N1--ASF--- γραφή
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
οὐκ D--------- οὐ
ἐδύναντο V6I-IMI3P- δύναμαι
συγκρῖναι VA--AAN--- κρίνω συν
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐξέθηκε VAI-AAI3S- τίθημι ἐκ
πρόσταγμα N3M-ASN--- πρόσταγμα
λέγων V1--PAPNSM λέγω
πᾶς A3--NSM--- πᾶς
ἀνήρ N3--NSM--- ἀνήρ
ὃς RR--NSM--- ὅς
ἂν X--------- ἄν
ὑποδείξῃ VF--FMI2S- δεικνύω ὑπο
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
στολιεῖ VF2-FAI3S- στολίζω
αὐτὸν RD--ASM--- αὐτός
πορφύραν N1A-ASF--- πορφύρα
καὶ C--------- καί
μανιάκην N1M-ASM--- μανιάκης
χρυσοῦν A1C-ASM--- χρυσοῦς
περιθήσει VF--FAI3S- τίθημι περι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
δοθήσεται VC--FPI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἐξουσία N1A-NSF--- ἐξουσία
τοῦ RA--GSN--- ὁ
τρίτου A1--GSN--- τρίτος
μέρους N3E-GSN--- μέρος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία

Dan 5:8
καὶ C--------- καί
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
οἱ RA--NPM--- ὁ
ἐπαοιδοὶ N2--NPM--- ἐπαοιδός
καὶ C--------- καί
φαρμακοὶ N2--NPM--- φαρμακός
καὶ C--------- καί
γαζαρηνοί N2--NPM--- γαζαρηνός
καὶ C--------- καί
οὐκ D--------- οὐ
ἠδύνατο V6I-IMI3S- δύναμαι
οὐδεὶς A3--NSM--- οὐδείς
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
ἀπαγγεῖλαι VA--AAN--- ἀγγέλλω ἀπο

Dan 5:9
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐκάλεσε VAI-AAI3S- καλέω
τὴν RA--ASF--- ὁ
βασίλισσαν N1A-ASF--- βασίλισσα
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
σημείου N2--GSN--- σημεῖον
καὶ C--------- καί
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
αὐτῇ RD--DSF--- αὐτός
ὡς C--------- ὡς
μέγα A1P-ASN--- μέγας
ἐστί V9--PAI3S- εἰμί
καὶ C--------- καί
ὅτι C--------- ὅτι
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
οὐ D--------- οὐ
δύναται V6--PMI3S- δύναμαι
ἀπαγγεῖλαι VA--AAN--- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή

Dan 5:10
τότε D--------- τότε
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
ἐμνήσθη VSI-API3S- μιμνήσκω
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
ὃς RR--NSM--- ὅς
ἦν V9I-IAI3S- εἰμί
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία

Dan 5:11
καὶ C--------- καί
εἶπε VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐπιστήμων A3N-NSM--- ἐπιστήμων
ἦν V9I-IAI3S- εἰμί
καὶ C--------- καί
σοφὸς A1--NSM--- σοφός
καὶ C--------- καί
ὑπερέχων V1--PAPNSM ἔχω ὑπερ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
σοφοὺς A1--APM--- σοφός
Βαβυλῶνος N3W-GSF--- Βαβυλών

Dan 5:12
καὶ C--------- καί
πνεῦμα N3M-ASN--- πνεῦμα
ἅγιον A1A-ASN--- ἅγιος
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
ἐστι V9--PAI3S- εἰμί
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
συγκρίματα N3M-APN--- σύγκριμα
ὑπέρογκα A1B-APN--- ὑπέρογκος
ὑπέδειξε VAI-AAI3S- δεικνύω ὑπο
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
σου RP--GS---- σύ

Dan 5:13
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
εἰσήχθη VQI-API3S- ἄγω εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός

Dan 5:16
ὦ I--------- ὦ
Δανιηλ N---VSM--- Δανιηλ
δύνῃ V6--PMS2S- δύναμαι
μοι RP--DS---- ἐγώ
ὑποδεῖξαι VA--AAN--- δεικνύω ὑπο
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
καὶ C--------- καί
στολιῶ VF2-FAI3S- στολίζω
σε RP--AS---- σύ
πορφύραν N1A-ASF--- πορφύρα
καὶ C--------- καί
μανιάκην N1M-ASM--- μανιάκης
χρυσοῦν A1C-ASM--- χρυσοῦς
περιθήσω VF--FAI1S- τίθημι περι
σοι RP--DS---- σύ
καὶ C--------- καί
ἕξεις VF--FAI2S- ἔχω
ἐξουσίαν N1A-ASF--- ἐξουσία
τοῦ RA--GSN--- ὁ
τρίτου A1--GSN--- τρίτος
μέρους N3E-GSN--- μέρος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
μου RP--GS---- ἐγώ

Dan 5:17
τότε D--------- τότε
Δανιηλ N---NSM--- Δανιηλ
ἔστη VHI-AAI3S- ἵστημι
κατέναντι P--------- κατέναντι
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
καὶ C--------- καί
ἀνέγνω VZI-AAI3S- γιγνώσκω ἀνα
καὶ C--------- καί
οὕτως D--------- οὕτως
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
γραφή N1--NSF--- γραφή
ἠρίθμηται VMI-XPI3S- ἀριθμέω
κατελογίσθη VSI-API3S- λογίζομαι κατα
ἐξῆρται VM--XMI3S- αἴρω ἐκ
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἡ RA--NSF--- ὁ
γράψασα VA--AAPNSF γράφω
χείρ N3--NSF--- χείρ
καὶ C--------- καί
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
σύγκρισις N3I-NSF--- σύγκρισις
αὐτῶν RD--GPN--- αὐτός

Dan 5:23
βασιλεῦ N3V-VSM--- βασιλεύς
σὺ RP--NS---- σύ
ἐποιήσω VAI-AMI2S- ποιέω
ἑστιατορίαν N1A-ASF--- ἑστιατορία
τοῖς RA--DPM--- ὁ
φίλοις N2--DPM--- φίλος
σου RP--GS---- σύ
καὶ C--------- καί
ἔπινες V1I-IAI2S- πίνω
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
ζῶντος V3--PAPGSM ζάω
ἠνέχθη VQI-API3S- φέρω
σοι RP--DS---- σύ
καὶ C--------- καί
ἐπίνετε V1I-IAI2P- πίνω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
σὺ RP--NS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μεγιστᾶνές N3--NPM--- μεγιστάν
σου RP--GS---- σύ
καὶ C--------- καί
ᾐνέσατε VAI-AAI2P- αἰνέω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
εἴδωλα N2N-APN--- εἴδωλον
τὰ RA--APN--- ὁ
χειροποίητα A1B-APN--- χειροποίητος
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
τῷ RA--DSM--- ὁ
ζῶντι V3--PAPDSM ζάω
οὐκ D--------- οὐ
εὐλογήσατε VA--AAD2P- εὐλογέω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πνεῦμά N3M-ASN--- πνεῦμα
σου RP--GS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
βασίλειόν N2N-ASN--- βασίλειον
σου RP--GS---- σύ
αὐτὸς RD--NSM--- αὐτός
ἔδωκέ VAI-AAI3S- δίδωμι
σοι RP--DS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
εὐλόγησας VA--AAI2S- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
οὐδὲ C--------- οὐδέ
ᾔνεσας VAI-AAI2S- αἰνέω
αὐτῷ RD--DSM--- αὐτός

Dan 5:26-28
τοῦτο RD--ASN--- οὗτος
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
τῆς RA--GSF--- ὁ
γραφῆς N1--GSF--- γραφή
ἠρίθμηται VMI-XPI3S- ἀριθμέω
ὁ RA--NSM--- ὁ
χρόνος N2--NSM--- χρόνος
σου RP--GS---- σύ
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
ἀπολήγει V1--PAI3S- λήγω ἀπο
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
σου RP--GS---- σύ
συντέτμηται VM--XMI3S- τέμνω συν
καὶ C--------- καί
συντετέλεσται VM--XMI3S- τελέω συν
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
σου RP--GS---- σύ
τοῖς RA--DPM--- ὁ
Μήδοις N2--DPM--- Μῆδος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
Πέρσαις N---DPM--- Πέρσης
δίδοται V8--PMI3S- δίδωμι

Dan 5:29
τότε D--------- τότε
Βαλτασαρ N---NSM--- Βαλτασαρ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐνέδυσε VAI-AAI3S- δύω ἐν
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
πορφύραν N1A-ASF--- πορφύρα
καὶ C--------- καί
μανιάκην N1M-ASM--- μανιάκης
χρυσοῦν A1C-ASM--- χρυσοῦς
περιέθηκεν VAI-AAI3S- τίθημι περι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
ἐξουσίαν N1A-ASF--- ἐξουσία
αὐτῷ RD--DSM--- αὐτός
τοῦ RA--GSN--- ὁ
τρίτου A1--GSN--- τρίτος
μέρους N3E-GSN--- μέρος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Dan 5:30
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σύγκριμα N3M-ASN--- σύγκριμα
ἐπῆλθε VBI-AAI3S- ἔρχομαι ἐπι
Βαλτασαρ N---NSM--- Βαλτασαρ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
τὸ RA--NSN--- ὁ
βασίλειον N2N-NSN--- βασίλειον
ἐξῆρται VM--XMI3S- αἴρω ἐκ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
Χαλδαίων N2--GPM--- Χαλδαῖος
καὶ C--------- καί
ἐδόθη VCI-API3S- δίδωμι
τοῖς RA--DPM--- ὁ
Μήδοις N2--DPM--- Μῆδος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
Πέρσαις N---DPM--- Πέρσης

Dan 6:1
καὶ C--------- καί
Ἀρταξέρξης N1M-NSM--- Ἀρταξέρξης
ὁ RA--NSM--- ὁ
τῶν RA--GPM--- ὁ
Μήδων N2--GPM--- Μῆδος
παρέλαβε VBI-AAI3S- λαμβάνω παρα
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
καὶ C--------- καί
Δαρεῖος N2--NSM--- Δαρεῖος
πλήρης A3H-NSM--- πλήρης
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
καὶ C--------- καί
ἔνδοξος A1B-NSM--- ἔνδοξος
ἐν P--------- ἐν
γήρει N3--DSN--- γῆρας

Dan 6:2
καὶ C--------- καί
κατέστησε VHI-AAI3S- ἵστημι κατα
σατράπας N1M-APM--- σατράπης
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ἑπτὰ M--------- ἑπτά
ἐπὶ P--------- ἐπί
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Dan 6:3
καὶ C--------- καί
ἐπ' P--------- ἐπί
αὐτῶν RD--GPM--- αὐτός
ἄνδρας N3--APM--- ἀνήρ
τρεῖς A3--APM--- τρεῖς
ἡγουμένους V2--PMPAPM ἡγέομαι
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
εἷς A3--NSM--- εἷς
ἦν V9I-IAI3S- εἰμί
τῶν RA--GPM--- ὁ
τριῶν A3--GPM--- τρεῖς
ἀνδρῶν N3--GPM--- ἀνήρ

Dan 6:4
ὑπὲρ P--------- ὑπέρ
πάντας A3--APM--- πᾶς
ἔχων V1--PAPNSM ἔχω
ἐξουσίαν N1A-ASF--- ἐξουσία
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
ἦν V9I-IAI3S- εἰμί
ἐνδεδυμένος VM--XPPNSM δύω ἐν
πορφύραν N1A-ASF--- πορφύρα
καὶ C--------- καί
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
ἔνδοξος A1B-NSM--- ἔνδοξος
ἔναντι P--------- ἔναντι
Δαρείου N2--GSM--- Δαρεῖος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καθότι D--------- καθότι
ἦν V9I-IAI3S- εἰμί
ἔνδοξος A1B-NSM--- ἔνδοξος
καὶ C--------- καί
ἐπιστήμων A3N-NSM--- ἐπιστήμων
καὶ C--------- καί
συνετός A1--NSM--- συνετός
καὶ C--------- καί
πνεῦμα N3M-NSN--- πνεῦμα
ἅγιον A1A-NSN--- ἅγιος
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
εὐοδούμενος V4--PMPNSM εὐοδόω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πραγματείαις N1A-DPF--- πραγματεία
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
αἷς RR--DPF--- ὅς
ἔπρασσε V1I-IAI3S- πράσσω
τότε D--------- τότε
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐβουλεύσατο VAI-AMI3S- βουλεύω
καταστῆσαι VA--AAN--- ἵστημι κατα
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ἐπὶ P--------- ἐπί
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δύο M--------- δύο
ἄνδρας N3--APM--- ἀνήρ
οὓς RR--APM--- ὅς
κατέστησε VHI-AAI3S- ἵστημι κατα
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
σατράπας N1M-APM--- σατράπης
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ἑπτά M--------- ἑπτά

Dan 6:5
ὅτε D--------- ὅτε
δὲ X--------- δέ
ἐβουλεύσατο VAI-AMI3S- βουλεύω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καταστῆσαι VA--AAN--- ἵστημι κατα
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
ἐπὶ P--------- ἐπί
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
τότε D--------- τότε
βουλὴν N1--ASF--- βουλή
καὶ C--------- καί
γνώμην N1--ASF--- γνώμη
ἐβουλεύσαντο VAI-AMI3P- βουλεύω
ἐν P--------- ἐν
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
οἱ RA--NPM--- ὁ
δύο M--------- δύο
νεανίσκοι N2--NPM--- νεανίσκος
πρὸς P--------- πρός
ἀλλήλους RD--APM--- ἀλλήλω
λέγοντες V1--PAPNPM λέγω
ἐπεὶ C--------- ἐπεί
οὐδεμίαν A1A-ASF--- οὐδείς
ἁμαρτίαν N1A-ASF--- ἁμαρτία
οὐδὲ C--------- οὐδέ
ἄγνοιαν N1A-ASF--- ἄγνοια
ηὕρισκον V1I-IAI3P- εὑρίσκω
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
περὶ P--------- περί
ἧς RR--GSF--- ὅς
κατηγορήσουσιν VF--FAI3P- ἠγορέω κατα
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς

Dan 6:6
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
δεῦτε D--------- δεῦτε
στήσωμεν VA--AAS1P- ἵστημι
ὁρισμὸν N2--ASM--- ὁρισμός
καθ' P--------- κατά
ἑαυτῶν RD--GPM--- ἑαυτοῦ
ὅτι C--------- ὅτι
πᾶς A3--NSM--- πᾶς
ἄνθρωπος N2--NSM--- ἄνθρωπος
οὐκ D--------- οὐ
ἀξιώσει VF--FAI3S- ἀξιόω
ἀξίωμα N3M-ASN--- ἀξίωμα
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
εὔξηται VA--AMS3S- εὔχομαι
εὐχὴν N1--ASF--- εὐχή
ἀπὸ P--------- ἀπό
παντὸς A3--GSM--- πᾶς
θεοῦ N2--GSM--- θεός
ἕως P--------- ἕως
ἡμερῶν N1A-GPF--- ἡμέρα
τριάκοντα M--------- τριάκοντα
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
παρὰ P--------- παρά
Δαρείου N2--GSM--- Δαρεῖος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
εἰ C--------- εἰ
δὲ X--------- δέ
μή D--------- μή
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
ἵνα C--------- ἵνα
ἡττήσωσι VS--AAS3P- ἡττάω
