Hos 1:1
ἐγεννήθησαν VCI-API3P- γεννάω
αὐτοῖς RD--DPM--- αὐτός
νῦν D--------- νῦν
καταφάγεται VF--FMI3S- ἐσθίω κατα
αὐτοὺς RD--APM--- αὐτός
ἡ RA--NSF--- ὁ
ἐρυσίβη N1--NSF--- ἐρυσίβη
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κλήρους N2--APM--- κλῆρος
αὐτῶν RD--GPM--- αὐτός

Hos 5:8
σαλπίσατε VA--AAD2P- σαλπίζω
σάλπιγγι N3G-DSF--- σάλπιγξ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
βουνούς N2--APM--- βουνός
ἠχήσατε VA--AAD2P- ἠχέω
ἐπὶ P--------- ἐπί
τῶν RA--GPM--- ὁ
ὑψηλῶν A1--GPM--- ὑψηλός
κηρύξατε VA--AAD2P- κηρύσσω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ων N---GS---- Ων
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
Βενιαμιν N---NSM--- Βενιαμίν

Hos 5:9
Εφραιμ N---NSM--- Ἐφράιμ
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
ἐλέγχου N2--GSM--- ἔλεγχος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
φυλαῖς N1--DPF--- φυλή
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἔδειξα VAI-AAI1S- δεικνύω
πιστά A1--APN--- πιστός

Hos 5:10
ἐγένοντο VBI-AMI3P- γίγνομαι
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
Ιουδα N---GSM--- Ιουδα
ὡς C--------- ὡς
μετατιθέντες V7--PAPNPM τίθημι μετα
ὅρια N2N-APN--- ὅριον
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
ἐκχεῶ VF2-FAI1S- χέω ἐκ
ὡς C--------- ὡς
ὕδωρ N3--ASN--- ὕδωρ
τὸ RA--ASN--- ὁ
ὅρμημά N3M-ASN--- ὅρμημα
μου RP--GS---- ἐγώ

Hos 5:11
κατεδυνάστευσεν VAI-AAI3S- δυναστεύω κατα
Εφραιμ N---NSM--- Ἐφράιμ
τὸν RA--ASM--- ὁ
ἀντίδικον N2--ASM--- ἀντίδικος
αὐτοῦ RD--GSM--- αὐτός
κατεπάτησεν VAI-AAI3S- πατέω κατα
κρίμα N3M-ASN--- κρίμα
ὅτι C--------- ὅτι
ἤρξατο VAI-AMI3S- ἄρχω
πορεύεσθαι V1--PMN--- πορεύομαι
ὀπίσω P--------- ὀπίσω
τῶν RA--GPM--- ὁ
ματαίων A1A-GPM--- μάταιος

Hos 5:12
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ὡς C--------- ὡς
ταραχὴ N1--NSF--- ταραχή
τῷ RA--DSM--- ὁ
Εφραιμ N---DSM--- Ἐφράιμ
καὶ C--------- καί
ὡς C--------- ὡς
κέντρον N2N-NSN--- κέντρον
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ιουδα N---GSM--- Ιουδα

Hos 5:13
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
Εφραιμ N---NSM--- Ἐφράιμ
τὴν RA--ASF--- ὁ
νόσον N2--ASF--- νόσος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Ιουδας N1T-NSM--- Ἰούδας
τὴν RA--ASF--- ὁ
ὀδύνην N1--ASF--- ὀδύνη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
Εφραιμ N---NSM--- Ἐφράιμ
πρὸς P--------- πρός
Ἀσσυρίους N2--APM--- Ἀσσύριος
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
πρέσβεις N3I-APM--- πρέσβις
πρὸς P--------- πρός
βασιλέα N3V-ASM--- βασιλεύς
Ιαριμ N---ASM--- Ιαριμ
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
οὐκ D--------- οὐ
ἠδυνάσθη VSI-API3S- δύναμαι
ἰάσασθαι VA--AMN--- ἰάομαι
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
διαπαύσῃ VA--AAS3S- παύω δια
ἐξ P--------- ἐκ
ὑμῶν RP--GP---- σύ
ὀδύνη N1--NSF--- ὀδύνη

Hos 5:14
διότι C--------- διότι
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
ὡς C--------- ὡς
πανθὴρ N3--NSM--- πανθήρ
τῷ RA--DSM--- ὁ
Εφραιμ N---DSM--- Ἐφράιμ
καὶ C--------- καί
ὡς C--------- ὡς
λέων N3W-NSM--- λέων
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἁρπῶμαι VF2-FMI1S- ἁρπάζω
καὶ C--------- καί
πορεύσομαι VF--FMI1S- πορεύομαι
καὶ C--------- καί
λήμψομαι VF--FMI1S- λαμβάνω
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται V9--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
ἐξαιρούμενος V2--PMPNSM αἱρέω ἐκ

Hos 5:15
πορεύσομαι VF--FMI1S- πορεύομαι
καὶ C--------- καί
ἐπιστρέψω VF--FAI1S- στρέφω ἐπι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
μου RP--GS---- ἐγώ
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἀφανισθῶσιν VS--APS3P- ἵζω ἀπο ἀνα
καὶ C--------- καί
ἐπιζητήσουσιν VF--FAI3P- ζητέω ἐπι
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
θλίψει N3I-DSF--- θλῖψις
αὐτῶν RD--GPM--- αὐτός
ὀρθριοῦσι VF2-FAI3P- ὀρθρίζω
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγοντες V1--PAPNPM λέγω

Hos 6:1
πορευθῶμεν VC--APS1P- πορεύομαι
καὶ C--------- καί
ἐπιστρέψωμεν VA--AAS1P- στρέφω ἐπι
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
αὐτὸς RD--NSM--- αὐτός
ἥρπακεν VX--XAI3S- ἁρπάζω
καὶ C--------- καί
ἰάσεται VF--FMI3S- ἰάομαι
ἡμᾶς RP--AP---- ἐγώ
πατάξει VF--FAI3S- πατάσσω
καὶ C--------- καί
μοτώσει VF--FAI3S- μοτόω
ἡμᾶς RP--AP---- ἐγώ

Hos 6:2
ὑγιάσει VF--FAI3S- ὑγιάζω
ἡμᾶς RP--AP---- ἐγώ
μετὰ P--------- μετά
δύο M--------- δύο
ἡμέρας N1A-APF--- ἡμέρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
τρίτῃ A1--DSF--- τρίτος
ἀναστησόμεθα VF--FMI1P- ἵστημι ἀνα
καὶ C--------- καί
ζησόμεθα VF--FMI1P- ζάω
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός

Hos 6:3
καὶ C--------- καί
γνωσόμεθα VF--FMI1P- γιγνώσκω
διώξομεν VF--FAI1P- διώκω
τοῦ RA--GSN--- ὁ
γνῶναι VZ--AAN--- γιγνώσκω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὡς C--------- ὡς
ὄρθρον N2--ASM--- ὄρθρος
ἕτοιμον A1--ASM--- ἕτοιμος
εὑρήσομεν VF--FAI1P- εὑρίσκω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἥξει VF--FAI3S- ἥκω
ὡς C--------- ὡς
ὑετὸς N2--NSM--- ὑετός
ἡμῖν RP--DP---- ἐγώ
πρόιμος A1B-NSM--- πρώιμος
καὶ C--------- καί
ὄψιμος A1B-NSM--- ὄψιμος
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ

Hos 6:4
τί RI--ASN--- τίς
σοι RP--DS---- σύ
ποιήσω VF--FAI1S- ποιέω
Εφραιμ N---VSM--- Ἐφράιμ
τί RI--ASN--- τίς
σοι RP--DS---- σύ
ποιήσω VF--FAI1S- ποιέω
Ιουδα N---VSM--- Ιουδα
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ἔλεος N3E-NSN--- ἔλεος
ὑμῶν RP--GP---- σύ
ὡς C--------- ὡς
νεφέλη N1--NSF--- νεφέλη
πρωινὴ A1--NSF--- πρωινός
καὶ C--------- καί
ὡς C--------- ὡς
δρόσος N2--NSF--- δρόσος
ὀρθρινὴ A1--NSF--- ὀρθρινός
πορευομένη V1--PMPNSF πορεύομαι

Hos 6:5
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἀπεθέρισα VAI-AAI1S- θερίζω ἀπο
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
ὑμῶν RP--GP---- σύ
ἀπέκτεινα VAI-AAI1S- κτείνω ἀπο
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ῥήμασιν N3M-DPN--- ῥῆμα
στόματός N3M-GSN--- στόμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
κρίμα N3M-NSN--- κρίμα
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
φῶς N3T-NSN--- φῶς
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ

Hos 6:6
διότι C--------- διότι
ἔλεος N3E-ASN--- ἔλεος
θέλω V1--PAI1S- θέλω
καὶ C--------- καί
οὐ D--------- οὐ
θυσίαν N1A-ASF--- θυσία
καὶ C--------- καί
ἐπίγνωσιν N3I-ASF--- ἐπίγνωσις
θεοῦ N2--GSM--- θεός
ἢ C--------- ἤ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα

Hos 6:7
αὐτοὶ RD--NPM--- αὐτός
δέ X--------- δέ
εἰσιν V9--PAI3P- εἰμί
ὡς C--------- ὡς
ἄνθρωπος N2--NSM--- ἄνθρωπος
παραβαίνων V1--PAPNSM βαίνω παρα
διαθήκην N1--ASF--- διαθήκη
ἐκεῖ D--------- ἐκεῖ
κατεφρόνησέν VAI-AAI3S- φρονέω κατα
μου RP--GS---- ἐγώ

Hos 6:8
Γαλααδ N---NSM--- Γαλαάδ
πόλις N3I-NSF--- πόλις
ἐργαζομένη V1--PMPNSF ἐργάζομαι
μάταια A1A-APN--- μάταιος
ταράσσουσα V1--PAPNSF ταράσσω
ὕδωρ N3--ASN--- ὕδωρ

Hos 6:9
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἰσχύς N3--NSF--- ἰσχύς
σου RP--GS---- σύ
ἀνδρὸς N3--GSM--- ἀνήρ
πειρατοῦ N1M-GSM--- πειρατής
ἔκρυψαν VAI-AAI3P- κρύπτω
ἱερεῖς N3V-NPM--- ἱερεύς
ὁδὸν N2--ASF--- ὁδός
κυρίου N2--GSM--- κύριος
ἐφόνευσαν VAI-AAI3P- φονεύω
Σικιμα N---AS---- Σικιμα
ὅτι C--------- ὅτι
ἀνομίαν N1A-ASF--- ἀνομία
ἐποίησαν VAI-AAI3P- ποιέω

Hos 6:10
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
εἶδον VBI-AAI1S- ὁράω
φρικώδη A3H-ASF--- φρικώδης
ἐκεῖ D--------- ἐκεῖ
πορνείαν N1A-ASF--- πορνεία
τοῦ RA--GSM--- ὁ
Εφραιμ N---GSM--- Ἐφράιμ
ἐμιάνθη VCI-API3S- μιαίνω
Ισραηλ N---NSM--- Ἰσραήλ
καὶ C--------- καί
Ιουδα N---NSM--- Ἰουδά

Hos 6:11
ἄρχου V1--PMD2S- ἄρχω
τρυγᾶν V3--PAN--- τρυγάω
σεαυτῷ RD--DSM--- σεαυτοῦ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐπιστρέφειν V1--PAN--- στρέφω ἐπι
με RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ

Hos 7:1
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἰάσασθαί VA--AMN--- ἰάομαι
με RP--AS---- ἐγώ
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
καὶ C--------- καί
ἀποκαλυφθήσεται VV--FPI3S- καλύπτω ἀπο
ἡ RA--NSF--- ὁ
ἀδικία N1A-NSF--- ἀδικία
Εφραιμ N---GSM--- Ἐφράιμ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
Σαμαρείας N1A-GSF--- Σαμαρία
ὅτι C--------- ὅτι
ἠργάσαντο VAI-AMI3P- ἐργάζομαι
ψευδῆ A3H-APN--- ψευδής
καὶ C--------- καί
κλέπτης N1M-NSM--- κλέπτης
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
ἐκδιδύσκων V1--PAPNSM διδύσκω ἐκ
λῃστὴς N1M-NSM--- λῃστής
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός

Hos 7:2
ὅπως C--------- ὅπως
συνᾴδωσιν V1--PAS3P- ᾄδω συν
ὡς C--------- ὡς
συνᾴδοντες V1--PAPNPM ᾄδω συν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
κακίας N1A-APF--- κακία
αὐτῶν RD--GPM--- αὐτός
ἐμνήσθην VSI-API1S- μιμνήσκω
νῦν D--------- νῦν
ἐκύκλωσεν VAI-AAI3S- κυκλόω
αὐτοὺς RD--APM--- αὐτός
τὰ RA--NPN--- ὁ
διαβούλια N2N-NPN--- διαβούλιον
αὐτῶν RD--GPM--- αὐτός
ἀπέναντι P--------- ἀπέναντι
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
ἐγένοντο VBI-AMI3P- γίγνομαι

Hos 7:3
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
κακίαις N1A-DPF--- κακία
αὐτῶν RD--GPM--- αὐτός
εὔφραναν VA--AAI3P- εὐφραίνω
βασιλεῖς N3V-APM--- βασιλεύς
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ψεύδεσιν N3E-DPN--- ψεῦδος
αὐτῶν RD--GPM--- αὐτός
ἄρχοντας N3--APM--- ἄρχων

Hos 7:4
πάντες A3--NPM--- πᾶς
μοιχεύοντες V1--PAPNPM μοιχεύω
ὡς C--------- ὡς
κλίβανος A1--NSM--- κλίβανος
καιόμενος V1--PMPNSM καίω
εἰς P--------- εἰς
πέψιν N3I-ASF--- πέψις
κατακαύματος N3M-GSN--- κατάκαυμα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
φλογός N3G-GSF--- φλόξ
ἀπὸ P--------- ἀπό
φυράσεως N3I-GSF--- φύρασις
στέατος N3T-GSN--- στέαρ
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ζυμωθῆναι VC--APN--- ζυμοῦσθαι
αὐτό RD--ASN--- αὐτός

Hos 7:5
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τῶν RA--GPM--- ὁ
βασιλέων N3V-GPM--- βασιλεύς
ὑμῶν RP--GP---- σύ
ἤρξαντο VAI-AMI3P- ἄρχω
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
θυμοῦσθαι V4--PMN--- θυμόω
ἐξ P--------- ἐκ
οἴνου N2--GSM--- οἶνος
ἐξέτεινεν VAI-AAI3S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
λοιμῶν N2--GPM--- λοιμός

Hos 7:6
διότι C--------- διότι
ἀνεκαύθησαν VCI-API3P- καίω ἀνα
ὡς C--------- ὡς
κλίβανος A1--NSM--- κλίβανος
αἱ RA--NPF--- ὁ
καρδίαι N1A-NPF--- καρδία
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
καταράσσειν V1--PAN--- ῥάσσω κατα
αὐτούς RD--APM--- αὐτός
ὅλην A1--ASF--- ὅλος
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ὕπνου N2--GSM--- ὕπνος
Εφραιμ N---NSM--- Ἐφράιμ
ἐνεπλήσθη VSI-API3S- πίμπλημι ἐν
πρωὶ D--------- πρωΐ
ἐγενήθη VCI-API3S- γίγνομαι
ἀνεκαύθη VCI-API3S- καίω ἀνα
ὡς C--------- ὡς
πυρὸς N3--GSN--- πῦρ
φέγγος N3E-NSN--- φέγγος

Hos 7:7
πάντες A3--NPM--- πᾶς
ἐθερμάνθησαν VCI-API3P- θερμαίνω
ὡς C--------- ὡς
κλίβανος A1--NSM--- κλίβανος
καὶ C--------- καί
κατέφαγον VBI-AAI3P- ἐσθίω κατα
τοὺς RA--APM--- ὁ
κριτὰς N1M-APM--- κριτής
αὐτῶν RD--GPM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
αὐτῶν RD--GPM--- αὐτός
ἔπεσαν VAI-AAI3P- πίπτω
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἐπικαλούμενος V2--PMPNSM καλέω ἐπι
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
πρός P--------- πρός
με RP--AS---- ἐγώ

Hos 7:8
Εφραιμ N---NSM--- Ἐφράιμ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
λαοῖς N2--DPM--- λαός
αὐτοῦ RD--GSM--- αὐτός
συνανεμείγνυτο V5I-IMI3S- μίγνυμι συν ἀνα
Εφραιμ N---NSM--- Ἐφράιμ
ἐγένετο VBI-AMI3S- γίγνομαι
ἐγκρυφίας N1T-NSM--- ἐγκρυφίας
οὐ D--------- οὐ
μεταστρεφόμενος V1--PMPNSM στρέφω μετα

Hos 7:9
κατέφαγον VBI-AAI3P- ἐσθίω κατα
ἀλλότριοι A1A-NPM--- ἀλλότριος
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
αὐτὸς RD--NSM--- αὐτός
δὲ X--------- δέ
οὐκ D--------- οὐ
ἐπέγνω VZI-AAI3S- γιγνώσκω ἐπι
καὶ C--------- καί
πολιαὶ N1A-NPF--- πολιά
ἐξήνθησαν VAI-AAI3P- ἀνθέω ἐκ
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω

Hos 7:10
καὶ C--------- καί
ταπεινωθήσεται VC--FPI3S- ταπεινόω
ἡ RA--NSF--- ὁ
ὕβρις N3I-NSF--- ὕβρις
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπέστρεψαν VAI-AAI3P- στρέφω ἐπι
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐξεζήτησαν VAI-AAI3P- ζητέω ἐκ
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
πᾶσι A3--DPM--- πᾶς
τούτοις RD--DPM--- οὗτος

Hos 7:11
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Εφραιμ N---NSM--- Ἐφράιμ
ὡς C--------- ὡς
περιστερὰ N1A-NSF--- περιστερά
ἄνους A1C-NSF--- ἄνους
οὐκ D--------- οὐ
ἔχουσα V1--PAPNSF ἔχω
καρδίαν N1A-ASF--- καρδία
Αἴγυπτον N2--ASF--- Αἴγυπτος
ἐπεκαλεῖτο V2I-IMI3S- καλέω ἐπι
καὶ C--------- καί
εἰς P--------- εἰς
Ἀσσυρίους N2--APM--- Ἀσσύριος
ἐπορεύθησαν VCI-API3P- πορεύομαι

Hos 7:12
καθὼς D--------- καθώς
ἂν X--------- ἄν
πορεύωνται V1--PMS3P- πορεύομαι
ἐπιβαλῶ VF2-FAI1S- βάλλω ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
τὸ RA--ASN--- ὁ
δίκτυόν N2N-ASN--- δίκτυον
μου RP--GS---- ἐγώ
καθὼς D--------- καθώς
τὰ RA--APN--- ὁ
πετεινὰ N2N-APN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
κατάξω VF--FAI1S- ἄγω κατα
αὐτούς RD--APM--- αὐτός
παιδεύσω VF--FAI1S- παιδεύω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀκοῇ N1--DSF--- ἀκοή
τῆς RA--GSF--- ὁ
θλίψεως N3I-GSF--- θλῖψις
αὐτῶν RD--GPM--- αὐτός

Hos 7:13
οὐαὶ I--------- οὐαί
αὐτοῖς RD--DPM--- αὐτός
ὅτι C--------- ὅτι
ἀπεπήδησαν VAI-AAI3P- πηδάω ἀπο
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
δείλαιοί A1A-NPM--- δείλαιος
εἰσιν V9--PAI3P- εἰμί
ὅτι C--------- ὅτι
ἠσέβησαν VAI-AAI3P- ἀσεβέω
εἰς P--------- εἰς
ἐμέ RP--AS---- ἐγώ
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἐλυτρωσάμην VAI-AMI1S- λυτρόω
αὐτούς RD--APM--- αὐτός
αὐτοὶ RD--NPM--- αὐτός
δὲ X--------- δέ
κατελάλησαν VAI-AAI3P- λαλέω κατα
κατ' P--------- κατά
ἐμοῦ RP--GS---- ἐγώ
ψεύδη A3H-APN--- ψευδής

Hos 7:14
καὶ C--------- καί
οὐκ D--------- οὐ
ἐβόησαν VAI-AAI3P- βοάω
πρός P--------- πρός
με RP--AS---- ἐγώ
αἱ RA--NPF--- ὁ
καρδίαι N1A-NPF--- καρδία
αὐτῶν RD--GPM--- αὐτός
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ὠλόλυζον V1I-IAI3P- ὀλολύζω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
κοίταις N1--DPF--- κοίτη
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
σίτῳ N2--DSM--- σῖτος
καὶ C--------- καί
οἴνῳ N2--DSM--- οἶνος
κατετέμνοντο V1I-IMI3P- τέμνω κατα
ἐπαιδεύθησαν VCI-API3P- παιδεύω
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ

Hos 7:15
κἀγὼ C+RPNS---- καί+ἐγώ
κατίσχυσα VAI-AAI1S- ἰσχύω κατα
τοὺς RA--APM--- ὁ
βραχίονας N3N-APM--- βραχίων
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἰς P--------- εἰς
ἐμὲ RP--AS---- ἐγώ
ἐλογίσαντο VAI-AMI3P- λογίζομαι
πονηρά A1A-APN--- πονηρός

Hos 7:16
ἀπεστράφησαν VDI-API3P- στρέφω ἀπο
εἰς P--------- εἰς
οὐθέν A3--ASN--- οὐδείς
ἐγένοντο VBI-AMI3P- γίγνομαι
ὡς C--------- ὡς
τόξον N2N-NSN--- τόξον
ἐντεταμένον VM--XMPNSN τείνω ἐν
πεσοῦνται VF2-FMI3P- πίπτω
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
δι' P--------- διά
ἀπαιδευσίαν N1A-ASF--- ἀπαιδευσία
γλώσσης N1S-GSF--- γλῶσσα
αὐτῶν RD--GPM--- αὐτός
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
φαυλισμὸς N2--NSM--- φαυλισμός
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτῳ N2--DSF--- Αἴγυπτος

Hos 8:1
εἰς P--------- εἰς
κόλπον N2--ASM--- κόλπος
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
γῆ N1--NSF--- γῆ
ὡς C--------- ὡς
ἀετὸς N2--NSM--- ἀετός
ἐπ' P--------- ἐπί
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
παρέβησαν VZI-AAI3P- βαίνω παρα
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
μου RP--GS---- ἐγώ
καὶ C--------- καί
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος
μου RP--GS---- ἐγώ
ἠσέβησαν VAI-AAI3P- ἀσεβέω

Hos 8:2
ἐμὲ RP--AS---- ἐγώ
κεκράξονται VFX-FMI3P- κράζω
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἐγνώκαμέν VX--XAI1P- γιγνώσκω
σε RP--AS---- σύ

Hos 8:3
ὅτι C--------- ὅτι
Ισραηλ N---NSM--- Ἰσραήλ
ἀπεστρέψατο VAI-AMI3S- στρέφω ἀπο
ἀγαθά A1--APN--- ἀγαθός
ἐχθρὸν N2--ASM--- ἐχθρός
κατεδίωξαν VAI-AAI3P- διώκω κατα

Hos 8:4
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
ἐβασίλευσαν VAI-AAI3P- βασιλεύω
καὶ C--------- καί
οὐ D--------- οὐ
δι' P--------- διά
ἐμοῦ RP--GS---- ἐγώ
ἦρξαν VAI-AAI3P- ἄρχω
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγνώρισάν VAI-AAI3P- γνωρίζω
μοι RP--DS---- ἐγώ
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
χρυσίον N2N-ASN--- χρυσίον
αὐτῶν RD--GPM--- αὐτός
ἐποίησαν VAI-AAI3P- ποιέω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
εἴδωλα N2N-APN--- εἴδωλον
