Wis 1:1
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ
κύριε N2--VSM--- κύριος

Wis 12:3
καὶ C--------- καί
γὰρ X--------- γάρ
τοὺς RA--APM--- ὁ
πάλαι D--------- πάλαι
οἰκήτορας N3R-APM--- οἰκήτωρ
τῆς RA--GSF--- ὁ
ἁγίας A1A-GSF--- ἅγιος
σου RP--GS---- σύ
γῆς N1--GSF--- γῆ

Wis 12:4
μισήσας VA--AAPNSM μισέω
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ἔχθιστα A1--APNS-- ἐχθρός
πράσσειν V1--PAN--- πράσσω
ἔργα N2N-APN--- ἔργον
φαρμακειῶν N1A-GPF--- φαρμακία
καὶ C--------- καί
τελετὰς N1--APF--- τελετή
ἀνοσίους A1B-APF--- ἀνόσιος

Wis 12:5
τέκνων N2N-GPN--- τέκνον
τε X--------- τε
φονὰς N3V-APM--- φονεύς
ἀνελεήμονας A3--APM--- ἀνελεήμων
καὶ C--------- καί
σπλαγχνοφάγον A1B-ASN--- σπλαγχνοφάγος
ἀνθρωπίνων A1--GPF--- ἀνθρώπινος
σαρκῶν N3K-GPF--- σάρξ
θοῖναν N1A-ASF--- θοῖνα
καὶ C--------- καί
αἵματος N3M-GSN--- αἷμα
ἐκ P--------- ἐκ
μέσου A1--GSN--- μέσος
μύστας N1M-APM--- μύστης
θιάσου N2--GSM--- θίασος

Wis 12:6
καὶ C--------- καί
αὐθέντας N1M-APM--- αὐθέντης
γονεῖς N3V-NPM--- γονεύς
ψυχῶν N1--GPF--- ψυχή
ἀβοηθήτων A1B-GPF--- ἀβοήθητος
ἐβουλήθης VCI-API2S- βούλομαι
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
διὰ P--------- διά
χειρῶν N3--GPF--- χείρ
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ

Wis 12:7
ἵνα C--------- ἵνα
ἀξίαν A1A-ASF--- ἄξιος
ἀποικίαν N1A-ASF--- ἀποικία
δέξηται VA--AMS3S- δέχομαι
θεοῦ N2--GSM--- θεός
παίδων N3D-GPM--- παῖς
ἡ RA--NSF--- ὁ
παρὰ P--------- παρά
σοὶ RP--DS---- σύ
πασῶν A1S-GPF--- πᾶς
τιμιωτάτη A1A-NSFS-- τίμιος
γῆ N1--NSF--- γῆ

Wis 12:8
ἀλλὰ C--------- ἀλλά
καὶ D--------- καί
τούτων RD--GPM--- οὗτος
ὡς C--------- ὡς
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἐφείσω VAI-AMI2S- φείδομαι
ἀπέστειλάς VAI-AAI2S- στέλλω ἀπο
τε X--------- τε
προδρόμους A1B-APM--- πρόδρομος
τοῦ RA--GSN--- ὁ
στρατοπέδου N2N-GSN--- στρατόπεδον
σου RP--GS---- σύ
σφῆκας N3K-APM--- σφήξ
ἵνα C--------- ἵνα
αὐτοὺς RD--APM--- αὐτός
κατὰ P--------- κατά
βραχὺ A3U-ASN--- βραχύς
ἐξολεθρεύσωσιν VA--AAS3P- ὀλεθρεύω ἐκ

Wis 12:9
οὐκ D--------- οὐ
ἀδυνατῶν V2--PAPNSM ἀδυνατέω
ἐν P--------- ἐν
παρατάξει N3I-DSM--- παράταξις
ἀσεβεῖς A3H-APM--- ἀσεβής
δικαίοις A1A-DPM--- δίκαιος
ὑποχειρίους A1A-APM--- ὑποχείριος
δοῦναι VO--AAN--- δίδωμι
ἢ C--------- ἤ
θηρίοις N2N-DPN--- θηρίον
δεινοῖς A1--DPN--- δεινός
ἢ C--------- ἤ
λόγῳ N2--DSM--- λόγος
ἀποτόμῳ A1B-DSM--- ἀπότομος
ὑφ' P--------- ὑπό
ἓν A3--ASN--- εἷς
ἐκτρῖψαι VA--AAN--- τρίβω ἐκ

Wis 12:10
κρίνων N2N-GPN--- κρίνον
δὲ X--------- δέ
κατὰ P--------- κατά
βραχὺ A3U-ASN--- βραχύς
ἐδίδους V8I-IMI2S- δίδωμι
τόπον N2--ASM--- τόπος
μετανοίας N1A-GSF--- μετάνοια
οὐκ D--------- οὐ
ἀγνοῶν V2--PAPNSM ἀγνοέω
ὅτι C--------- ὅτι
πονηρὰ A1A-NSF--- πονηρός
ἡ RA--NSF--- ὁ
γένεσις N3I-NSF--- γένεσις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔμφυτος A1B-NSF--- ἔμφυτος
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὅτι C--------- ὅτι
οὐ D--------- οὐ
μὴ D--------- μή
ἀλλαγῇ VD--APS3S- ἀλλάσσω
ὁ RA--NSM--- ὁ
λογισμὸς N2--NSM--- λογισμός
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

Wis 12:11
σπέρμα N3M-NSN--- σπέρμα
γὰρ X--------- γάρ
ἦν V9--IAI3S- εἰμί
κατηραμένον VM--XMPNSN ἀράομαι κατα
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή
οὐδὲ C--------- οὐδέ
εὐλαβούμενός V2--PMPNSM εὐλαβέομαι
τινα RI--ASM--- τις
ἐφ' P--------- ἐπί
οἷς RR--DPM--- ὅς
ἡμάρτανον V1I-IAI3P- ἁμαρτάνω
ἄδειαν N1A-ASF--- ἄδεια
ἐδίδους V8I-IMI2S- δίδωμι

Wis 12:12
τίς RI--NSM--- τίς
γὰρ X--------- γάρ
ἐρεῖ VF2-FAI3S- εἶπον
τί RI--ASN--- τίς
ἐποίησας VAI-AAI2S- ποιέω
ἢ C--------- ἤ
τίς RI--NSM--- τίς
ἀντιστήσεται VF--FMI3S- ἵστημι ἀντι
τῷ RA--DSN--- ὁ
κρίματί N3M-DSN--- κρίμα
σου RP--GS---- σύ
τίς RI--NSM--- τίς
δὲ X--------- δέ
ἐγκαλέσει VF--FAI3S- καλέω ἐν
σοι RP--DS---- σύ
κατὰ P--------- κατά
ἐθνῶν N3E-GPN--- ἔθνος
ἀπολωλότων VX--XAPGPN ὀλλύω ἀπο
ἃ RR--APN--- ὅς
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
ἢ C--------- ἤ
τίς RI--NSM--- τίς
εἰς P--------- εἰς
κατάστασίν N3I-ASF--- κατάστασις
σοι RP--DS---- σύ
ἐλεύσεται VF--FMI3S- ἔρχομαι
ἔκδικος A1B-NSM--- ἔκδικος
κατὰ P--------- κατά
ἀδίκων A1B-GPM--- ἄδικος
ἀνθρώπων N2--GPM--- ἄνθρωπος

Wis 12:13
οὔτε C--------- οὔτε
γὰρ X--------- γάρ
θεός N2--NSM--- θεός
ἐστιν V9--PAI3S- εἰμί
πλὴν D--------- πλήν
σοῦ RP--GS---- σύ
ᾧ RR--DSM--- ὅς
μέλει V1--PAI3S- μέλω
περὶ P--------- περί
πάντων A3--GPM--- πᾶς
ἵνα C--------- ἵνα
δείξῃς VA--AAS2S- δεικνύω
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀδίκως D--------- ἀδίκως
ἔκρινας VAI-AAI2S- κρίνω

Wis 12:14
οὔτε C--------- οὔτε
βασιλεὺς N3V-NSM--- βασιλεύς
ἢ C--------- ἤ
τύραννος N2--NSM--- τύραννος
ἀντοφθαλμῆσαι VA--AAN--- ὀφθαλμέω ἀντι
δυνήσεταί VF--FMI3S- δύναμαι
σοι RP--DS---- σύ
περὶ P--------- περί
ὧν RR--GPM--- ὅς
ἐκόλασας VAI-AAI2S- κολάζω

Wis 12:15
δίκαιος A1A-NSM--- δίκαιος
δὲ X--------- δέ
ὢν V9--PAPNSM εἰμί
δικαίως D--------- δικαίως
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
διέπεις V1--PAI2S- ἕπω δια
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
μὴ D--------- μή
ὀφείλοντα V1--PAPASM ὀφείλω
κολασθῆναι VS--APN--- κολάζω
καταδικάσαι VA--AAN--- δικάζω κατα
ἀλλότριον A1A-ASM--- ἀλλότριος
ἡγούμενος V2--PMPNSM ἡγέομαι
τῆς RA--GSF--- ὁ
σῆς A1--GSF--- σός
δυνάμεως N3I-GSF--- δύναμις

Wis 12:16
ἡ RA--NSF--- ὁ
γὰρ X--------- γάρ
ἰσχύς N3--NSF--- ἰσχύς
σου RP--GS---- σύ
δικαιοσύνης N1--GSF--- δικαιοσύνη
ἀρχή N1--NSF--- ἀρχή
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πάντων A3--GPN--- πᾶς
σε RP--AS---- σύ
δεσπόζειν V1--PAN--- δεσπόζω
πάντων A3--GPN--- πᾶς
φείδεσθαί V1--PMN--- φείδομαι
σε RP--AS---- σύ
ποιεῖ V2--PAI3S- ποιέω

Wis 12:17
ἰσχὺν N3--ASF--- ἰσχύς
γὰρ X--------- γάρ
ἐνδείκνυσαι V5--PMI2S- δεικνύω ἐν
ἀπιστούμενος V2--PMPNSM ἀπιστέω
ἐπὶ P--------- ἐπί
δυνάμεως N3I-GSF--- δύναμις
τελειότητι N3T-DSF--- τελειότης
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
εἰδόσι VX--XAPDPM οἶδα
τὸ RA--ASN--- ὁ
θράσος N3E-ASN--- θράσος
ἐξελέγχεις V1--PAI2S- ἐλέγχω ἐκ

Wis 12:18
σὺ RP--NS---- σύ
δὲ X--------- δέ
δεσπόζων V1--PAPNSM δεσπόζω
ἰσχύος N3U-GSF--- ἰσχύς
ἐν P--------- ἐν
ἐπιεικείᾳ N1A-DSF--- ἐπιείκεια
κρίνεις V1--PAI2S- κρίνω
καὶ C--------- καί
μετὰ P--------- μετά
πολλῆς A1--GSF--- πολύς
φειδοῦς N3--GSF--- φειδώ
διοικεῖς V2--PAI2S- οἰκέω δια
ἡμᾶς RP--AP---- ἐγώ
πάρεστιν V9--PAI3S- εἰμί παρα
γάρ X--------- γάρ
σοι RP--DS---- σύ
ὅταν D--------- ὅταν
θέλῃς V1--PAS2S- θέλω
τὸ RA--ASN--- ὁ
δύνασθαι V6--PMN--- δύναμαι

Wis 12:19
ἐδίδαξας VAI-AAI2S- διδάσκω
δέ X--------- δέ
σου RP--GS---- σύ
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
διὰ P--------- διά
τῶν RA--GPN--- ὁ
τοιούτων A1--GPN--- τοιοῦτος
ἔργων N2N-GPN--- ἔργον
ὅτι C--------- ὅτι
δεῖ V2--PAI3S- δέω
τὸν RA--ASM--- ὁ
δίκαιον A1A-ASM--- δίκαιος
εἶναι V9--PAN--- εἰμί
φιλάνθρωπον A1B-ASM--- φιλάνθρωπος
καὶ C--------- καί
εὐέλπιδας A3--APM--- εὔελπις
ἐποίησας VAI-AAI2S- ποιέω
τοὺς RA--APM--- ὁ
υἱούς N2--APM--- υἱός
σου RP--GS---- σύ
ὅτι C--------- ὅτι
διδοῖς V8--PAI2S- δίδωμι
ἐπὶ P--------- ἐπί
ἁμαρτήμασιν N3M-DPN--- ἁμάρτημα
μετάνοιαν N1A-ASF--- μετάνοια

Wis 12:20
εἰ C--------- εἰ
γὰρ X--------- γάρ
ἐχθροὺς A1A-APM--- ἐχθρός
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
ὀφειλομένους V1--PMPAPM ὀφείλω
θανάτῳ N2--DSM--- θάνατος
μετὰ P--------- μετά
τοσαύτης A1--GSF--- τοσοῦτος
ἐτιμωρήσω VAI-AMI2S- τιμωρέω
προσοχῆς N1--GSF--- προσοχή
καὶ C--------- καί
διέσεως N3I-GSF--- δίεσις
δοὺς VO--AAPNSM δίδωμι
χρόνους N2--APM--- χρόνος
καὶ C--------- καί
τόπον N2--ASM--- τόπος
δι' P--------- διά
ὧν RR--GPM--- ὅς
ἀπαλλαγῶσι VD--APPDPM ἀλλάσσω ἀπο
τῆς RA--GSF--- ὁ
κακίας N1A-GSF--- κακία

Wis 12:21
μετὰ P--------- μετά
πόσης A1--GSF--- πόσος
ἀκριβείας N1A-GSF--- ἀκρίβεια
ἔκρινας VAI-AAI2S- κρίνω
τοὺς RA--APM--- ὁ
υἱούς N2--APM--- υἱός
σου RP--GS---- σύ
ὧν RR--GPM--- ὅς
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ὅρκους N2--APM--- ὅρκος
καὶ C--------- καί
συνθήκας N1--APF--- συνθήκη
ἔδωκας VAI-AAI2S- δίδωμι
ἀγαθῶν A1--GPN--- ἀγαθός
ὑποσχέσεων N3I-GPF--- ὑπόσχεσις

Wis 12:22
ἡμᾶς RP--AP---- ἐγώ
οὖν X--------- οὖν
παιδεύων V1--PAPNSM παιδεύω
τοὺς RA--APM--- ὁ
ἐχθροὺς A1A-APM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
ἐν P--------- ἐν
μυριότητι N3T-DSF--- μυριότης
μαστιγοῖς V4--PAI2S- μαστιγόω
ἵνα C--------- ἵνα
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
ἀγαθότητα N3T-ASF--- ἀγαθότης
μεριμνῶμεν V3--PAS1P- μεριμνάω
κρίνοντες V1--PAPNPM κρίνω
κρινόμενοι V1--PMPNPM κρίνω
δὲ X--------- δέ
προσδοκῶμεν V2--PAS1P- δοκάω προς
ἔλεος N2--NSM--- ἔλεος

Wis 12:23
ὅθεν D--------- ὅθεν
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
ἀφροσύνῃ N1--DSF--- ἀφροσύνη
ζωῆς N1--GSF--- ζωή
βιώσαντας VA--AAPAPM βιόω
ἀδίκως D--------- ἀδίκως
διὰ P--------- διά
τῶν RA--GPN--- ὁ
ἰδίων A1A-GPN--- ἴδιος
ἐβασάνισας VAI-AAI2S- βασανίζω
βδελυγμάτων N3M-GPN--- βδέλυγμα

Wis 12:24
καὶ C--------- καί
γὰρ X--------- γάρ
τῶν RA--GPF--- ὁ
πλάνης N1--GSF--- πλάνη
ὁδῶν N2--GPF--- ὁδός
μακρότερον A1A-ASNC-- μακρός
ἐπλανήθησαν VCI-API3P- πλανάω
θεοὺς N2--APM--- θεός
ὑπολαμβάνοντες V1--PAPNPM λαμβάνω ὑπο
τὰ RA--APN--- ὁ
καὶ C--------- καί
ἐν P--------- ἐν
ζῴοις N2--DPN--- ζῷον
τῶν RA--GPM--- ὁ
αἰσχρῶν A1A-GPM--- αἰσχρός
ἄτιμα A1B-APN--- ἄτιμος
νηπίων A1A-GPM--- νήπιος
δίκην N1--ASF--- δίκη
ἀφρόνων A3N-GPM--- ἄφρων
ψευσθέντες VS--APPNPM ψεύδω

Wis 12:25
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ὡς C--------- ὡς
παισὶν N3D-DPM--- παῖς
ἀλογίστοις A1B-DPM--- ἀλόγιστος
τὴν RA--ASF--- ὁ
κρίσιν N3I-ASF--- κρίσις
εἰς P--------- εἰς
ἐμπαιγμὸν N2--ASM--- ἐμπαιγμός
ἔπεμψας VAI-AAI2S- πέμπω

Wis 12:26
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
παιγνίοις N2N-DPN--- παίγνιον
ἐπιτιμήσεως N3I-GSF--- ἐπιτίμησις
μὴ D--------- μή
νουθετηθέντες VC--APPNPM νουθετέω
ἀξίαν A1A-ASF--- ἄξιος
θεοῦ N2--GSM--- θεός
κρίσιν N3I-ASF--- κρίσις
πειράσουσιν VF--FAI3P- πειράζω

Wis 12:27
ἐφ' P--------- ἐπί
οἷς RR--DPM--- ὅς
γὰρ X--------- γάρ
αὐτοὶ RD--NPM--- αὐτός
πάσχοντες V1--PAPNPM πάσχω
ἠγανάκτουν V2I-IAI3P- ἀγανακτέω
ἐπὶ P--------- ἐπί
τούτοις RD--DPM--- οὗτος
οὓς RR--APM--- ὅς
ἐδόκουν V2I-IAI3P- δοκέω
θεούς N2--APM--- θεός
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
κολαζόμενοι V1--PMPNPM κολάζω
ἰδόντες VB--AAPNPM ὁράω
ὃν RR--ASM--- ὅς
πάλαι D--------- πάλαι
ἠρνοῦντο V2I-IMI3P- ἀρνέομαι
εἰδέναι VX--XAN--- οἶδα
θεὸν N2--ASM--- θεός
ἐπέγνωσαν VZI-AAI3P- γιγνώσκω ἐπι
ἀληθῆ A3H-ASM--- ἀληθής
διὸ C--------- διό
καὶ D--------- καί
τὸ RA--NSN--- ὁ
τέρμα N3M-NSN--- τέρμα
τῆς RA--GSF--- ὁ
καταδίκης N1--GSF--- καταδίκη
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι

Wis 13:1
μάταιοι A1A-NPM--- μάταιος
μὲν X--------- μέν
γὰρ X--------- γάρ
πάντες A3--NPM--- πᾶς
ἄνθρωποι N2--NPM--- ἄνθρωπος
φύσει N3I-DSF--- φύσις
οἷς RR--DPM--- ὅς
παρῆν V9--IAI3S- εἰμί παρα
θεοῦ N2--GSM--- θεός
ἀγνωσία N1A-NSF--- ἀγνωσία
καὶ C--------- καί
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
ὁρωμένων V3--PMPGPN ὁράω
ἀγαθῶν A1--GPN--- ἀγαθός
οὐκ D--------- οὐ
ἴσχυσαν VA--AAPASN ἰσχύω
εἰδέναι VX--XAN--- οἶδα
τὸν RA--ASM--- ὁ
ὄντα V9--PAPASM εἰμί
οὔτε C--------- οὔτε
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
προσέχοντες V1--PAPNPM ἔχω προς
ἐπέγνωσαν VZI-AAI3P- γιγνώσκω ἐπι
τὸν RA--ASM--- ὁ
τεχνίτην N1M-ASM--- τεχνίτης

Wis 13:2
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
πῦρ N3--ASN--- πῦρ
ἢ C--------- ἤ
πνεῦμα N3M-ASN--- πνεῦμα
ἢ C--------- ἤ
ταχινὸν A1--ASM--- ταχινός
ἀέρα N3--ASM--- ἀήρ
ἢ C--------- ἤ
κύκλον N2--ASM--- κύκλος
ἄστρων N2N-GPN--- ἄστρον
ἢ C--------- ἤ
βίαιον A1A-ASN--- βίαιος
ὕδωρ N3--ASN--- ὕδωρ
ἢ C--------- ἤ
φωστῆρας N3H-APM--- φωστήρ
οὐρανοῦ N2--GSM--- οὐρανός
πρυτάνεις N3I-NPM--- πρύτανις
κόσμου N2--GSM--- κόσμος
θεοὺς N2--APM--- θεός
ἐνόμισαν VAI-AAI3P- νομίζω

Wis 13:3
ὧν RR--GPN--- ὅς
εἰ C--------- εἰ
μὲν X--------- μέν
τῇ RA--DSF--- ὁ
καλλονῇ N1--DSF--- καλλονή
τερπόμενοι V1--PMPNPM τέρπω
ταῦτα RD--APN--- οὗτος
θεοὺς N2--APM--- θεός
ὑπελάμβανον V1I-IAI3P- λαμβάνω ὑπο
γνώτωσαν VZ--AAD3P- γιγνώσκω
πόσῳ A1--DSM--- πόσος
τούτων RD--GPN--- οὗτος
ὁ RA--NSM--- ὁ
δεσπότης N1M-NSM--- δεσπότης
ἐστὶ V9--PAI3S- εἰμί
βελτίων A3C-NSM--- βελτίων
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
τοῦ RA--GSN--- ὁ
κάλλους N3E-GSN--- κάλλος
γενεσιάρχης N1M-NSM--- γενεσιάρχης
ἔκτισεν VAI-AAI3S- κτίζω
αὐτά RD--APN--- αὐτός

Wis 13:4
εἰ C--------- εἰ
δὲ X--------- δέ
δύναμιν N3I-ASF--- δύναμις
καὶ C--------- καί
ἐνέργειαν N1A-ASF--- ἐνέργεια
ἐκπλαγέντες VD--APPNPM πλήσσω ἐκ
νοησάτωσαν VA--AAD3P- νοέω
ἀπ' P--------- ἀπό
αὐτῶν RD--GPN--- αὐτός
πόσῳ A1--DSM--- πόσος
ὁ RA--NSM--- ὁ
κατασκευάσας VA--AAPNSM σκευάζω κατα
αὐτὰ RD--APN--- αὐτός
δυνατώτερός A1--NSMC-- δυνατός
ἐστιν V9--PAI3S- εἰμί

Wis 13:5
ἐκ P--------- ἐκ
γὰρ X--------- γάρ
μεγέθους N3E-GSN--- μέγεθος
καὶ C--------- καί
καλλονῆς N1--GSF--- καλλονή
κτισμάτων N3M-GPN--- κτίσμα
ἀναλόγως D--------- ἀναλόγως
ὁ RA--NSM--- ὁ
γενεσιουργὸς N2--NSM--- γενεσιουργός
αὐτῶν RD--GPM--- αὐτός
θεωρεῖται V2--PMI3S- θεωρέω

Wis 13:6
ἀλλ' C--------- ἀλλά
ὅμως C--------- ὅμως
ἐπὶ P--------- ἐπί
τούτοις RD--DPN--- οὗτος
μέμψις N3I-NSF--- μέμψις
ἐστὶν V9--PAI3S- εἰμί
ὀλίγη A1--NSF--- ὀλίγος
καὶ C--------- καί
γὰρ X--------- γάρ
αὐτοὶ RD--NPM--- αὐτός
τάχα D--------- τάχα
πλανῶνται V3--PMI3P- πλανάω
θεὸν N2--ASM--- θεός
ζητοῦντες V2--PAPNPM ζητέω
καὶ C--------- καί
θέλοντες V1--PAPNPM θέλω
εὑρεῖν VB--AAN--- εὑρίσκω

Wis 13:7
ἐν P--------- ἐν
γὰρ X--------- γάρ
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός
ἀναστρεφόμενοι V1--PMPNPM στρέφω ἀνα
διερευνῶσιν V3--PAI3P- ἐρευνάω δια
καὶ C--------- καί
πείθονται V1--PMI3P- πείθω
τῇ RA--DSF--- ὁ
ὄψει N3I-DSF--- ὄψις
ὅτι C--------- ὅτι
καλὰ A1--APN--- καλός
τὰ RA--APN--- ὁ
βλεπόμενα V1--PMPAPN βλέπω

Wis 13:8
πάλιν D--------- πάλιν
δ' X--------- δέ
οὐδ' C--------- οὐδέ
αὐτοὶ RD--NPM--- αὐτός
συγγνωστοί A1B-NPM--- συγγνωστός

Wis 13:9
εἰ C--------- εἰ
γὰρ X--------- γάρ
τοσοῦτον A1--ASN--- τοσοῦτος
ἴσχυσαν VA--AAPASN ἰσχύω
εἰδέναι VX--XAN--- οἶδα
ἵνα C--------- ἵνα
δύνωνται V6--PMS3P- δύναμαι
στοχάσασθαι VA--AMN--- στοχάζομαι
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸν RA--ASM--- ὁ
τούτων RD--GPN--- οὗτος
δεσπότην N1M-ASM--- δεσπότης
πῶς D--------- πῶς
τάχιον D--------- τάχιον
οὐχ D--------- οὐ
εὗρον VB--AAI3P- εὑρίσκω

Wis 13:10
ταλαίπωροι A1B-NPM--- ταλαίπωρος
δὲ X--------- δέ
καὶ C--------- καί
ἐν P--------- ἐν
νεκροῖς N2--DPM--- νεκρός
αἱ RA--NPF--- ὁ
ἐλπίδες N3D-NPF--- ἐλπίς
αὐτῶν RD--GPM--- αὐτός
οἵτινες RX--NPM--- ὅστις
ἐκάλεσαν VAI-AAI3P- καλέω
θεοὺς N2--APM--- θεός
ἔργα N2N-APN--- ἔργον
χειρῶν N3--GPF--- χείρ
ἀνθρώπων N2--GPM--- ἄνθρωπος
χρυσὸν N2--ASM--- χρυσός
καὶ C--------- καί
ἄργυρον N2--ASM--- ἄργυρος
τέχνης N1--GSF--- τέχνη
ἐμμελέτημα N3M-ASN--- ἐμμελέτημα
καὶ C--------- καί
ἀπεικάσματα N3M-APN--- ἀπείκασμα
ζῴων N2--GPN--- ζῷον
ἢ C--------- ἤ
λίθον N2--ASM--- λίθος
ἄχρηστον A1B-ASM--- ἄχρηστος
χειρὸς N3--GSF--- χείρ
ἔργον N2N-ASN--- ἔργον
ἀρχαίας A1A-GSF--- ἀρχαῖος

Wis 13:11
εἰ C--------- εἰ
δὲ X--------- δέ
καί D--------- καί
τις RI--NSM--- τις
ὑλοτόμος A1B-NSM--- ὑλοτόμος
τέκτων N3N-NSM--- τέκτων
εὐκίνητον A1B-ASN--- εὐκίνητος
φυτὸν N2N-ASN--- φυτόν
ἐκπρίσας VA--AAPNSM πρίω ἐκ
περιέξυσεν VAI-AAI3S- ξύω περι
εὐμαθῶς D--------- εὐμαθῶς
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
φλοιὸν N2--ASM--- φλοιός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τεχνησάμενος VA--AMPNSM τεχνάομαι
εὐπρεπῶς D--------- εὐπρεπῶς
κατεσκεύασεν VAI-AAI3S- σκευάζω κατα
χρήσιμον A1--ASN--- χρήσιμος
σκεῦος N3E-ASN--- σκεῦος
εἰς P--------- εἰς
ὑπηρεσίαν N1A-ASF--- ὑπηρεσία
ζωῆς N1--GSF--- ζωή

Wis 13:12
τὰ RA--APN--- ὁ
δὲ X--------- δέ
ἀποβλήματα N3M-APN--- ἀπόβλημα
τῆς RA--GSF--- ὁ
ἐργασίας N1A-GSF--- ἐργασία
εἰς P--------- εἰς
ἑτοιμασίαν N1A-ASF--- ἑτοιμασία
τροφῆς N1--GSF--- τροφή
ἀναλώσας VA--AAPNSM ἁλίσκω ἀνα
ἐνεπλήσθη VSI-API3S- πίμπλημι ἐν

Wis 13:13
τὸ RA--ASN--- ὁ
δὲ X--------- δέ
ἐξ P--------- ἐκ
αὐτῶν RD--GPN--- αὐτός
ἀπόβλημα N3M-ASN--- ἀπόβλημα
εἰς P--------- εἰς
οὐθὲν A3--ASN--- οὐδείς
εὔχρηστον A1B-ASN--- εὔχρηστος
ξύλον N2N-ASN--- ξύλον
σκολιὸν A1A-ASN--- σκολιός
καὶ C--------- καί
ὄζοις N2--DPM--- ὄζος
συμπεφυκός VX--XAPNSM φύω συν
λαβὼν VB--AAPNSM λαμβάνω
ἔγλυψεν VAI-AAI3S- γλύφω
ἐν P--------- ἐν
ἐπιμελείᾳ N1A-DSF--- ἐπιμέλεια
ἀργίας N1A-GSF--- ἀργία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐμπειρίᾳ N1A-DSF--- ἐμπειρία
συνέσεως N3I-GSF--- σύνεσις
ἐτύπωσεν VAI-AAI3S- τυπόω
αὐτό RD--ASN--- αὐτός
ἀπείκασεν VA--AAI3S- εἰκάζω ἀπο
αὐτὸ RD--ASN--- αὐτός
εἰκόνι N3N-DSF--- εἰκών
ἀνθρώπου N2--GSM--- ἄνθρωπος

Wis 13:14
ἢ C--------- ἤ
ζῴῳ N2--DSN--- ζῷον
τινὶ RI--DSN--- τις
εὐτελεῖ A3H-DSN--- εὐτελής
ὡμοίωσεν VAI-AAI3S- ὁμοιόω
αὐτὸ RD--ASN--- αὐτός
καταχρίσας VA--AAPNSM χρίω κατα
μίλτῳ N2--DSF--- μίλτος
καὶ C--------- καί
φύκει N3E-DSN--- φῦκος
ἐρυθήνας VA--AAPNSM ἐρυθαίνω
χρόαν N1A-ASF--- χρόα
αὐτοῦ RD--GSN--- αὐτός
καὶ C--------- καί
πᾶσαν A1S-ASF--- πᾶς
κηλῖδα N3D-ASF--- κηλίς
τὴν RA--ASF--- ὁ
ἐν P--------- ἐν
αὐτῷ RD--DSN--- αὐτός
καταχρίσας VA--AAPNSM χρίω κατα

Wis 13:15
καὶ C--------- καί
ποιήσας VA--AAPNSM ποιέω
αὐτῷ RD--DSN--- αὐτός
αὐτοῦ RD--GSN--- αὐτός
ἄξιον A1A-ASN--- ἄξιος
οἴκημα N3M-ASN--- οἴκημα
ἐν P--------- ἐν
