Jdt 1:1
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
δεσμεύοντας V1--PAPAPM δεσμεύω
τὰ RA--APN--- ὁ
δράγματα N3M-APN--- δράγμα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
καὶ C--------- καί
ὁ RA--NSM--- ὁ
καύσων N3W-NSM--- καύσων
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔπεσεν VAI-AAI3S- πίπτω
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κλίνην N1--ASF--- κλίνη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐτελεύτησεν VAI-AAI3S- τελευτάω
ἐν P--------- ἐν
Βαιτυλουα N---DSF--- Βαιτυλουα
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔθαψαν VAI-AAI3P- θάπτω
αὐτὸν RD--ASM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
πατέρων N3R-GPM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἀγρῷ N2--DSM--- ἀγρός
τῷ RA--DSM--- ὁ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
Δωθαϊμ N---GS---- Δωθαϊμ
καὶ C--------- καί
Βαλαμων N---GS---- Βαλαμων

Jdt 8:4
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Ιουδιθ N---NSF--- Ἰουδίθ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
αὐτῆς RD--GSF--- αὐτός
χηρεύουσα V1--PAPNSF χηρεύω
ἔτη N3E-APN--- ἔτος
τρία A3--APN--- τρεῖς
καὶ C--------- καί
μῆνας N3--APM--- μήν
τέσσαρας A3--APM--- τέσσαρες

Jdt 8:5
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ἑαυτῇ RD--DSF--- ἑαυτοῦ
σκηνὴν N1--ASF--- σκηνή
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
δώματος N3M-GSN--- δῶμα
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ὀσφὺν N3U-ASF--- ὀσφύς
αὐτῆς RD--GSF--- αὐτός
σάκκον N2--ASM--- σάκκος
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός
τὰ RA--NPN--- ὁ
ἱμάτια N2N-NPN--- ἱμάτιον
τῆς RA--GSF--- ὁ
χηρεύσεως N3I-GSF--- χηρεύσις
αὐτῆς RD--GSF--- αὐτός

Jdt 8:6
καὶ C--------- καί
ἐνήστευε V1I-IAI3S- νηστεύω
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
χηρεύσεως N3I-GSF--- χηρεύσις
αὐτῆς RD--GSF--- αὐτός
χωρὶς P--------- χωρίς
προσαββάτων N2N-GPN--- προσάββατον
καὶ C--------- καί
σαββάτων N2N-GPN--- σάββατον
καὶ C--------- καί
προνουμηνιῶν N1A-GPF--- προνουμηνία
καὶ C--------- καί
νουμηνιῶν N1A-GPF--- νεομηνία
καὶ C--------- καί
ἑορτῶν N1--GPF--- ἑορτή
καὶ C--------- καί
χαρμοσυνῶν A1--GPM--- χαρμόσυνος
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ

Jdt 8:7
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
καλὴ A1--NSF--- καλός
τῷ RA--DSN--- ὁ
εἴδει N3E-DSN--- εἶδος
καὶ C--------- καί
ὡραία A1A-NSF--- ὡραῖος
τῇ RA--DSF--- ὁ
ὄψει N3I-DSF--- ὄψις
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ὑπελίπετο VBI-AMI3S- λείπω ὑπο
αὐτῇ RD--DSF--- αὐτός
Μανασσης N1M-NSM--- Μανασσής
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
χρυσίον N2N-ASN--- χρυσίον
καὶ C--------- καί
ἀργύριον N2N-ASN--- ἀργύριον
καὶ C--------- καί
παῖδας N3D-APM--- παῖς
καὶ C--------- καί
παιδίσκας N1--APF--- παιδίσκη
καὶ C--------- καί
κτήνη N3E-APN--- κτῆνος
καὶ C--------- καί
ἀγρούς N2--APM--- ἀγρός
καὶ C--------- καί
ἔμενεν V1I-IAI3S- μένω
ἐπ' P--------- ἐπί
αὐτῶν RD--GPM--- αὐτός

Jdt 8:8
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ὃς RR--NSM--- ὅς
ἐπήνεγκεν VAI-AAI3S- φέρω ἐπι
αὐτῇ RD--DSF--- αὐτός
ῥῆμα N3M-ASN--- ῥῆμα
πονηρόν A1A-ASN--- πονηρός
ὅτι C--------- ὅτι
ἐφοβεῖτο V2I-IMI3S- φοβέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
σφόδρα D--------- σφόδρα

Jdt 8:9
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τὰ RA--APN--- ὁ
πονηρὰ A1A-APN--- πονηρός
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
ἄρχοντα N3--ASM--- ἄρχων
ὅτι C--------- ὅτι
ὠλιγοψύχησαν VAI-AAI3P- ὀλιγοψύχω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σπάνει N3I-DSF--- σπάνις
τῶν RA--GPN--- ὁ
ὑδάτων N3T-GPN--- ὕδωρ
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
Ιουδιθ N---NSF--- Ἰουδίθ
οὓς RR--APM--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
Οζιας N---NSM--- Οζιας
ὡς C--------- ὡς
ὤμοσεν VAI-AAI3S- ὄμνυμι
αὐτοῖς RD--DPM--- αὐτός
παραδώσειν VF--FAN--- δίδωμι παρα
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
μετὰ P--------- μετά
ἡμέρας N1A-APF--- ἡμέρα
πέντε M--------- πέντε
τοῖς RA--DPM--- ὁ
Ἀσσυρίοις N2--DPM--- Ἀσσύριος

Jdt 8:10
καὶ C--------- καί
ἀποστείλασα VA--AAPNSF στέλλω ἀπο
τὴν RA--ASF--- ὁ
ἅβραν N1A-ASF--- ἅβρα
αὐτῆς RD--GSF--- αὐτός
τὴν RA--ASF--- ὁ
ἐφεστῶσαν VXI-XAPASF ἵστημι ἐπι
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ὑπάρχουσιν V1--PAPDPN ἄρχω ὑπο
αὐτῆς RD--GSF--- αὐτός
ἐκάλεσεν VAI-AAI3S- καλέω
Χαβριν N---ASM--- Χαβριν
καὶ C--------- καί
Χαρμιν N---ASM--- Χαρμιν
τοὺς RA--APM--- ὁ
πρεσβυτέρους A1A-APMC-- πρεσβύτερος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
αὐτῆς RD--GSF--- αὐτός

Jdt 8:11
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἀκούσατε VA--AAD2P- ἀκούω
δή X--------- δή
μου RP--GS---- ἐγώ
ἄρχοντες N3--VPM--- ἄρχων
τῶν RA--GPM--- ὁ
κατοικούντων V2--PAPGPM οἰκέω κατα
ἐν P--------- ἐν
Βαιτυλουα N---DSF--- Βαιτυλουα
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
εὐθὴς A3H-NSM--- εὐθής
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
ὑμῶν RP--GP---- σύ
ὃν RR--ASM--- ὅς
ἐλαλήσατε VAI-AAI2P- λαλέω
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ταύτῃ RD--DSF--- οὗτος
καὶ C--------- καί
ἐστήσατε VAI-AAI2P- ἵστημι
τὸν RA--ASM--- ὁ
ὅρκον N2--ASM--- ὅρκος
τοῦτον RD--ASM--- οὗτος
ὃν RR--ASM--- ὅς
ἐλαλήσατε VAI-AAI2P- λαλέω
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
εἴπατε VAI-AAI2P- εἶπον
ἐκδώσειν VF--FAN--- δίδωμι ἐκ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
τοῖς RA--DPM--- ὁ
ἐχθροῖς A1A-DPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ
ἐὰν C--------- ἐάν
μὴ D--------- μή
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
ἐπιστρέψῃ VA--AAS3S- στρέφω ἐπι
κύριος N2--NSM--- κύριος
βοήθειαν N1A-ASF--- βοήθεια
ὑμῖν RP--DP---- σύ

Jdt 8:12
καὶ C--------- καί
νῦν D--------- νῦν
τίνες RI--NPM--- τίς
ἐστὲ V9--PAI2P- εἰμί
ὑμεῖς RP--NP---- σύ
οἳ RR--NPM--- ὅς
ἐπειράσατε VAI-AAI2P- πειράζω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
καὶ C--------- καί
ἵστατε V6--PAI2P- ἵστημι
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
υἱῶν N2--GPM--- υἱός
ἀνθρώπων N2--GPM--- ἄνθρωπος

Jdt 8:13
καὶ C--------- καί
νῦν D--------- νῦν
κύριον N2--ASM--- κύριος
παντοκράτορα N3R-ASM--- παντοκράτωρ
ἐξετάζετε V1--PAI2P- ἐτάζω ἐκ
καὶ C--------- καί
οὐθὲν A3--ASN--- οὐδείς
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών

Jdt 8:14
ὅτι C--------- ὅτι
βάθος N3E-ASN--- βάθος
καρδίας N1A-GSF--- καρδία
ἀνθρώπου N2--GSM--- ἄνθρωπος
οὐχ D--------- οὐ
εὑρήσετε VF--FAI2P- εὑρίσκω
καὶ C--------- καί
λόγους N2--APM--- λόγος
τῆς RA--GSF--- ὁ
διανοίας N1A-GSF--- διάνοια
αὐτοῦ RD--GSM--- αὐτός
οὐ D--------- οὐ
διαλήμψεσθε VF--FMI2P- λαμβάνω δια
καὶ C--------- καί
πῶς D--------- πῶς
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
ὃς RR--NSM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
πάντα A3--APN--- πᾶς
ταῦτα RD--APN--- οὗτος
ἐρευνήσετε VF--FAI2P- ἐρευνάω
καὶ C--------- καί
τὸν RA--ASM--- ὁ
νοῦν N2--ASM--- νοῦς
αὐτοῦ RD--GSM--- αὐτός
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λογισμὸν N2--ASM--- λογισμός
αὐτοῦ RD--GSM--- αὐτός
κατανοήσετε VF--FAI2P- νοέω κατα
μηδαμῶς D--------- μηδαμῶς
ἀδελφοί N2--VPM--- ἀδελφός
μὴ D--------- μή
παροργίζετε V1--PAD2P- ὀργίζω παρα
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jdt 8:15
ὅτι C--------- ὅτι
ἐὰν C--------- ἐάν
μὴ D--------- μή
βούληται V1--PMS3S- βούλομαι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πέντε M--------- πέντε
ἡμέραις N1A-DPF--- ἡμέρα
βοηθῆσαι VA--AAN--- βοηθέω
ἡμῖν RP--DP---- ἐγώ
αὐτὸς RD--NSM--- αὐτός
ἔχει V1--PAI3S- ἔχω
τὴν RA--ASF--- ὁ
ἐξουσίαν N1A-ASF--- ἐξουσία
ἐν P--------- ἐν
αἷς RR--DPF--- ὅς
θέλει V1--PAI3S- θέλω
σκεπάσαι VA--AAN--- σκεπάζω
ἡμέραις N1A-DPF--- ἡμέρα
ἢ C--------- ἤ
καὶ D--------- καί
ὀλεθρεῦσαι VA--AAN--- ὀλεθρεύω
ἡμᾶς RP--AP---- ἐγώ
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ

Jdt 8:16
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
μὴ D--------- μή
ἐνεχυράζετε V1--PAD2P- ἐνεχυράζω
τὰς RA--APF--- ὁ
βουλὰς N1--APF--- βουλή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
οὐχ D--------- οὐ
ὡς C--------- ὡς
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀπειληθῆναι VC--APN--- εἰλέω ἀπο
οὐδ' C--------- οὐδέ
ὡς C--------- ὡς
υἱὸς N2--NSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
διαιτηθῆναι VC--APN--- αἰτέω δια

Jdt 8:17
διόπερ C--------- διόπερ
ἀναμένοντες V1--PAPNPM μένω ἀνα
τὴν RA--ASF--- ὁ
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
σωτηρίαν N1A-ASF--- σωτηρία
ἐπικαλεσώμεθα VA--AMS1P- καλέω ἐπι
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
βοήθειαν N1A-ASF--- βοήθεια
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
εἰσακούσεται VF--FMI3S- ἀκούω εἰς
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
ἡμῶν RP--GP---- ἐγώ
ἐὰν C--------- ἐάν
ᾖ V9--PAS3S- εἰμί
αὐτῷ RD--DSM--- αὐτός
ἀρεστόν A1--NSN--- ἀρεστός

Jdt 8:18
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
γενεαῖς N1A-DPF--- γενεά
ἡμῶν RP--GP---- ἐγώ
οὐδέ C--------- οὐδέ
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
οὔτε C--------- οὔτε
φυλὴ N1--NSF--- φυλή
οὔτε C--------- οὔτε
πατριὰ N1A-NSF--- πατριά
οὔτε C--------- οὔτε
δῆμος N2--NSM--- δῆμος
οὔτε C--------- οὔτε
πόλις N3I-NSF--- πόλις
ἐξ P--------- ἐκ
ἡμῶν RP--GP---- ἐγώ
οἳ RR--NPM--- ὅς
προσκυνοῦσι V2--PAI3P- κυνέω προς
θεοῖς N2--DPM--- θεός
χειροποιήτοις A1B-DPM--- χειροποίητος
καθάπερ D--------- καθάπερ
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πρότερον D--------- πρότερον
ἡμέραις N1A-DPF--- ἡμέρα

Jdt 8:19
ὧν RR--GPM--- ὅς
χάριν N3--ASF--- χάρις
ἐδόθησαν VCI-API3P- δίδωμι
εἰς P--------- εἰς
ῥομφαίαν N1A-ASF--- ῥομφαία
καὶ C--------- καί
εἰς P--------- εἰς
διαρπαγὴν N1--ASF--- διαρπαγή
οἱ RA--NPM--- ὁ
πατέρες N3R-NPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἔπεσον VBI-AAI3P- πίπτω
πτῶμα N3M-ASN--- πτῶμα
μέγα A1P-ASN--- μέγας
ἐνώπιον P--------- ἐνώπιον
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
ἡμῶν RP--GP---- ἐγώ

Jdt 8:20
ἡμεῖς RP--NP---- ἐγώ
δὲ X--------- δέ
ἕτερον A1A-ASM--- ἕτερος
θεὸν N2--ASM--- θεός
οὐκ D--------- οὐ
ἔγνωμεν VZI-AAI1P- γιγνώσκω
πλὴν P--------- πλήν
αὐτοῦ RD--GSM--- αὐτός
ὅθεν D--------- ὅθεν
ἐλπίζομεν V1--PAI1P- ἐλπίζω
ὅτι C--------- ὅτι
οὐχ D--------- οὐ
ὑπερόψεται VF--FMI3S- ὁράω ὑπερ
ἡμᾶς RP--AP---- ἐγώ
οὐδ' C--------- οὐδέ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
ἡμῶν RP--GP---- ἐγώ

Jdt 8:21
ὅτι C--------- ὅτι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λημφθῆναι VV--APN--- λαμβάνω
ἡμᾶς RP--AP---- ἐγώ
οὕτως D--------- οὕτως
καὶ C--------- καί
λημφθήσεται VV--FPI3S- λαμβάνω
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
Ιουδαία N1A-NSF--- Ἰουδαία
καὶ C--------- καί
προνομευθήσεται VC--FPI3S- νομεύω προ
τὰ RA--NPN--- ὁ
ἅγια A1A-NPN--- ἅγιος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐκζητήσει VF--FAI3S- ζητέω ἐκ
τὴν RA--ASF--- ὁ
βεβήλωσιν N3I-ASF--- βεβήλωσις
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
αἵματος N3M-GSN--- αἷμα
ἡμῶν RP--GP---- ἐγώ

Jdt 8:22
καὶ C--------- καί
τὸν RA--ASM--- ὁ
φόνον N2--ASM--- φόνος
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἐρήμωσιν N3I-ASF--- ἐρήμωσις
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
ἡμῶν RP--GP---- ἐγώ
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
εἰς P--------- εἰς
κεφαλὴν N1--ASF--- κεφαλή
ἡμῶν RP--GP---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
οὗ D--------- οὗ
ἐὰν C--------- ἐάν
δουλεύσωμεν VA--AAS1P- δουλεύω
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἐσόμεθα VF--FMI1P- εἰμί
εἰς P--------- εἰς
πρόσκομμα N3M-ASN--- πρόσκομμα
καὶ C--------- καί
εἰς P--------- εἰς
ὄνειδος N3E-ASN--- ὄνειδος
ἐναντίον P--------- ἐναντίον
τῶν RA--GPM--- ὁ
κτωμένων V3--PMPGPM κτάομαι
ἡμᾶς RP--AP---- ἐγώ

Jdt 8:23
ὅτι C--------- ὅτι
οὐ D--------- οὐ
κατευθυνθήσεται VC--FPI3S- εὐθύνω κατα
ἡ RA--NSF--- ὁ
δουλεία N1A-NSF--- δουλεία
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
χάριν N3--ASF--- χάρις
ἀλλ' C--------- ἀλλά
εἰς P--------- εἰς
ἀτιμίαν N1A-ASF--- ἀτιμία
θήσει VF--FAI3S- τίθημι
αὐτὴν RD--ASF--- αὐτός
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jdt 8:24
καὶ C--------- καί
νῦν D--------- νῦν
ἀδελφοί N2--VPM--- ἀδελφός
ἐπιδειξώμεθα VA--AMS1P- δεικνύω ἐπι
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
ἐξ P--------- ἐκ
ἡμῶν RP--GP---- ἐγώ
κρέμαται V6--PMI3S- κρεμάζω
ἡ RA--NSF--- ὁ
ψυχὴ N1--NSF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἅγια A1A-NPN--- ἅγιος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
καὶ C--------- καί
τὸ RA--NSN--- ὁ
θυσιαστήριον N2N-NSN--- θυσιαστήριον
ἐπεστήρισται VAI-AMI3S- στηρίζω ἐπι
ἐφ' P--------- ἐπί
ἡμῖν RP--DP---- ἐγώ

Jdt 8:25
παρὰ P--------- παρά
ταῦτα RD--APN--- οὗτος
πάντα A3--APN--- πᾶς
εὐχαριστήσωμεν VA--AAS1P- εὐχαριστέω
κυρίῳ N2--DSM--- κύριος
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὃς RR--NSM--- ὅς
πειράζει V1--PAI3S- πειράζω
ἡμᾶς RP--AP---- ἐγώ
καθὰ D--------- καθά
καὶ D--------- καί
τοὺς RA--APM--- ὁ
πατέρας N3R-APM--- πατήρ
ἡμῶν RP--GP---- ἐγώ

Jdt 8:26
μνήσθητε VS--APD2P- μιμνήσκω
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
μετὰ P--------- μετά
Αβρααμ N---GSM--- Ἀβραάμ
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐπείρασεν VAI-AAI3S- πειράζω
τὸν RA--ASM--- ὁ
Ισαακ N---ASM--- Ισαακ
καὶ C--------- καί
ὅσα A1--NPN--- ὅσος
ἐγένετο VBI-AMI3S- γίγνομαι
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
ἐν P--------- ἐν
Μεσοποταμίᾳ N1A-DSF--- Μεσοποταμία
τῆς RA--GSF--- ὁ
Συρίας N1A-GSF--- Συρία
ποιμαίνοντι V1--PAPDSM ποιμαίνω
τὰ RA--APN--- ὁ
πρόβατα N2N-APN--- πρόβατον
Λαβαν N---GSM--- Λαβαν
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
τῆς RA--GSF--- ὁ
μητρὸς N3--GSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός

Jdt 8:27
ὅτι C--------- ὅτι
οὐ D--------- οὐ
καθὼς C--------- καθώς
ἐκείνους RD--APM--- ἐκεῖνος
ἐπύρωσεν VAI-AAI3S- πυρόω
εἰς P--------- εἰς
ἐτασμὸν N2--ASM--- ἐτασμός
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἡμᾶς RP--AP---- ἐγώ
οὐκ D--------- οὐ
ἐξεδίκησεν VAI-AAI3S- δικέω ἐκ
ἀλλ' C--------- ἀλλά
εἰς P--------- εἰς
νουθέτησιν N3I-ASF--- νουθέτησις
μαστιγοῖ V4--PAI3S- μαστιγόω
κύριος N2--NSM--- κύριος
τοὺς RA--APM--- ὁ
ἐγγίζοντας V1--PAPAPM ἐγγίζω
αὐτῷ RD--DSM--- αὐτός

Jdt 8:28
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτὴν RD--ASF--- αὐτός
Οζιας N---NSM--- Οζιας
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
εἶπας VAI-AAI2S- εἶπον
ἐν P--------- ἐν
ἀγαθῇ A1--DSF--- ἀγαθός
καρδίᾳ N1A-DSF--- καρδία
ἐλάλησας VAI-AAI2S- λαλέω
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ὃς RR--NSM--- ὅς
ἀντιστήσεται VF--FMI3S- ἵστημι ἀντι
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
σου RP--GS---- σύ

Jdt 8:29
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
ἡ RA--NSF--- ὁ
σοφία N1A-NSF--- σοφία
σου RP--GS---- σύ
πρόδηλός A1B-NSF--- πρόδηλος
ἐστιν V9--PAI3S- εἰμί
ἀλλ' C--------- ἀλλά
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή
ἡμερῶν N1A-GPF--- ἡμέρα
σου RP--GS---- σύ
ἔγνω VZI-AAI3S- γιγνώσκω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τὴν RA--ASF--- ὁ
σύνεσίν N3I-ASF--- σύνεσις
σου RP--GS---- σύ
καθότι C--------- καθότι
ἀγαθόν A1--NSN--- ἀγαθός
ἐστιν V9--PAI3S- εἰμί
τὸ RA--NSN--- ὁ
πλάσμα N3M-NSN--- πλάσμα
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
σου RP--GS---- σύ

Jdt 8:30
ἀλλὰ C--------- ἀλλά
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
δεδίψηκεν VX--XAI3S- διψάω
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἠνάγκασαν VAI-AAI3P- ἀγκάζω ἀνα
ἡμᾶς RP--AP---- ἐγώ
ποιῆσαι VA--AAN--- ποιέω
καθὰ D--------- καθά
ἐλαλήσαμεν VAI-AAI1P- λαλέω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
