Jer 1:1
ἀναγγεῖλαι VA--AAN--- ἀγγέλλω ἀνα
εἰς P--------- εἰς
Σιων N---ASF--- Σιων
τὴν RA--ASF--- ὁ
ἐκδίκησιν N3I-ASF--- ἐκδίκησις
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jer 27:29
παραγγείλατε VA--AAD2P- ἀγγέλλω παρα
ἐπὶ P--------- ἐπί
Βαβυλῶνα N3W-ASF--- Βαβυλών
πολλοῖς A1--DPM--- πολύς
παντὶ A3--DSM--- πᾶς
ἐντείνοντι V1--PAPDSM τείνω ἐν
τόξον N2N-ASN--- τόξον
παρεμβάλετε VB--AAD2P- βάλλω παρα ἐν
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
κυκλόθεν D--------- κυκλόθεν
μὴ D--------- μή
ἔστω V9--PAD3S- εἰμί
αὐτῆς RD--GSF--- αὐτός
ἀνασῳζόμενος V1--PMPNSM σώζω ἀνα
ἀνταπόδοτε VO--AAD2P- δίδωμι ἀντι ἀπο
αὐτῇ RD--DSF--- αὐτός
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
αὐτῆς RD--GSF--- αὐτός
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
ποιήσατε VA--AAD2P- ποιέω
αὐτῇ RD--DSF--- αὐτός
ὅτι C--------- ὅτι
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἀντέστη VHI-AAI3S- ἵστημι ἀντι
θεὸν N2--ASM--- θεός
ἅγιον A1A-ASM--- ἅγιος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Jer 27:30
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
πεσοῦνται VF2-FMI3P- πίπτω
οἱ RA--NPM--- ὁ
νεανίσκοι N2--NPM--- νεανίσκος
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πλατείαις A3U-DPF--- πλατύς
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οἱ RA--NPM--- ὁ
πολεμισταὶ N1--NPM--- πολεμιστής
αὐτῆς RD--GSF--- αὐτός
ῥιφήσονται VV--FPI3P- ῥιπτω
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος

Jer 27:31
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
τὴν RA--ASF--- ὁ
ὑβρίστριαν N1A-ASF--- ὑβρίστρια
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὅτι C--------- ὅτι
ἥκει V1--PAI3S- ἥκω
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
σου RP--GS---- σύ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
καιρὸς N2--NSM--- καιρός
ἐκδικήσεώς N3I-GSF--- ἐκδίκησις
σου RP--GS---- σύ

Jer 27:32
καὶ C--------- καί
ἀσθενήσει VF--FAI3S- ἀσθενέω
ἡ RA--NSF--- ὁ
ὕβρις N3I-NSF--- ὕβρις
σου RP--GS---- σύ
καὶ C--------- καί
πεσεῖται VF2-FMI3S- πίπτω
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
ἀνιστῶν V6--PAPNSM ἵστημι ἀνα
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
ἀνάψω VF--FAI1S- ἅπτω ἀνα
πῦρ N3--ASN--- πῦρ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δρυμῷ N2--DSM--- δρυμός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
κύκλῳ N2--DSM--- κύκλος
αὐτῆς RD--GSF--- αὐτός

Jer 27:33
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καταδεδυνάστευνται VM--XMI3S- δυναστεύω κατα
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ιουδα N---GSM--- Ιουδα
ἅμα D--------- ἅμα
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
αἰχμαλωτεύσαντες VA--AAPNPM αἰχμαλωτεύω
αὐτοὺς RD--APM--- αὐτός
κατεδυνάστευσαν VAI-AAI3P- δυναστεύω κατα
αὐτούς RD--APM--- αὐτός
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἠθέλησαν VAI-AAI3P- θέλω
ἐξαποστεῖλαι VA--AAN--- στέλλω ἐκ ἀπο
αὐτούς RD--APM--- αὐτός

Jer 27:34
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λυτρούμενος V4--PMPNSM λυτρόω
αὐτοὺς RD--APM--- αὐτός
ἰσχυρός A1A-NSM--- ἰσχυρός
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ὄνομα N3M-NSN--- ὄνομα
αὐτῷ RD--DSM--- αὐτός
κρίσιν N3I-ASF--- κρίσις
κρινεῖ VF2-FAI3S- κρίνω
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἀντιδίκους N2--APM--- ἀντίδικος
αὐτοῦ RD--GSM--- αὐτός
ὅπως C--------- ὅπως
ἐξάρῃ VA--AAS3S- αἴρω ἐκ
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
παροξυνεῖ V1--PAI3S- ὀξύνω παρα
τοῖς RA--DPM--- ὁ
κατοικοῦσι V2--PAPDPM οἰκέω κατα
Βαβυλῶνα N3W-ASF--- Βαβυλών

Jer 27:35
μάχαιραν N1A-ASF--- μάχαιρα
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
Χαλδαίους N2--APM--- Χαλδαῖος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
μεγιστᾶνας N3--APM--- μεγιστάν
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
συνετοὺς A1--APM--- συνετός
αὐτῆς RD--GSF--- αὐτός

Jer 27:36
μάχαιραν N1A-ASF--- μάχαιρα
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
μαχητὰς N1M-APM--- μαχητής
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
παραλυθήσονται VC--FPI3P- λύω παρα

Jer 27:37
μάχαιραν N1A-ASF--- μάχαιρα
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἵππους N2--APM--- ἵππος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ἅρματα N3M-APN--- ἅρμα
αὐτῶν RD--GPM--- αὐτός
μάχαιραν N1A-ASF--- μάχαιρα
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
μαχητὰς N1M-APM--- μαχητής
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
σύμμικτον N2--ASM--- σύμμικτος
τὸν RA--ASM--- ὁ
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
ὡσεὶ D--------- ὡσεί
γυναῖκες N3K-NPF--- γυνή
μάχαιραν N1A-ASF--- μάχαιρα
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
θησαυροὺς N2--APM--- θησαυρός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
διασκορπισθήσονται VC--FPI3P- σκορπίζω δια

Jer 27:38
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
αὐτῆς RD--GSF--- αὐτός
ἐπεποίθει VXI-YAI3S- πείθω
καὶ C--------- καί
καταισχυνθήσονται VC--FPI3P- αἰσχύνω κατα
ὅτι C--------- ὅτι
γῆ N1--NSF--- γῆ
τῶν RA--GPM--- ὁ
γλυπτῶν A1--GPM--- γλυπτός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
νήσοις N2--DPF--- νήσος
οὗ RR--GSM--- ὅς
κατεκαυχῶντο V4I-IMI3P- καυχάομαι κατα

Jer 27:39
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
κατοικήσουσιν VF--FAI3P- οἰκέω κατα
ἰνδάλματα N3M-ASM--- ἴνδαλμα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
νήσοις N2--DPF--- νήσος
καὶ C--------- καί
κατοικήσουσιν VF--FAI3P- οἰκέω κατα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
θυγατέρες N3--NPF--- θυγάτηρ
σειρήνων N3--GPF--- σειρήν
οὐ D--------- οὐ
μὴ D--------- μή
κατοικηθῇ VC--APS3S- οἰκέω κατα
οὐκέτι D--------- οὐκέτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

Jer 27:40
καθὼς D--------- καθώς
κατέστρεψεν VAI-AAI3S- στρέφω κατα
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Σοδομα N---ASF--- Σοδομα
καὶ C--------- καί
Γομορρα N---ASF--- Γομορρα
καὶ C--------- καί
τὰς RA--APF--- ὁ
ὁμορούσας V2--PAPAPF ὁμορέω
αὐταῖς RD--DPF--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
οὐ D--------- οὐ
μὴ D--------- μή
κατοικήσῃ VA--AAS3S- οικέω κατα
ἐκεῖ D--------- ἐκεῖ
ἄνθρωπος N2--NSM--- ἄνθρωπος
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
παροικήσῃ VA--AAS3S- οἰκέω παρα
ἐκεῖ D--------- ἐκεῖ
υἱὸς N2--NSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος

Jer 27:41
ἰδοὺ I--------- ἰδού
λαὸς N2--NSM--- λαός
ἔρχεται V1--PMI3S- ἔρχομαι
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἔθνος N3E-NSN--- ἔθνος
μέγα A1P-NSN--- μέγας
καὶ C--------- καί
βασιλεῖς N3V-NPM--- βασιλεύς
πολλοὶ A1--NPM--- πολύς
ἐξεγερθήσονται VC--FPI3P- ἐγείρω ἐκ
ἀπ' P--------- ἀπό
ἐσχάτου A1--GSM--- ἔσχατος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jer 27:42
τόξον N2N-ASN--- τόξον
καὶ C--------- καί
ἐγχειρίδιον N2N-ASN--- ἐγχειρίδιον
ἔχοντες V1--PAPNPM ἔχω
ἰταμός A1--NSM--- ἰταμός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐλεήσῃ VA--AAS3S- ἐλεέω
φωνὴ N1--NSF--- φωνή
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
θάλασσα N1S-NSF--- θάλασσα
ἠχήσει VF--FAI3S- ἠχέω
ἐφ' P--------- ἐπί
ἵπποις N2--DPM--- ἵππος
ἱππάσονται VF--FMI3P- ἱππάζω
παρεσκευασμένοι VT--XMPNPM σκευάζω παρα
ὥσπερ D--------- ὥσπερ
πῦρ N3--ASN--- πῦρ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
πρὸς P--------- πρός
σέ RP--AS---- σύ
θύγατερ N3--VSF--- θυγάτηρ
Βαβυλῶνος N3W-GSF--- Βαβυλών

Jer 27:43
ἤκουσεν VAI-AAI3S- ἀκούω
βασιλεὺς N3V-NSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
τὴν RA--ASF--- ὁ
ἀκοὴν N1--ASF--- ἀκοή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
παρελύθησαν VCI-API3P- λύω παρα
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
θλῖψις N3I-NSF--- θλῖψις
κατεκράτησεν VAI-AAI3S- κρατέω κατα
αὐτοῦ RD--GSM--- αὐτός
ὠδῖνες N3--NPF--- ὠδίν
ὡς C--------- ὡς
τικτούσης V1--PAPGSF τίκτω

Jer 27:44
ἰδοὺ I--------- ἰδού
ὥσπερ D--------- ὥσπερ
λέων N3W-NSM--- λέων
ἀναβήσεται VF--FMI3S- βαίνω ἀνα
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
εἰς P--------- εἰς
τόπον N2--ASM--- τόπος
Αιθαμ N---GS---- Αιθαμ
ὅτι C--------- ὅτι
ταχέως D--------- ταχέως
ἐκδιώξω VF--FAI1S- διώκω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἀπ' P--------- ἀπό
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
νεανίσκον N2--ASM--- νεανίσκος
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
ἐπιστήσω VF--FAI1S- ἵστημι ἐπι
ὅτι C--------- ὅτι
τίς RI--NSM--- τίς
ὥσπερ D--------- ὥσπερ
ἐγώ RP--NS---- ἐγώ
καὶ C--------- καί
τίς RI--NSM--- τίς
ἀντιστήσεταί VF--FMI3S- ἵστημι ἀντι
μοι RP--DS---- ἐγώ
καὶ C--------- καί
τίς RI--NSM--- τίς
οὗτος RD--NSM--- οὗτος
ποιμήν N3--NSF--- ποιμήν
ὃς RR--NSM--- ὅς
στήσεται VF--FMI3S- ἵστημι
κατὰ P--------- κατά
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ

Jer 27:45
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἀκούσατε VA--AAD2P- ἀκούω
τὴν RA--ASF--- ὁ
βουλὴν N1--ASF--- βουλή
κυρίου N2--GSM--- κύριος
ἣν RR--ASF--- ὅς
βεβούλευται VM--XMI3S- βουλεύω
ἐπὶ P--------- ἐπί
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
λογισμοὺς N2--APM--- λογισμός
αὐτοῦ RD--GSM--- αὐτός
οὓς RR--APM--- ὅς
ἐλογίσατο VAI-AMI3S- λογίζομαι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Χαλδαίους N2--APM--- Χαλδαῖος
ἐὰν C--------- ἐάν
μὴ D--------- μή
διαφθαρῇ VD--APS3S- φθείρω δια
τὰ RA--NPN--- ὁ
ἀρνία N2N-NPN--- ἀρνίον
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
αὐτῶν RD--GPM--- αὐτός
ἐὰν C--------- ἐάν
μὴ D--------- μή
ἀφανισθῇ VC--APS3S- ἵζω ἀπο ἀνα
νομὴ N1--NSF--- νομή
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός

Jer 27:46
ὅτι C--------- ὅτι
ἀπὸ P--------- ἀπό
φωνῆς N1--GSF--- φωνή
ἁλώσεως N3I-GSF--- ἅλωσις
Βαβυλῶνος N3W-ASF--- Βαβυλών
σεισθήσεται VF--FPI3S- σείω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
κραυγὴ N1--NSF--- κραυγή
ἐν P--------- ἐν
ἔθνεσιν N3E-DPN--- ἔθνος
ἀκουσθήσεται VC--FPI3S- ἀκούω

Jer 28:1
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐξεγείρω V1--PAI1S- ἐγείρω ἐκ
ἐπὶ P--------- ἐπί
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Χαλδαίους N2--APM--- Χαλδαῖος
ἄνεμον N2--ASM--- ἄνεμος
καύσωνα N3W-ASM--- καύσων
διαφθείροντα V1--PAPASM φθείρω δια

Jer 28:2
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
ὑβριστάς N1--APM--- ὑβριστής
καὶ C--------- καί
καθυβρίσουσιν VF--FAI3P- ὑβρίζω κατα
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
λυμανοῦνται V1--PMI3P- λυμαίνω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτῆς RD--GSF--- αὐτός
οὐαὶ I--------- οὐαί
ἐπὶ P--------- ἐπί
Βαβυλῶνα N3W-ASF--- Βαβυλών
κυκλόθεν D--------- κυκλόθεν
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
κακώσεως N3I-GSF--- κάκωσις
αὐτῆς RD--GSF--- αὐτός

Jer 28:3
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
τεινέτω V1--PAD3S- τείνω
ὁ RA--NSM--- ὁ
τείνων V1--PAPNSM τείνω
τὸ RA--ASN--- ὁ
τόξον N2N-ASN--- τόξον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
περιθέσθω VE--AMD3S- τίθημι περι
ᾧ RR--DSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
ὅπλα N2N-NPN--- ὅπλον
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
φείσησθε VA--AMS2P- φείδομαι
ἐπὶ P--------- ἐπί
νεανίσκους N2--APM--- νεανίσκος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀφανίσατε VA--AAD2P- ἵζω ἀπο ἀνα
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
δύναμιν N3I-ASF--- δύναμις
αὐτῆς RD--GSF--- αὐτός

Jer 28:4
καὶ C--------- καί
πεσοῦνται VF2-FMI3P- πίπτω
τραυματίαι N1T-NPM--- τραυματίας
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χαλδαίων N2--GPM--- Χαλδαῖος
καὶ C--------- καί
κατακεκεντημένοι VX--XPPNPM κεντέω κατα
ἔξωθεν D--------- ἔξωθεν
αὐτῆς RD--GSF--- αὐτός

Jer 28:5
διότι C--------- διότι
οὐκ D--------- οὐ
ἐχήρευσεν VAI-AAI3S- χηρεύω
Ισραηλ N---NSM--- Ἰσραήλ
καὶ C--------- καί
Ιουδας N1T-NSM--- Ἰούδας
ἀπὸ P--------- ἀπό
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
κυρίου N2--GSM--- κύριος
παντοκράτορος N3R-GSM--- παντοκράτωρ
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
αὐτῶν RD--GPM--- αὐτός
ἐπλήσθη VSI-API3S- πίμπλημι
ἀδικίας N1A-GSF--- ἀδικία
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἁγίων A1A-GPM--- ἅγιος
Ισραηλ N---DSM--- Ἰσραήλ

Jer 28:6
φεύγετε V1--PAI2P- φεύγω
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
Βαβυλῶνος N3W-GSF--- Βαβυλών
καὶ C--------- καί
ἀνασῴζετε V1--PAI2P- σώζω ἀνα
ἕκαστος A1--NSM--- ἕκαστος
τὴν RA--ASF--- ὁ
ψυχὴν N1--ASF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
ἀπορριφῆτε VD--APS2P- ῥίπτω ἀπο
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀδικίᾳ N1A-DSF--- ἀδικία
αὐτῆς RD--GSF--- αὐτός
ὅτι C--------- ὅτι
καιρὸς N2--NSM--- καιρός
ἐκδικήσεως N3I-GSF--- ἐκδίκησις
αὐτῆς RD--GSF--- αὐτός
ἐστιν V9--PAI3S- εἰμί
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
ἀνταπόδομα N3M-NSN--- ἀνταπόδομα
αὐτὸς RD--NSM--- αὐτός
ἀνταποδίδωσιν V8--PAI3S- δίδωμι ἀντι ἀπο
αὐτῇ RD--DSF--- αὐτός

Jer 28:7
ποτήριον N2N-NSN--- ποτήριον
χρυσοῦν A1C-NSN--- χρυσοῦς
Βαβυλὼν N3W-NSF--- Βαβυλών
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
κυρίου N2--GSM--- κύριος
μεθύσκον V1--PAPASN μεθύω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
αὐτῆς RD--GSF--- αὐτός
ἐπίοσαν VBI-AAI3P- πίνω
ἔθνη N3E-APN--- ἔθνος
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐσαλεύθησαν VCI-API3P- σαλεύω

Jer 28:8
καὶ C--------- καί
ἄφνω D--------- ἄφνω
ἔπεσεν VAI-AAI3S- πίπτω
Βαβυλὼν N3W-NSF--- Βαβυλών
καὶ C--------- καί
συνετρίβη VDI-API3S- τρίβω συν
θρηνεῖτε V2--PAI2P- θρηνέω
αὐτήν RD--ASF--- αὐτός
λάβετε VB--AAD2P- λαμβάνω
ῥητίνην N1--ASF--- ῥητίνη
τῇ RA--DSF--- ὁ
διαφθορᾷ N1A-DSF--- διαφθορά
αὐτῆς RD--GSF--- αὐτός
εἴ C--------- εἰ
πως D--------- πῶς
ἰαθήσεται VC--FPI3S- ἰάομαι

Jer 28:9
ἰατρεύσαμεν VAI-AAI1P- ἰατρεύω
τὴν RA--ASF--- ὁ
Βαβυλῶνα N3W-ASF--- Βαβυλών
καὶ C--------- καί
οὐκ D--------- οὐ
ἰάθη VCI-API3S- ἰάομαι
ἐγκαταλίπωμεν VB--AAS1P- λείπω ἐν κατα
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἀπέλθωμεν VB--AAS1P- ἔρχομαι ἀπο
ἕκαστος A1--NSM--- ἕκαστος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἤγγισεν VAI-AAI3S- ἐγγίζω
εἰς P--------- εἰς
οὐρανὸν N2--ASM--- οὐρανός
τὸ RA--ASN--- ὁ
κρίμα N3M-ASN--- κρίμα
αὐτῆς RD--GSF--- αὐτός
ἐξῆρεν VAI-AAI3S- αἴρω ἐκ
ἕως P--------- ἕως
τῶν RA--GPN--- ὁ
ἄστρων N2N-GPN--- ἄστρον

Jer 28:10
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
κρίμα N3M-ASN--- κρίμα
αὐτοῦ RD--GSM--- αὐτός
δεῦτε D--------- δεῦτε
καὶ C--------- καί
ἀναγγείλωμεν VA--AAS1P- ἀγγέλλω ἀνα
εἰς P--------- εἰς
Σιων N---ASF--- Σιων
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jer 28:11
παρασκευάζετε V1--PAI2P- σκευάζω παρα
τὰ RA--APN--- ὁ
τοξεύματα N3M-APN--- τόξευμα
πληροῦτε V4--PAI2P- πληρόω
τὰς RA--APF--- ὁ
φαρέτρας N1A-APF--- φαρέτρα
ἤγειρεν V1I-IAI3S- ἀγείρω
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
βασιλέως N3V-GSM--- βασιλεύς
Μήδων N2--GPM--- Μῆδος
ὅτι C--------- ὅτι
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
ἡ RA--NSF--- ὁ
ὀργὴ N1--NSF--- ὀργή
αὐτοῦ RD--GSM--- αὐτός
τοῦ RA--GSN--- ὁ
ἐξολεθρεῦσαι VA--AAN--- ὀλεθρεύω ἐκ
αὐτήν RD--ASF--- αὐτός
ὅτι C--------- ὅτι
ἐκδίκησις N3I-NSF--- ἐκδίκησις
κυρίου N2--GSM--- κύριος
ἐστίν V9--PAI3S- εἰμί
ἐκδίκησις N3I-NSF--- ἐκδίκησις
λαοῦ N2--GSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί

Jer 28:12
ἐπὶ P--------- ἐπί
τειχέων N3E-GPN--- τεῖχος
Βαβυλῶνος N3W-GSF--- Βαβυλών
ἄρατε VA--AAD2P- αἴρω
σημεῖον N2--ASN--- σημεῖον
ἐπιστήσατε VA--AAD2P- ἵστημι ἐπι
φαρέτρας N1A-APF--- φαρέτρα
ἐγείρατε VA--AAD2P- ἐγείρω
φυλακάς N1--APF--- φυλακή
ἑτοιμάσατε VA--AAD2P- ἑτοιμάζω
ὅπλα N2N-APN--- ὅπλον
ὅτι C--------- ὅτι
ἐνεχείρησεν VAI-AAI3S- χειρέω ἐν
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
κύριος N2--NSM--- κύριος
ἃ RR--APN--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Βαβυλῶνα N3W-ASF--- Βαβυλών

Jer 28:13
κατασκηνοῦντας V4--PAPAPM σκηνόω κατα
ἐφ' P--------- ἐπί
ὕδασι N3T-DPN--- ὕδωρ
πολλοῖς A1--DPN--- πολύς
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πλήθει N3E-DSN--- πλῆθος
θησαυρῶν N2--GPM--- θησαυρός
αὐτῆς RD--GSF--- αὐτός
ἥκει V1--PAI3S- ἥκω
τὸ RA--NSN--- ὁ
πέρας N3T-NSN--- πέρας
σου RP--GS---- σύ
ἀληθῶς D--------- ἀληθῶς
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
σπλάγχα N2N-APN--- σπλάγχνον
σου RP--GS---- σύ

Jer 28:14
ὅτι C--------- ὅτι
