1Sa 1:1
ἐν P--------- ἐν
προφήταις N1M-DPM--- προφήτης

1Sa 20:1
καὶ C--------- καί
ἀπέδρα VBI-AAI3S- διδράσκω ἀπο
Δαυιδ N---NSM--- Δαυίδ
ἐκ P--------- ἐκ
Ναυαθ N---GS---- Ναυαθ
ἐν P--------- ἐν
Ραμα N---DS---- Ραμα
καὶ C--------- καί
ἔρχεται V1--PMI3S- ἔρχομαι
ἐνώπιον P--------- ἐνώπιον
Ιωναθαν N---GS---- Ιωναθαν
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τί RI--ASN--- τίς
πεποίηκα VX--XAI1S- ποιέω
καὶ C--------- καί
τί RI--ASN--- τίς
τὸ RA--ASN--- ὁ
ἀδίκημά N3M-ASN--- ἀδίκημα
μου RP--GS---- ἐγώ
καὶ C--------- καί
τί RI--ASN--- τίς
ἡμάρτηκα VX--XAI1S- ἁμαρτάνω
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
ὅτι C--------- ὅτι
ἐπιζητεῖ V2--PAI3S- ζητέω ἐπι
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ

1Sa 20:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Ιωναθαν N---NSM--- Ιωναθαν
μηδαμῶς D--------- μηδαμῶς
σοι RP--DS---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
ἀποθάνῃς VB--AAS2S- θνήσκω ἀπο
ἰδοὺ I--------- ἰδού
οὐ D--------- οὐ
μὴ D--------- μή
ποιήσῃ VA--AAS3S- ποιέω
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ
ῥῆμα N3M-ASN--- ῥῆμα
μέγα A1P-ASN--- μέγας
ἢ C--------- ἤ
μικρὸν A1A-ASN--- μικρός
καὶ C--------- καί
οὐκ D--------- οὐ
ἀποκαλύψει VF--FAI3S- καλύπτω ἀπο
τὸ RA--ASN--- ὁ
ὠτίον N2N-ASN--- ὠτίον
μου RP--GS---- ἐγώ
καὶ C--------- καί
τί RI--ASN--- τίς
ὅτι C--------- ὅτι
κρύψει VF--FAI3S- κρύπτω
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦτο RD--ASN--- οὗτος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
τοῦτο RD--ASN--- οὗτος

1Sa 20:3
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Δαυιδ N---NSM--- Δαυίδ
τῷ RA--DSM--- ὁ
Ιωναθαν N---DSM--- Ιωναθαν
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
γινώσκων V1--PAPNSM γιγνώσκω
οἶδεν VX--XAI3S- οἶδα
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
ὅτι C--------- ὅτι
εὕρηκα VX--XAI1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
μὴ D--------- μή
γνώτω VZ--AAD3S- γιγνώσκω
τοῦτο RD--ASN--- οὗτος
Ιωναθαν N---NSM--- Ιωναθαν
μὴ D--------- μή
οὐ D--------- οὐ
βούληται V1--PAS3S- βούλομαι
ἀλλὰ C--------- ἀλλά
ζῇ V3--PAS3S- ζάω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ζῇ V3--PAS3S- ζάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ
ὅτι C--------- ὅτι
καθὼς D--------- καθώς
εἶπον VBI-AAI3P- εἶπον
ἐμπέπλησται VM--XMI3S- πλήθω ἐν
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
μου RP--GS---- ἐγώ
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
θανάτου N2--GSM--- θάνατος

1Sa 20:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωναθαν N---NSM--- Ιωναθαν
πρὸς P--------- πρός
Δαυιδ N---ASM--- Δαυίδ
τί RI--ASN--- τίς
ἐπιθυμεῖ V2--PAI3S- θυμέω ἐπι
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ
καὶ C--------- καί
τί RI--ASN--- τίς
ποιήσω VA--AAS1S- ποιέω
σοι RP--DS---- σύ

1Sa 20:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
πρὸς P--------- πρός
Ιωναθαν N---ASM--- Ιωναθαν
ἰδοὺ I--------- ἰδού
δὴ X--------- δή
νεομηνία N1A-NSF--- νουμηνία
αὔριον D--------- αὔριον
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
καθίσας VA--AAPNSM ἵζω κατα
οὐ D--------- οὐ
καθήσομαι VF--FMI1S- ἧμαι κατα
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
φαγεῖν VB--AAN--- ἐσθίω
καὶ C--------- καί
ἐξαποστελεῖς VF2-FAI2S- στέλλω ἐκ ἀπο
με RP--AS---- ἐγώ
καὶ C--------- καί
κρυβήσομαι VD--FPI1S- κρύπτω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
ἕως P--------- ἕως
δείλης A1--GSF--- δειλός

1Sa 20:6
ἐὰν C--------- ἐάν
ἐπισκεπτόμενος V1--PMPNSM σκέπτομαι ἐπι
ἐπισκέψηταί VA--AMS3S- σκέπτομαι ἐπι
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
παραιτούμενος V2--PAPNSM αἰτέω παρα
παρῃτήσατο VAI-AMI3S- αἰτέω παρα
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
Δαυιδ N---NSM--- Δαυίδ
δραμεῖν VB--AAN--- τρέχω
ἕως P--------- ἕως
εἰς P--------- εἰς
Βηθλεεμ N---AS---- Βηθλεεμ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
θυσία N1A-NSF--- θυσία
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
ἐκεῖ D--------- ἐκεῖ
ὅλῃ A1--DSF--- ὅλος
τῇ RA--DSF--- ὁ
φυλῇ N1--DSF--- φυλή

1Sa 20:7
ἐὰν C--------- ἐάν
τάδε RD--APN--- ὅδε
εἴπῃ VB--AAS3S- εἶπον
ἀγαθῶς D--------- ἀγαθῶς
εἰρήνη N1--NSF--- εἰρήνη
τῷ RA--DSM--- ὁ
δούλῳ N2--DSM--- δοῦλος
σου RP--GS---- σύ
καὶ C--------- καί
ἐὰν C--------- ἐάν
σκληρῶς D--------- σκληρῶς
ἀποκριθῇ VC--APS3S- κρίνω ἀπο
σοι RP--DS---- σύ
γνῶθι VZ--AAD2S- γιγνώσκω
ὅτι C--------- ὅτι
συντετέλεσται VX--XPI3S- τελέω συν
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός

1Sa 20:8
καὶ C--------- καί
ποιήσεις VF--FAI2S- ποιέω
ἔλεος N3E-NSM--- ἔλεος
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
δούλου N2--GSM--- δοῦλος
σου RP--GS---- σύ
ὅτι C--------- ὅτι
εἰσήγαγες VBI-AAI2S- ἄγω εἰς
εἰς P--------- εἰς
διαθήκην N1--ASF--- διαθήκη
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
δοῦλόν N2--ASM--- δοῦλος
σου RP--GS---- σύ
μετὰ P--------- μετά
σεαυτοῦ RD--GSM--- σεαυτοῦ
καὶ C--------- καί
εἰ C--------- εἰ
ἔστιν V9--PAI3S- εἰμί
ἀδικία N1A-NSF--- ἀδικία
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δούλῳ N2--DSM--- δοῦλος
σου RP--GS---- σύ
θανάτωσόν VA--AAD2S- θανατόω
με RP--AS---- ἐγώ
σύ RP--NS---- σύ
καὶ C--------- καί
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
οὕτως D--------- οὕτως
εἰσάγεις V1--PAI2S- ἄγω εἰς
με RP--AS---- ἐγώ

1Sa 20:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωναθαν N---NSM--- Ιωναθαν
μηδαμῶς D--------- μηδαμῶς
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
ἐὰν C--------- ἐάν
γινώσκων V1--PAPNSM γιγνώσκω
γνῶ VZ--AAS1S- γιγνώσκω
ὅτι C--------- ὅτι
συντετέλεσται VX--XPI3S- τελέω συν
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ
καὶ C--------- καί
ἐὰν C--------- ἐάν
μή D--------- μή
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
σου RP--GS---- σύ
ἐγὼ RP--NS---- ἐγώ
ἀπαγγελῶ VF2-FAI1S- ἀγγέλλω ἀπο
σοι RP--DS---- σύ

1Sa 20:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δαυιδ N---NSM--- Δαυίδ
πρὸς P--------- πρός
Ιωναθαν N---ASM--- Ιωναθαν
τίς RI--ASN--- τίς
ἀπαγγελεῖ VF2-FAI3S- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
ἐὰν C--------- ἐάν
ἀποκριθῇ VC--APS3S- κρίνω ἀπο
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
σκληρῶς D--------- σκληρῶς

1Sa 20:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωναθαν N---NSM--- Ιωναθαν
πρὸς P--------- πρός
Δαυιδ N---ASM--- Δαυίδ
πορεύου V1--PAD2S- πορεύομαι
καὶ C--------- καί
μένε V1--PAD2S- μένω
εἰς P--------- εἰς
ἀγρόν N2--ASM--- ἀγρός
καὶ C--------- καί
ἐκπορεύονται V1--PMI3P- πορεύομαι ἐκ
ἀμφότεροι A1A-NPM--- ἀμφότεροι
εἰς P--------- εἰς
ἀγρόν N2--ASM--- ἀγρός

1Sa 20:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωναθαν N---NSM--- Ιωναθαν
πρὸς P--------- πρός
Δαυιδ N---ASM--- Δαυίδ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
οἶδεν VX--XAI3S- οἶδα
ὅτι C--------- ὅτι
ἀνακρινῶ VF2-FAI1S- κρίνω ἀνα
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
ἂν X--------- ἄν
ὁ RA--NSM--- ὁ
καιρὸς N2--NSM--- καιρός
τρισσῶς D--------- τρισσῶς
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἀγαθὸν A1--ASM--- ἀγαθός
ᾖ V9--PAS3S- εἰμί
περὶ P--------- περί
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἀποστείλω VF2-FAI1S- στέλλω ἀπο
πρὸς P--------- πρός
σὲ RP--AS---- σύ
εἰς P--------- εἰς
ἀγρόν N2--ASM--- ἀγρός

1Sa 20:13
τάδε RD--APN--- ὅδε
ποιήσαι VA--AAN--- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Ιωναθαν N---DSM--- Ιωναθαν
καὶ C--------- καί
τάδε RD--APN--- ὅδε
προσθείη VE--AAO3S- τίθημι προς
ὅτι C--------- ὅτι
ἀνοίσω VF--FAI1S- φέρω ἀνα
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
καὶ C--------- καί
ἀποκαλύψω VF--FAI1S- καλύπτω ἀπο
τὸ RA--ASN--- ὁ
ὠτίον N2N-ASN--- ὠτίον
σου RP--GS---- σύ
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
σε RP--AS---- σύ
καὶ C--------- καί
ἀπελεύσῃ VF--FMI2S- ἔρχομαι ἀπο
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
κύριος N2--NSM--- κύριος
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καθὼς D--------- καθώς
ἦν V9--IAI3S- εἰμί
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ

1Sa 20:14
καὶ C--------- καί
μὲν X--------- μέν
ἔτι D--------- ἔτι
μου RP--GS---- ἐγώ
ζῶντος V3--PAPGSM ζάω
καὶ C--------- καί
ποιήσεις VF--FAI2S- ποιέω
ἔλεος N3E-NSM--- ἔλεος
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἐὰν C--------- ἐάν
θανάτῳ N2--DSM--- θάνατος
ἀποθάνω VB--AAS1S- θνήσκω ἀπο

1Sa 20:15
οὐκ D--------- οὐ
ἐξαρεῖς VF2-FAI2S- αἴρω ἐκ
ἔλεός N3E-NSM--- ἔλεος
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
μου RP--GS---- ἐγώ
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
εἰ C--------- εἰ
μὴ D--------- μή
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξαίρειν V1--PAN--- αἴρω ἐκ
κύριον N2--ASM--- κύριος
τοὺς RA--APM--- ὁ
ἐχθροὺς N2--APM--- ἐχθρός
Δαυιδ N---GSM--- Δαυίδ
ἕκαστον A1--ASM--- ἕκαστος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

1Sa 20:16
ἐξαρθῆναι VC--APN--- αἴρω ἐκ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
Ιωναθαν N---GSM--- Ιωναθαν
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
ἐκζητήσαι VA--AAN--- ζητέω ἐκ
κύριος N2--NSM--- κύριος
ἐχθροὺς N2--APM--- ἐχθρός
τοῦ RA--GSM--- ὁ
Δαυιδ N---GSM--- Δαυίδ

1Sa 20:17
καὶ C--------- καί
προσέθετο VEI-AMI3S- τίθημι προς
ἔτι D--------- ἔτι
Ιωναθαν N---NSM--- Ιωναθαν
ὀμόσαι VA--AAN--- ὄμνυμι
τῷ RA--DSM--- ὁ
Δαυιδ N---DSM--- Δαυίδ
ὅτι C--------- ὅτι
ἠγάπησεν VAI-AAI3S- ἀγαπάω
ψυχὴν N1--ASF--- ψυχή
ἀγαπῶντος V3--PAPGSM ἀγαπάω
αὐτόν RD--ASM--- αὐτός

1Sa 20:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιωναθαν N---NSM--- Ιωναθαν
αὔριον D--------- αὔριον
νουμηνία N1A-NSF--- νουμηνία
καὶ C--------- καί
ἐπισκεπήσῃ VF--FAI2S- σκέπτομαι ἐπι
ὅτι C--------- ὅτι
ἐπισκεπήσεται VD--FPI3S- σκέπτομαι ἐπι
καθέδρα N1A-NSF--- καθέδρα
σου RP--GS---- σύ

1Sa 20:19
καὶ C--------- καί
τρισσεύσεις VF--FAI2S- τρισσεύω
καὶ C--------- καί
ἐπισκέψῃ VF--FMI2S- σκέπτομαι ἐπι
καὶ C--------- καί
ἥξεις VF--FAI2S- ἥκω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
σου RP--GS---- σύ
οὗ RR--GSM--- ὅς
ἐκρύβης VDI-API2S- κρύπτω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἐργασίμῃ N1--DSF--- ἐργασίμη
καὶ C--------- καί
καθήσῃ VF--FMI2S- ἧμαι κατα
παρὰ P--------- παρά
τὸ RA--ASN--- ὁ
εργαβ N---ASN--- εργαβ
ἐκεῖνο RD--ASN--- ἐκεῖνος

1Sa 20:20
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
τρισσεύσω VF--FAI1S- τρισσεύω
ταῖς RA--DPF--- ὁ
σχίζαις N1A-DPF--- σχίζα
ἀκοντίζων V1--PAPNSM ἀκοντίζω
ἐκπέμπων V1--PAPNSM πέμπω ἐκ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αματταρι N---ASF--- αματταρι

1Sa 20:21
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἀποστελῶ VF2-FAI1S- στέλλω ἀπο
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
λέγων V1--PAPNSM λέγω
δεῦρο D--------- δεῦρο
εὑρέ VB--AAD2S- εὑρίσκω
μοι RP--DS---- ἐγώ
τὴν RA--ASF--- ὁ
σχίζαν N1A-ASF--- σχίζα
ἐὰν C--------- ἐάν
εἴπω VB--AAS1S- εἶπον
λέγων V1--PAPNSM λέγω
τῷ RA--DSM--- ὁ
παιδαρίῳ N2N-DSN--- παιδάριον
ὧδε D--------- ὧδε
ἡ RA--NSF--- ὁ
σχίζα N1A-NSF--- σχίζα
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
καὶ C--------- καί
ὧδε D--------- ὧδε
λαβὲ VB--AAD2S- λαμβάνω
αὐτήν RD--ASF--- αὐτός
παραγίνου V1--PMD2S- γίγνομαι παρα
ὅτι C--------- ὅτι
εἰρήνη N1--NSF--- εἰρήνη
σοι RP--DS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
λόγος N2--NSM--- λόγος
ζῇ V3--PAS3S- ζάω
κύριος N2--NSM--- κύριος

1Sa 20:22
ἐὰν C--------- ἐάν
τάδε RD--APN--- ὅδε
εἴπω VB--AAS1S- εἶπον
τῷ RA--DSM--- ὁ
νεανίσκῳ N2--DSM--- νεανίσκος
ὧδε D--------- ὧδε
ἡ RA--NSF--- ὁ
σχίζα N1A-NSF--- σχίζα
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
καὶ C--------- καί
ἐπέκεινα D--------- ἐπέκεινα
πορεύου V1--PMD2S- πορεύομαι
ὅτι C--------- ὅτι
ἐξαπέσταλκέν VX--XAI3S- στέλλω ἐκ ἀπο
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος

1Sa 20:23
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
ὃ RR--ASN--- ὅς
ἐλαλήσαμεν VAI-AAI1P- λαλέω
ἐγὼ RP--NS---- ἐγώ
καὶ C--------- καί
σύ RP--NS---- σύ
ἰδοὺ I--------- ἰδού
κύριος N2--NSM--- κύριος
μάρτυς N3--NSM--- μάρτυς
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
σοῦ RP--GS---- σύ
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

1Sa 20:24
καὶ C--------- καί
κρύπτεται V1--PMI3S- κρύπτω
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
καὶ C--------- καί
παραγίνεται V1--PMI3S- γίγνομαι παρα
ὁ RA--NSM--- ὁ
μήν X--------- μήν
καὶ C--------- καί
ἔρχεται V1--PMI3S- ἔρχομαι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
τράπεζαν N1S-ASF--- τράπεζα
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω

1Sa 20:25
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
καθέδραν N1A-ASF--- καθέδρα
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
ἅπαξ D--------- ἅπαξ
καὶ C--------- καί
ἅπαξ D--------- ἅπαξ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
καθέδρας N1A-GSF--- καθέδρα
παρὰ P--------- παρά
τοῖχον N2--ASM--- τοῖχος
καὶ C--------- καί
προέφθασεν VAI-AAI3S- φθάνθ προ
τὸν RA--ASM--- ὁ
Ιωναθαν N---ASM--- Ιωναθαν
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
Αβεννηρ N---NSM--- Αβεννηρ
ἐκ P--------- ἐκ
πλαγίων A1A-GPM--- πλάγιος
Σαουλ N---GSM--- Σαούλ
καὶ C--------- καί
ἐπεσκέπη VDI-API3S- σκέπτομαι ἐπι
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
Δαυιδ N---GSM--- Δαυίδ

1Sa 20:26
καὶ C--------- καί
οὐκ D--------- οὐ
ἐλάλησεν VAI-AAI3S- λαλέω
Σαουλ N---NSM--- Σαούλ
οὐδὲν A3--ASN--- οὐδείς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ὅτι C--------- ὅτι
εἶπεν VBI-AAI3S- εἶπον
σύμπτωμα N3M-NSN--- σύμπτωμα
φαίνεται V1--PMI3S- φαίνω
μὴ D--------- μή
καθαρὸς A1A-NSM--- καθαρός
εἶναι V9--PAN--- εἰμί
ὅτι C--------- ὅτι
οὐ D--------- οὐ
κεκαθάρισται VT--XMI3S- καθαρίζω

1Sa 20:27
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τῇ RA--DSF--- ὁ
ἐπαύριον D--------- ἐπαύριον
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
καὶ C--------- καί
ἐπεσκέπη VDI-API3S- σκέπτομαι ἐπι
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
τοῦ RA--GSM--- ὁ
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
πρὸς P--------- πρός
Ιωναθαν N---ASM--- Ιωναθαν
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
τί RI--ASN--- τίς
ὅτι C--------- ὅτι
οὐ D--------- οὐ
παραγέγονεν VX--XAI3S- γίγνομαι παρα
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
Ιεσσαι N---GSM--- Ιεσσαι
καὶ C--------- καί
ἐχθὲς D--------- ἐχθές
καὶ C--------- καί
σήμερον D--------- σήμερον
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
τράπεζαν N1S-ASF--- τράπεζα

1Sa 20:28
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Ιωναθαν N---NSM--- Ιωναθαν
τῷ RA--DSM--- ὁ
Σαουλ N---DSM--- Σαούλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
παρῄτηται VM--XMI3S- αἰτέω παρα
Δαυιδ N---NSM--- Δαυίδ
παρ' P--------- παρά
ἐμοῦ RP--GS---- ἐγώ
ἕως P--------- ἕως
εἰς P--------- εἰς
Βηθλεεμ N---AS---- Βηθλεεμ
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
πορευθῆναι VC--APN--- πορεύομαι

1Sa 20:29
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐξαπόστειλον VA--AAD2S- στέλλω ἐκ ἀπο
δή X--------- δή
με RP--AS---- ἐγώ
ὅτι C--------- ὅτι
θυσία N1A-NSF--- θυσία
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
ἡμῖν RP--DP---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
καὶ C--------- καί
ἐνετείλαντο VAI-AMI3P- τέλλομαι ἐν
πρός P--------- πρός
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
νῦν D--------- νῦν
εἰ C--------- εἰ
εὕρηκα VX--XAI1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
διασωθήσομαι VC--FPI1S- σώζω δια
δὴ X--------- δή
καὶ C--------- καί
ὄψομαι VF--FMI1S- ὁράω
τοὺς RA--APM--- ὁ
ἀδελφούς N2--APM--- ἀδελφός
μου RP--GS---- ἐγώ
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
οὐ D--------- οὐ
παραγέγονεν VX--XAI3S- γίγνομαι παρα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
τράπεζαν N1A-ASF--- τράπεζα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

1Sa 20:30
καὶ C--------- καί
ἐθυμώθη VCI-API3S- θυμόω
ὀργῇ N1--DSF--- ὀργή
Σαουλ N---NSM--- Σαούλ
ἐπὶ P--------- ἐπί
Ιωναθαν N---ASM--- Ιωναθαν
σφόδρα D--------- σφόδρα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
υἱὲ N2--VSM--- υἱός
κορασίων N2N-GPN--- κοράσιον
