Tob 1:1
ἐνίψαντο VAI-AMI3P- νίπτω
καὶ C--------- καί
ἀνέπεσαν VAI-AAI3P- πίπτω ἀνα
δειπνῆσαι VA--AAN--- δειπνέω
εἶπεν VBI-AAI3S- εἶπον
Τωβιας N1T-NSM--- Τωβιας
τῷ RA--DSM--- ὁ
Ραφαηλ N---DSM--- Ραφαηλ
Αζαρια N1T-VSM--- Αζαριας
ἄδελφε N2--VSM--- ἀδελφός
εἰπὸν VBI-AAD2S- εἶπον
Ραγουηλ N---ASM--- Ραγουηλ
ὅπως C--------- ὅπως
δῷ VO--AAS3S- δίδωμι
μοι RP--DS---- ἐγώ
Σαρραν N1A-ASF--- Σαρρα
τὴν RA--ASF--- ὁ
ἀδελφήν N1--ASF--- ἀδελφή
μου RP--GS---- ἐγώ

Tob 7:10
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
Ραγουηλ N---NSM--- Ραγουηλ
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
παιδί N3D-DSM--- παῖς
φάγε VB--AAD2S- ἐσθίω
καὶ C--------- καί
πίε VB--AAD2S- πίνω
καὶ C--------- καί
ἡδέως D--------- ἡδέως
γενοῦ VB--AMD2S- γίγνομαι
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ταύτην RD--ASF--- οὗτος
οὐ D--------- οὐ
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
ᾧ RR--DSM--- ὅς
καθήκει V1--PAI3S- ἥκω κατα
λαβεῖν VB--AAN--- λαμβάνω
Σαρραν N1A-ASF--- Σαρρα
τὴν RA--ASF--- ὁ
θυγατέρα N3--ASF--- θυγάτηρ
μου RP--GS---- ἐγώ
πλὴν D--------- πλήν
σοῦ RP--GS---- σύ
ἄδελφε N2--VSM--- ἀδελφός
ὡσαύτως D--------- ὡσαύτως
δὲ X--------- δέ
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐκ D--------- οὐ
ἔχω V1--PAI1S- ἔχω
ἐξουσίαν N1A-ASF--- ἐξουσία
δοῦναι VO--AAN--- δίδωμι
αὐτὴν RD--ASF--- αὐτός
ἑτέρῳ A1A-DSM--- ἕτερος
ἀνδρὶ N3--DSM--- ἀνήρ
πλὴν D--------- πλήν
σοῦ RP--GS---- σύ
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
ἔγγιστά D--------- ἐγγύς
μου RP--GS---- ἐγώ
καὶ C--------- καί
μάλα D--------- μάλα
τὴν RA--ASF--- ὁ
ἀλήθειάν N1A-ASF--- ἀλήθεια
σοι RP--DS---- σύ
ὑποδείξω VF--FAI1S- δεικνύω ὑπο
παιδίον N2N-ASN--- παιδίον

Tob 7:11
ἔδωκα VAI-AAI1S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
ἑπτὰ M--------- ἑπτά
ἀνδράσιν N3--DPM--- ἀνήρ
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
ἀπέθανον VBI-AAI3P- θνήσκω ἀπο
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ὁπότε D--------- ὁπότε
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
νῦν D--------- νῦν
παιδίον N2N-VSN--- παιδίον
φάγε VB--AAD2S- ἐσθίω
καὶ C--------- καί
πίε VB--AAD2S- πίνω
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ποιήσει VF--FAI3S- ποιέω
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ

Tob 7:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Τωβιας N1T-NSM--- Τωβιας
οὐ D--------- οὐ
μὴ D--------- μή
φάγω VB--AAS1S- ἐσθίω
ἐντεῦθεν D--------- ἐντεῦθεν
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
πίω VB--AAS1S- πίνω
ἕως P--------- ἕως
ἂν X--------- ἄν
διαστήσῃς VA--AAS2S- ἵστημι δια
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
ἐμέ RP--AS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Ραγουηλ N---NSM--- Ραγουηλ
ὅτι C--------- ὅτι
ποιῶ V2--PAS1S- ποιέω
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
δίδοταί V8--PMI3S- δίδωμι
σοι RP--DS---- σύ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
κρίσιν N3I-ASF--- κρίσις
τῆς RA--GSF--- ὁ
βίβλου N2--GSF--- βίβλος
Μωυσέως N1M-GSM--- Μωυσῆς
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
κέκριταί VM--XMI3S- κρίνω
σοι RP--DS---- σύ
δοθῆναι VC--APN--- δίδωμι
κομίζου V1--PMD2S- κομίζω
τὴν RA--ASF--- ὁ
ἀδελφήν N1--ASF--- ἀδελφή
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
νῦν D--------- νῦν
σὺ RP--NS---- σύ
ἀδελφὸς N2--NSM--- ἀδελφός
εἶ V9--PAI2S- εἰμί
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἀδελφή N1--NSF--- ἀδελφή
σου RP--GS---- σύ
δέδοταί VM--XMI3S- δίδωμι
σοι RP--DS---- σύ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον
καὶ C--------- καί
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εὐοδώσει VF--FAI3S- εὐοδόω
ὑμᾶς RP--AP---- σύ
παιδίον N2N-ASN--- παιδίον
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
ποιήσαι VA--AAN--- ποιέω
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
ἔλεος N3E-ASN--- ἔλεος
καὶ C--------- καί
εἰρήνην N1--ASF--- εἰρήνη

Tob 7:13
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Ραγουηλ N---NSM--- Ραγουηλ
Σαρραν N1A-ASF--- Σαρρα
τὴν RA--ASF--- ὁ
θυγατέρα N3--ASF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
λαβόμενος VB--AMPNSM λαμβάνω
τῆς RA--GSF--- ὁ
χειρὸς N3--GSF--- χείρ
αὐτῆς RD--GSF--- αὐτός
παρέδωκεν VAI-AAI3S- δίδωμι παρα
αὐτὴν RD--ASF--- αὐτός
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κόμισαι VA--AMD2S- κομίζω
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
καὶ C--------- καί
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
κρίσιν N3I-ASF--- κρίσις
τὴν RA--ASF--- ὁ
γεγραμμένην VP--XMPASF γράφω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βίβλῳ N2--DSF--- βίβλος
Μωυσέως N1M-GSM--- Μωυσῆς
δοῦναί VO--AAN--- δίδωμι
σοι RP--DS---- σύ
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
ἔχε V1--PAD2S- ἔχω
καὶ C--------- καί
ἄπαγε V1--PAD2S- ἄγω ἀπο
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
σου RP--GS---- σύ
ὑγιαίνων V1--PAPNSM ὑγιαίνω
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
εὐοδώσαι VA--AAO3S- εὐοδόω
ὑμῖν RP--DP---- σύ
εἰρήνην N1--ASF--- εἰρήνη

Tob 7:14
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐνεγκεῖν VB--AAN--- φέρω
βιβλίον N2N-ASN--- βιβλίον
καὶ C--------- καί
ἔγραψεν VAI-AAI3S- γράφω
συγγραφὴν N1--ASF--- συγγραφή
βιβλίου N2N-GSN--- βιβλίον
συνοικήσεως N3I-GSF--- συνοίκησις
καὶ C--------- καί
ὡς C--------- ὡς
δίδωσιν V8--PAI3S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
αὐτῷ RD--DSM--- αὐτός
γυναῖκα N3K-ASF--- γυνή
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
κρίσιν N3I-ASF--- κρίσις
τοῦ RA--GSM--- ὁ
Μωυσέως N1M-GSM--- Μωυσῆς
νόμου N2--GSM--- νόμος
ἀπ' P--------- ἀπό
ἐκείνου RD--GSM--- ἐκεῖνος
ἤρξαντο VAI-AMI3P- ἄρχω
φαγεῖν VB--AAN--- ἐσθίω
καὶ C--------- καί
πιεῖν VB--AAN--- πίνω

Tob 7:15
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Ραγουηλ N---NSM--- Ραγουηλ
Εδναν N1A-ASF--- Εδνα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ἀδελφή N1--VSF--- ἀδελφή
ἑτοίμασον VA--AAD2S- ἑτοιμάζω
τὸ RA--ASN--- ὁ
ταμίειον N2N-ASN--- ταμιεῖον
τὸ RA--ASN--- ὁ
ἕτερον A1A-ASN--- ἕτερος
καὶ C--------- καί
εἰσάγαγε VB--AAD2S- ἄγω εἰς
αὐτὴν RD--ASF--- αὐτός
ἐκεῖ D--------- ἐκεῖ

Tob 7:16
καὶ C--------- καί
βαδίσασα VA--AAPNSF βαδίζω
ἔστρωσεν VAI-AAI3S- στρώννυμι
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ταμίειον N2N-ASN--- ταμιεῖον
ὡς C--------- ὡς
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
αὐτὴν RD--ASF--- αὐτός
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἔκλαυσεν VAI-AAI3S- κλαίω
περὶ P--------- περί
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀπεμάξατο VAI-AMI3S- μάσσομαι ἀπο
τὰ RA--APN--- ὁ
δάκρυα N2N-APN--- δάκρυ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός

Tob 7:17
θάρσει V2--PAD2S- θαρσέω
θύγατερ N3--VSF--- θυγάτηρ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
δῴη VO--AAO3S- δίδωμι
σοι RP--DS---- σύ
χαρὰν N1A-ASF--- χαρά
ἀντὶ P--------- ἀντί
τῆς RA--GSF--- ὁ
λύπης N1--GSF--- λύπη
σου RP--GS---- σύ
θάρσει V2--PAD2S- θαρσέω
θύγατερ N3--VSF--- θυγάτηρ
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ

Tob 8:1
καὶ C--------- καί
ὅτε D--------- ὅτε
συνετέλεσαν VAI-AAI3P- τελέω συν
τὸ RA--ASN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
καὶ C--------- καί
πιεῖν VB--AAN--- πίνω
ἠθέλησαν VAI-AAI3P- θέλω
κοιμηθῆναι VC--APN--- κοιμάω
καὶ C--------- καί
ἀπήγαγον VBI-AAI3P- ἄγω ἀπο
τὸν RA--ASM--- ὁ
νεανίσκον N2--ASM--- νεανίσκος
καὶ C--------- καί
εἰσήγαγον VBI-AAI3P- ἄγω εἰς
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ταμίειον N2N-ASN--- ταμιεῖον

Tob 8:2
καὶ C--------- καί
ἐμνήσθη VSI-API3S- μιμνήσκω
Τωβιας N1T-NSM--- Τωβιας
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
Ραφαηλ N---GSM--- Ραφαηλ
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὸ RA--ASN--- ὁ
ἧπαρ N3T-ASN--- ἧπαρ
τοῦ RA--GSM--- ὁ
ἰχθύος N3U-GSM--- ἰχθύς
καὶ C--------- καί
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
βαλλαντίου N2N-GSN--- βαλλάντιον
οὗ RR--GSN--- ὅς
εἶχεν V1I-IAI3S- ἔχω
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
τέφραν N1A-ASF--- τέφρα
τοῦ RA--GSN--- ὁ
θυμιάματος N3M-GSN--- θυμίαμα

Tob 8:3
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὀσμὴ N1--NSF--- ὀσμή
τοῦ RA--GSM--- ὁ
ἰχθύος N3U-GSM--- ἰχθύς
ἐκώλυσεν VAI-AAI3S- κωλύω
καὶ C--------- καί
ἀπέδραμεν VBI-AAI3S- τρέχω ἀπο
τὸ RA--NSN--- ὁ
δαιμόνιον N2N-NSN--- δαιμόνιον
ἄνω D--------- ἄνω
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
μέρη N3E-APN--- μέρος
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
βαδίσας VA--AAPNSM βαδίζω
Ραφαηλ N---NSM--- Ραφαηλ
συνεπόδισεν VAI-AAI3S- ποδίζω συν
αὐτὸν RD--ASM--- αὐτός
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἐπέδησεν VAI-AAI3S- δέω ἐπι
παραχρῆμα D--------- παραχρῆμα

Tob 8:4
καὶ C--------- καί
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
καὶ C--------- καί
ἀπέκλεισαν VAI-AAI3P- κλείω ἀπο
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
τοῦ RA--GSN--- ὁ
ταμιείου N2N-GSN--- ταμιεῖον
καὶ C--------- καί
ἠγέρθη VCI-API3S- ἐγείρω
Τωβιας N1T-NSM--- Τωβιας
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
κλίνης N1--GSF--- κλίνη
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ἀδελφή N1--VSF--- ἀδελφή
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
προσευξώμεθα VA--AMS1P- εὔχομαι προς
καὶ C--------- καί
δεηθῶμεν VC--APS1P- δέω
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἡμῶν RP--GP---- ἐγώ
ὅπως C--------- ὅπως
ποιήσῃ VA--AAS3S- ποιέω
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
ἔλεος N3E-ASN--- ἔλεος
καὶ C--------- καί
σωτηρίαν N1A-ASF--- σωτηρία

Tob 8:5
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
καὶ C--------- καί
ἤρξαντο VAI-AMI3P- ἄρχω
προσεύχεσθαι V1--PMN--- εὔχομαι προς
καὶ C--------- καί
δεηθῆναι VC--APN--- δέω
ὅπως C--------- ὅπως
γένηται VB--AMS3S- γίγνομαι
αὐτοῖς RD--DPM--- αὐτός
σωτηρία N1A-NSF--- σωτηρία
καὶ C--------- καί
ἤρξατο VAI-AMI3S- ἄρχω
λέγειν V1--PAN--- λέγω
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
εὐλογητὸν A1--NSN--- εὐλογητός
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
εἰς P--------- εἰς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
τῆς RA--GSF--- ὁ
γενεᾶς N1A-GSF--- γενεά
εὐλογησάτωσάν VA--AAD3P- εὐλογέω
σε RP--AS---- σύ
οἱ RA--NPM--- ὁ
οὐρανοὶ N2--NPM--- οὐρανός
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
κτίσις N3I-NSF--- κτίσις
σου RP--GS---- σύ
εἰς P--------- εἰς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Tob 8:6
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
τὸν RA--ASM--- ὁ
Αδαμ N---ASM--- Αδαμ
καὶ C--------- καί
ἐποίησας VAI-AAI2S- ποιέω
αὐτῷ RD--DSM--- αὐτός
βοηθὸν N2--ASM--- βοηθός
στήριγμα N3M-ASN--- στήριγμα
Ευαν N---ASF--- Ευα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξ P--------- ἐκ
ἀμφοτέρων A1A-GPM--- ἀμφότεροι
ἐγενήθη VCI-API3S- γίγνομαι
τὸ RA--ASN--- ὁ
σπέρμα N3M-ASN--- σπέρμα
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
σὺ RP--NS---- σύ
εἶπας VAI-AAI2S- εἶπον
ὅτι C--------- ὅτι
οὐ D--------- οὐ
καλὸν A1--ASM--- καλός
εἶναι V9--PAN--- εἰμί
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
μόνον D--------- μόνον
ποιήσωμεν VA--AAS1P- ποιέω
αὐτῷ RD--DSM--- αὐτός
βοηθὸν N2--ASM--- βοηθός
ὅμοιον A1A-ASM--- ὅμοιος
αὐτῷ RD--DSM--- αὐτός

Tob 8:7
καὶ C--------- καί
νῦν D--------- νῦν
οὐχὶ D--------- οὐ
διὰ P--------- διά
πορνείαν N1A-ASF--- πορνεία
ἐγὼ RP--NS---- ἐγώ
λαμβάνω V1--PAI1S- λαμβάνω
τὴν RA--ASF--- ὁ
ἀδελφήν N1--ASF--- ἀδελφή
μου RP--GS---- ἐγώ
ταύτην RD--ASF--- οὗτος
ἀλλ' C--------- ἀλλά
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
ἐπίταξον VA--AAD2S- τάσσω ἐπι
ἐλεῆσαί VA--AAN--- ἐλεέω
με RP--AS---- ἐγώ
καὶ C--------- καί
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
συγκαταγηρᾶσαι VA--AAN--- γηράω συν κατα
κοινῶς D--------- κοινῶς

Tob 8:8
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
μεθ' P--------- μετά
ἑαυτῶν RD--GPM--- ἑαυτοῦ
αμην I--------- αμην
αμην I--------- αμην

Tob 8:9
καὶ C--------- καί
ἐκοιμήθησαν VCI-API3P- κοιμάω
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ

Tob 8:10
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
Ραγουηλ N---NSM--- Ραγουηλ
ἐκάλεσεν VAI-AAI3S- καλέω
τοὺς RA--APM--- ὁ
οἰκέτας N1M-APM--- οἰκέτης
μεθ' P--------- μετά
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
καὶ C--------- καί
ᾤχοντο V1I-IMI3P- οἴχομαι
καὶ C--------- καί
ὤρυξαν VAI-AAI3P- ὀρύσσω
τάφον N2--ASM--- τάφος
εἶπεν VBI-AAI3S- εἶπον
γάρ X--------- γάρ
μήποτε X--------- μήποτε
ἀποθάνῃ VB--AAS3S- θνήσκω ἀπο
καὶ C--------- καί
γενώμεθα VB--AMS1P- γίγνομαι
κατάγελως D--------- κατάγελως
καὶ C--------- καί
ὀνειδισμός N2--NSM--- ὀνειδισμός

Tob 8:11
καὶ C--------- καί
ὅτε D--------- ὅτε
συνετέλεσαν VAI-AAI3P- τελέω συν
ὀρύσσοντες V1--PAPNPM ὀρύσσω
τὸν RA--ASM--- ὁ
τάφον N2--ASM--- τάφος
ἦλθεν VBI-AAI3S- ἔρχομαι
Ραγουηλ N---NSM--- Ραγουηλ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός

Tob 8:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἀπόστειλον VA--AAD2S- στέλλω ἀπο
μίαν A1A-ASF--- εἷς
τῶν RA--GPF--- ὁ
παιδισκῶν N2--GPF--- παιδίσκος
καὶ C--------- καί
εἰσελθοῦσα VB--AAPNSF ἔρχομαι εἰς
ἰδέτω VB--AAD3S- ὁράω
εἰ C--------- εἰ
ζῇ V3--PAI3S- ζάω
καὶ C--------- καί
εἰ C--------- εἰ
τέθνηκεν VX--XAI3S- θνήσκω
ὅπως C--------- ὅπως
ἂν X--------- ἄν
θάψωμεν VA--AAS1P- θάπτω
αὐτόν RD--ASM--- αὐτός
ὅπως C--------- ὅπως
μηδεὶς A3P-NSM--- μηδείς
γνῷ VZ--AAS3S- γιγνώσκω

Tob 8:13
καὶ C--------- καί
ἀπέστειλαν VAI-AAI3P- στέλλω ἀπο
τὴν RA--ASF--- ὁ
παιδίσκην N1--ASF--- παιδίσκη
καὶ C--------- καί
ἧψαν VAI-AAI3P- ἅπτω
τὸν RA--ASM--- ὁ
λύχνον N2--ASM--- λύχνος
καὶ C--------- καί
ἤνοιξαν VAI-AAI3P- οἴγω ἀνα
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
αὐτοὺς RD--APM--- αὐτός
καθεύδοντας V1--PAPAPM εὕδω κατα
καὶ C--------- καί
ὑπνοῦντας V4--PAPAPM ὑπνόω
κοινῶς D--------- κοινῶς

Tob 8:14
καὶ C--------- καί
ἐξελθοῦσα VB--AAPNSF ἔρχομαι ἐκ
ἡ RA--NSF--- ὁ
παιδίσκη N1--NSF--- παιδίσκη
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
αὐτοῖς RD--DPM--- αὐτός
ὅτι C--------- ὅτι
ζῇ V3--PAI3S- ζάω
καὶ C--------- καί
οὐδὲν A3--ASN--- οὐδείς
κακόν A1--ASM--- κακός
ἐστιν V9--PAI3S- εἰμί

Tob 8:15
καὶ C--------- καί
εὐλόγησαν VA--AAPASN εὐλογέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
θεέ N2--VSM--- θεός
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
εὐλογίᾳ N1A-DSF--- εὐλογία
καθαρᾷ A1A-DSF--- καθαρός
εὐλογείτωσάν V2--PAD3P- εὐλογέω
σε RP--AS---- σύ
εἰς P--------- εἰς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Tob 8:16
καὶ C--------- καί
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὅτι C--------- ὅτι
εὔφρανάς VA--AAI2S- εὐφραίνω
με RP--AS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγένετο VBI-AMI3S- γίγνομαι
καθὼς D--------- καθώς
ὑπενόουν V2I-IAI1S- νοέω ὑπο
ἀλλὰ C--------- ἀλλά
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πολὺ A1P-ASN--- πολύς
ἔλεός N3E-ASN--- ἔλεος
σου RP--GS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ

Tob 8:17
καὶ C--------- καί
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὅτι C--------- ὅτι
ἠλέησας VAI-AAI2S- ἐλεέω
δύο M--------- δύο
μονογενεῖς A3H-APM--- μονογενής
ποίησον VA--AAD2S- ποιέω
αὐτοῖς RD--DPM--- αὐτός
δέσποτα N1M-VSM--- δεσπότης
ἔλεος N3E-ASN--- ἔλεος
καὶ C--------- καί
σωτηρίαν N1A-ASF--- σωτηρία
καὶ C--------- καί
συντέλεσον VA--AAD2S- τελέω συν
τὴν RA--ASF--- ὁ
ζωὴν N1--ASF--- ζωή
αὐτῶν RD--GPM--- αὐτός
μετ' P--------- μετά
εὐφροσύνης N1--GSF--- εὐφροσύνη
καὶ C--------- καί
ἐλέου N3E-GSN--- ἔλεος

Tob 8:18
τότε D--------- τότε
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
οἰκέταις N1M-DPM--- οἰκέτης
αὐτοῦ RD--GSM--- αὐτός
χῶσαι VA--AMD2S- χῶσαι
τὸν RA--ASM--- ὁ
τάφον N2--ASM--- τάφος
πρὸ P--------- πρό
τοῦ RA--GSM--- ὁ
ὄρθρον N2--ASM--- ὄρθρος
γενέσθαι VB--AMN--- γίγνομαι

Tob 8:19
καὶ C--------- καί
τῇ RA--DSF--- ὁ
γυναικὶ N3K-DSF--- γυνή
εἶπεν VBI-AAI3S- εἶπον
ποιῆσαι VA--AAN--- ποιέω
ἄρτους N2--APM--- ἄρτος
πολλούς A1--APM--- πολύς
καὶ C--------- καί
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
βουκόλιον N2--ASN--- βουλόλιον
βαδίσας VA--AAPNSM βαδίζω
ἤγαγεν VBI-AAI3S- ἄγω
βόας N3--APM--- βοῦς
