Rth 1:1
αὐτῆς RD--GSF--- αὐτός
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
τίς RI--NSF--- τίς
εἶ V9--PAI2S- εἰμί
θύγατερ N3--VSF--- θυγάτηρ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
αὐτῇ RD--DSF--- αὐτός
ὁ RA--NSM--- ὁ
ἀνήρ N3--NSM--- ἀνήρ

Rth 3:17
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
τὰ RA--APN--- ὁ
ἓξ M--------- ἕξ
τῶν RA--GPF--- ὁ
κριθῶν N1--GPF--- κριθή
ταῦτα RD--APN--- οὗτος
ἔδωκέν VAI-AAI3S- δίδωμι
μοι RP--DSF--- ἐγώ
ὅτι C--------- ὅτι
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--ASF--- ἐγώ
μὴ D--------- μή
εἰσέλθῃς VB--AAS2S- ἔρχομαι εἰς
κενὴ A1--NSF--- κενός
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
πενθεράν N1A-ASF--- πενθερά
σου RP--GSF--- σύ

Rth 3:18
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
κάθου V1--PMD2S- ἧμαι κατα
θύγατερ N3--VSF--- θυγάτηρ
ἕως C--------- ἕως
τοῦ RA--GSN--- ὁ
ἐπιγνῶναί VZ--AAN--- γιγνώσκω ἐπι
σε RP--ASF--- σύ
πῶς D--------- πῶς
οὐ D--------- οὐ
πεσεῖται VF2-FMI3S- πίπτω
ῥῆμα N3M-NSN--- ῥῆμα
οὐ D--------- οὐ
γὰρ X--------- γάρ
μὴ D--------- μή
ἡσυχάσῃ VA--AAS3S- ἡσυχάζω
ὁ RA--NSM--- ὁ
ἀνήρ N3--NSM--- ἀνήρ
ἕως C--------- ἕως
ἂν X--------- ἄν
τελέσῃ VA--AAS3S- τελέω
τὸ RA--NSN--- ὁ
ῥῆμα N3M-NSN--- ῥῆμα
σήμερον D--------- σήμερον

Rth 4:1
καὶ C--------- καί
Βοος N---NSM--- Βοος
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
ἀγχιστευτὴς N1M-NSM--- ἀγχιστευτής
παρεπορεύετο V1I-IMI3S- πορεύομαι παρα
ὃν RR--ASM--- ὅς
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
Βοος N---NSM--- Βοος
ἐκκλίνας VA--AAPNSM κλίνω ἐκ
κάθισον VA--AAD2S- καθίζω
ὧδε D--------- ὧδε
κρύφιε A1A-VSM--- κρύφιος
καὶ C--------- καί
ἐξέκλινεν V1I-IAI3S- κλίνω ἐκ
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- καθίζω

Rth 4:2
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Βοος N---NSM--- Βοος
δέκα M--------- δέκα
ἄνδρας N3--APM--- ἀνήρ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
πρεσβυτέρων A1A-GPMC-- πρεσβύτερος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
καθίσατε VA--AAD2P- ἵζω κατα
ὧδε D--------- ὧδε
καὶ C--------- καί
ἐκάθισαν VAI-AAI3P- ἵζω κατα

Rth 4:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
τῷ RA--DSM--- ὁ
ἀγχιστεῖ N3U-DSM--- ἀγχιστεύς
τὴν RA--ASF--- ὁ
μερίδα N3D-ASF--- μερίς
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
ἡμῶν RP--GPM--- ἐγώ
τοῦ RA--GSM--- ὁ
Αβιμελεχ N---GSM--- Αβιμελεχ
ἣ RR--NSF--- ὅς
δέδοται VM--XMI3S- δίδωμι
Νωεμιν N---DSF--- Νωεμιν
τῇ RA--DSF--- ὁ
ἐπιστρεφούσῃ V1--PAPDSF στρέφω ἐπι
ἐξ P--------- ἐκ
ἀγροῦ N2--GSM--- ἀγρός
Μωαβ N---GS---- Μωαβ

Rth 4:4
κἀγὼ C+RPNSM--- καί+ἐγώ
εἶπα VAI-AAI1S- εἶπον
ἀποκαλύψω VF--FAI1S- καλύπτω ἀπο
τὸ RA--ASN--- ὁ
οὖς N3--ASN--- οὖς
σου RP--GSM--- σύ
λέγων V1--PAPNSM λέγω
κτῆσαι VA--AMD2S- κτάομαι
ἐναντίον A1A-P----- ἐναντίος
τῶν RA--GPM--- ὁ
καθημένων V5--PMPGPM ἧμαι κατα
καὶ C--------- καί
ἐναντίον A1A-P----- ἐναντίος
τῶν RA--GPM--- ὁ
πρεσβυτέρων A1A-GPMC-- πρεσβύτερος
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GSM--- ἐγώ
εἰ C--------- εἰ
ἀγχιστεύεις V1--PAI2S- ἀγχιστεύω
ἀγχίστευε V1--PAD2S- ἀγχιστεύω
εἰ C--------- εἰ
δὲ X--------- δέ
μὴ D--------- μή
ἀγχιστεύεις V1--PAI2S- ἀγχιστεύω
ἀνάγγειλόν VA--AAD2S- ἀγγέλλω ἀνα
μοι RP--DSM--- ἐγώ
καὶ C--------- καί
γνώσομαι VF--FMI1S- γιγνώσκω
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
πάρεξ P--------- πάρεξ
σοῦ RP--GSM--- σύ
τοῦ RA--GSN--- ὁ
ἀγχιστεῦσαι VA--AAN--- ἀγχιστεύω
κἀγώ C+RPNSM--- καί+ἐγώ
εἰμι V9--PAI1S- εἰμί
μετὰ P--------- μετά
σέ RP--ASM--- σύ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἐγώ RP--NSM--- ἐγώ
εἰμι V9--PAI1S- εἰμί
ἀγχιστεύσω VF--FAI1S- ἀγχιστεύω

Rth 4:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
τοῦ RA--GSN--- ὁ
κτήσασθαί VA--AMN--- κτάομαι
σε RP--ASM--- σύ
τὸν RA--ASM--- ὁ
ἀγρὸν N2--ASM--- ἀγρός
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
Νωεμιν N---GSM--- Νωεμιν
καὶ C--------- καί
παρὰ P--------- παρά
Ρουθ N---GSF--- Ρουθ
τῆς RA--GSF--- ὁ
Μωαβίτιδος A3--GSF--- Μωαβῖτις
γυναικὸς N3K-GSF--- γυνή
τοῦ RA--GSM--- ὁ
τεθνηκότος VX--XAPGSM θνήσκω
καὶ C--------- καί
αὐτὴν RD--ASF--- αὐτός
κτήσασθαί VA--AMN--- κτάομαι
σε RP--ASM--- σύ
δεῖ V2--PAI3S- δέω
ὥστε C--------- ὥστε
ἀναστῆσαι VA--AAN--- ἵστημι ἀνα
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
τεθνηκότος VX--XAPGSM θνήσκω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός

Rth 4:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἀγχιστεύς N3U-NSM--- ἀγχιστεύς
οὐ D--------- οὐ
δυνήσομαι VF--FMI1S- δύναμαι
ἀγχιστεῦσαι VA--AAN--- ἀγχιστεύω
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
μήποτε D--------- μήποτε
διαφθείρω V1--PAI1S- φθείρω δια
τὴν RA--ASF--- ὁ
κληρονομίαν N1A-ASF--- κληρονομία
μου RP--GSM--- ἐγώ
ἀγχίστευσον VA--AAD2S- ἀγχιστεύω
σεαυτῷ RD--DSM--- σεαυτοῦ
τὴν RA--ASF--- ὁ
ἀγχιστείαν N1A-ASF--- ἀγχιστεία
μου RP--GSM--- ἐγώ
ὅτι C--------- ὅτι
οὐ D--------- οὐ
δυνήσομαι VF--FMI1S- δύναμαι
ἀγχιστεῦσαι VA--AAN--- ἀγχιστεύω

Rth 4:7
καὶ C--------- καί
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δικαίωμα N3M-NSN--- δικαίωμα
ἔμπροσθεν D--------- ἔμπροσθεν
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---NSM--- Ἰσραήλ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ἀγχιστείαν N1A-ASF--- ἀγχιστεία
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἀντάλλαγμα N3M-ASN--- ἀντάλλαγμα
τοῦ RA--GSN--- ὁ
στῆσαι VA--AAN--- ἵστημι
πᾶν A3--ASM--- πᾶς
λόγον N2--ASM--- λόγος
καὶ C--------- καί
ὑπελύετο V1I-IMI3S- λύω ὑπο
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
τὸ RA--ASN--- ὁ
ὑπόδημα N3M-ASN--- ὑπόδημα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐδίδου V8I-IMI3S- δίδωμι
τῷ RA--DSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
τῷ RA--DSM--- ὁ
ἀγχιστεύοντι V1--PAPDSM ἀγχιστεύω
τὴν RA--ASF--- ὁ
ἀγχιστείαν N1A-ASF--- ἀγχιστεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τοῦτο RD--NSN--- οὗτος
ἦν V9--IAI3S- εἰμί
μαρτύριον N2N-NSN--- μαρτύριον
ἐν P--------- ἐν
Ισραηλ N---DSM--- Ἰσραήλ

Rth 4:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἀγχιστεὺς N3U-NSM--- ἀγχιστεύς
τῷ RA--DSM--- ὁ
Βοος N---DSM--- Βοος
κτῆσαι VA--AMD2S- κτάομαι
σεαυτῷ RD--DSM--- σεαυτοῦ
τὴν RA--ASF--- ὁ
ἀγχιστείαν N1A-ASF--- ἀγχιστεία
μου RP--GSM--- ἐγώ
καὶ C--------- καί
ὑπελύσατο VAI-AMI3S- λύω ὑπο
τὸ RA--ASN--- ὁ
ὑπόδημα N3M-ASN--- ὑπόδημα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός

Rth 4:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
τοῖς RA--DPM--- ὁ
πρεσβυτέροις A1A-DPMC-- πρεσβύτερος
καὶ C--------- καί
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
μάρτυρες N3--NPM--- μάρτυς
ὑμεῖς RP--NPM--- σύ
σήμερον D--------- σήμερον
ὅτι C--------- ὅτι
κέκτημαι VM--XMI1S- κτάομαι
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
τοῦ RA--GSM--- ὁ
Αβιμελεχ N---GSM--- Αβιμελεχ
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--NPN--- ὅσος
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
τῷ RA--DSM--- ὁ
Χελαιων N---DSM--- Χελαιων
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Μααλων N---DSM--- Μααλων
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
Νωεμιν N---GSF--- Νωεμιν

Rth 4:10
καί C--------- καί
γε X--------- γέ
Ρουθ N---ASF--- Ρουθ
τὴν RA--ASF--- ὁ
Μωαβῖτιν A3--ASF--- Μωαβῖτις
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
Μααλων N---GSM--- Μααλων
κέκτημαι VM--XMI1S- κτάομαι
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή
τοῦ RA--GSN--- ὁ
ἀναστῆσαι VA--AAN--- ἵστημι ἀνα
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
τεθνηκότος VX--XAPGSM θνήσκω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐξολεθρευθήσεται VC--FPI3S- ὀλεθρεύω ἐκ
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
τοῦ RA--GSM--- ὁ
τεθνηκότος VX--XAPGSM θνήσκω
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
λαοῦ N2--GSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
μάρτυρες N3--NPM--- μάρτυς
ὑμεῖς RP--NPM--- σύ
σήμερον D--------- σήμερον

Rth 4:11
καὶ C--------- καί
εἴποσαν VBI-AAI3P- εἶπον
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πύλῃ N1--DSF--- πύλη
μάρτυρες N3--NPM--- μάρτυς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πρεσβύτεροι A1A-NPMC-- πρεσβύτερος
εἴποσαν VBI-AAI3P- εἶπον
δῴη VO--AAO3S- δίδωμι
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
γυναῖκά N3K-ASF--- γυνή
σου RP--GSM--- σύ
τὴν RA--ASF--- ὁ
εἰσπορευομένην V1--PMPASF πορεύομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκόν N2--ASM--- οἶκος
σου RP--GSM--- σύ
ὡς C--------- ὡς
Ραχηλ N---ASF--- Ραχηλ
καὶ C--------- καί
ὡς C--------- ὡς
Λειαν N---ASF--- Λεια
αἳ RR--NPF--- ὅς
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
ἀμφότεραι A1A-NPF--- ἀμφότεροι
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω
δύναμιν N3I-ASF--- δύναμις
ἐν P--------- ἐν
Εφραθα N---DS---- Εφραθα
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὄνομα N3M-NSN--- ὄνομα
ἐν P--------- ἐν
Βαιθλεεμ N---DS---- Βαιθλεεμ

Rth 4:12
καὶ C--------- καί
γένοιτο VB--AMO3S- γίγνομαι
ὁ RA--NSM--- ὁ
οἶκός N2--NSM--- οἶκος
σου RP--GSM--- σύ
ὡς C--------- ὡς
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
Φαρες N---GSM--- Φαρες
ὃν RR--ASM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
Θαμαρ N---NSF--- Θαμαρ
τῷ RA--DSM--- ὁ
Ιουδα N---DSM--- Ιουδα
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
οὗ RR--GSN--- ὅς
δώσει VF--FAI3S- δίδωμι
κύριός N2--NSM--- κύριος
σοι RP--DSM--- σύ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
παιδίσκης N1--GSF--- παιδίσκη
ταύτης RD--GSF--- οὗτος

Rth 4:13
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Βοος N---NSM--- Βοος
τὴν RA--ASF--- ὁ
Ρουθ N---ASF--- Ρουθ
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
αὐτῷ RD--DSM--- αὐτός
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῇ RD--DSF--- αὐτός
κύριος N2--NSM--- κύριος
κύησιν N3I-ASF--- κύησις
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
υἱόν N2--ASM--- υἱός

Rth 4:14
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
πρὸς P--------- πρός
Νωεμιν N---ASF--- Νωεμιν
εὐλογητὸς A1--NSM--- εὐλογητός
κύριος N2--NSM--- κύριος
ὃς RR--NSM--- ὅς
οὐ D--------- οὐ
κατέλυσέ VAI-AAI3S- λύω κατα
σοι RP--DSF--- σύ
σήμερον D--------- σήμερον
τὸν RA--ASM--- ὁ
ἀγχιστέα N3U-ASM--- ἀγχιστεύς
καὶ C--------- καί
καλέσαι VA--AAO3S- καλέω
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GSF--- σύ
ἐν P--------- ἐν
Ισραηλ N---DSM--- Ἰσραήλ

Rth 4:15
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
σοι RP--DSF--- σύ
εἰς P--------- εἰς
ἐπιστρέφοντα V1--PAPASM στρέφω ἐπι
ψυχὴν N1--ASF--- ψυχή
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
διαθρέψαι VA--AAN--- τρέφω δια
τὴν RA--ASF--- ὁ
πολιάν N1A-ASF--- πολιά
σου RP--GSF--- σύ
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
νύμφη N1--NSF--- νύμφη
σου RP--GSF--- σύ
ἡ RA--NSF--- ὁ
ἀγαπήσασά VA--AAPNSF ἀγαπάω
σε RP--ASF--- σύ
ἔτεκεν VBI-AAI3S- τίκτω
αὐτόν RD--ASM--- αὐτός
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἀγαθή A1--NSF--- ἀγαθός
σοι RP--DSF--- σύ
ὑπὲρ P--------- ὑπέρ
ἑπτὰ M--------- ἑπτά
υἱούς N2--APM--- υἱός

Rth 4:16
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Νωεμιν N---NSF--- Νωεμιν
τὸ RA--ASN--- ὁ
παιδίον N2N-ASN--- παιδίον
καὶ C--------- καί
ἔθηκεν VAI-AAI3S- τίθημι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κόλπον N2--ASM--- κόλπος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
αὐτῷ RD--DSM--- αὐτός
εἰς P--------- εἰς
τιθηνόν N2--ASM--- τιθηνός

Rth 4:17
καὶ C--------- καί
ἐκάλεσαν VAI-AAI3P- καλέω
αὐτοῦ RD--GSM--- αὐτός
αἱ RA--NPF--- ὁ
γείτονες N3N-NPF--- γείτων
ὄνομα N3M-ASN--- ὄνομα
λέγουσαι V1--PAPNPF λέγω
ἐτέχθη VCI-API3S- τίκτω
υἱὸς N2--NSM--- υἱός
τῇ RA--DSF--- ὁ
Νωεμιν N---DSF--- Νωεμιν
καὶ C--------- καί
ἐκάλεσαν VAI-AAI3P- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Ωβηδ N---ASM--- Ωβηδ
οὗτος RD--NSM--- οὗτος
πατὴρ N3--NSM--- πατήρ
Ιεσσαι N---GSM--- Ιεσσαι
πατρὸς N3--GSM--- πατήρ
Δαυιδ N---GSM--- Δαυίδ

Rth 4:18
καὶ C--------- καί
αὗται RD--NPF--- οὗτος
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
Φαρες N---GSM--- Φαρες
Φαρες N---NSM--- Φαρες
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Εσρων N---ASM--- Εσρων

Rth 4:19
Εσρων N---NSM--- Εσρων
δὲ X--------- δέ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Αρραν N---ASM--- Αρραν
καὶ C--------- καί
Αρραν N---NSM--- Αρραν
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Αμιναδαβ N---ASM--- Αμιναδαβ

Rth 4:20
καὶ C--------- καί
Αμιναδαβ N---NSM--- Αμιναδαβ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ναασσων N---ASM--- Ναασσων
καὶ C--------- καί
Ναασσων N---NSM--- Ναασσων
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Σαλμαν N---ASM--- Σαλμαν

Rth 4:21
καὶ C--------- καί
Σαλμαν N---NSM--- Σαλμαν
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Βοος N---ASM--- Βοος
καὶ C--------- καί
Βοος N---NSM--- Βοος
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ωβηδ N---ASM--- Ωβηδ

Rth 4:22
καὶ C--------- καί
Ωβηδ N---NSM--- Ωβηδ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ιεσσαι N---ASM--- Ιεσσαι
καὶ C--------- καί
Ιεσσαι N---NSM--- Ιεσσαι
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Δαυιδ N---ASM--- Δαυίδ

