Tob 1:1
καὶ C--------- καί
βοήσατε VA--AAD2P- βοάω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἐλεήμονα A3N-ASM--- ἐλεήμων
θεόν N2--ASM--- θεός
καὶ C--------- καί
σώσει VF--FAI3S- σώζω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
ἐλεήσει VF--FAI3S- ἐλεέω
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
ὅτι C--------- ὅτι
σοὶ RP--DS---- σύ
αὐτὴ RD--NSF--- αὐτός
ἡτοιμασμένη VMI-XMPNSF ἑτοιμάζω
ἦν V9--IAI3S- εἰμί
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
σὺ RP--NS---- σύ
αὐτὴν RD--ASF--- αὐτός
σώσεις VF--FAI2S- σώζω
καὶ C--------- καί
πορεύσεται VF--FMI3S- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
ὑπολαμβάνω V1--PAI1S- λαμβάνω ὑπο
ὅτι C--------- ὅτι
σοὶ RP--DS---- σύ
ἔσται VF--FMI3S- εἰμί
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
παιδία N2N-NPN--- παιδίον

Tob 6:19
καὶ C--------- καί
ὡς D--------- ὡς
ἤκουσεν VAI-AAI3S- ἀκούω
Τωβιας N1T-NSM--- Τωβείας
ταῦτα RD--APN--- οὗτος
ἐφίλησεν VAI-AAI3S- φιλέω
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ψυχὴ N1--NSF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός
ἐκολλήθη VCI-API3S- κολλάω
αὐτῇ RD--DSF--- αὐτός
σφόδρα D--------- σφόδρα

Tob 7:1
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
εἰς P--------- εἰς
Ἐκβάτανα N---AS---- Ἐκβάτανα
καὶ C--------- καί
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
Ραγουηλ N---GSM--- Ῥαγουήλ
Σαρρα N---NSM--- Σαρρα
δὲ X--------- δέ
ὑπήντησεν VAI-AAI3S- ἀντάω ὑπο
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἐχαιρέτισεν VAI-AAI3S- χαιρετίζω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία

Tob 7:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ραγουηλ N---NSM--- Ῥαγουήλ
Εδνα N---DSF--- Ἐδνά
τῇ RA--DSF--- ὁ
γυναικὶ N3K-DSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
ὡς D--------- ὡς
ὅμοιος A1A-NSM--- ὅμοιος
ὁ RA--NSM--- ὁ
νεανίσκος N2--NSM--- νεανίσκος
Τωβιτ N---GSM--- Τωβιτ
τῷ RA--DSM--- ὁ
ἀνεψιῷ N2--DSM--- ἀνεψιός
μου RP--GS---- ἐγώ

Tob 7:3
καὶ C--------- καί
ἠρώτησεν VAI-AAI3S- ἐρωτάω
αὐτοὺς RD--APM--- αὐτός
Ραγουηλ N---NSM--- Ῥαγουήλ
πόθεν P--------- πόθεν
ἐστέ V9--PAI2P- εἰμί
ἀδελφοί N2--NPM--- ἀδελφός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Νεφθαλι N---GSM--- Νεφθαλι
τῶν RA--GPM--- ὁ
αἰχμαλώτων A1B-GPM--- αἰχμάλωτος
ἐν P--------- ἐν
Νινευη N---DSF--- Νινευη

Tob 7:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
γινώσκετε V1--PAI2P- γιγνώσκω
Τωβιτ N---ASM--- Τωβιτ
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
εἶπαν VAI-AAI3P- εἶπον
γινώσκομεν V1--PAI1P- γιγνώσκω

Tob 7:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ὑγιαίνει V1--PAI3S- ὑγιαίνω
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
εἶπαν VAI-AAI3P- εἶπον
καὶ D--------- καί
ζῇ V3--PAI3S- ζάω
καὶ C--------- καί
ὑγιαίνει V1--PAI3S- ὑγιαίνω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Τωβιας N---NSM--- Τωβιας
πατήρ N3--NSM--- πατήρ
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί

Tob 7:6
καὶ C--------- καί
ἀνεπήδησεν VAI-AAI3S- πηδάω ἀνα
Ραγουηλ N---NSM--- Ῥαγουήλ
καὶ C--------- καί
κατεφίλησεν VAI-AAI3S- φιλέω κατα
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
ἔκλαυσε VAI-AAI3S- κλαίω
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
καλοῦ A1--GSM--- καλός
καὶ C--------- καί
ἀγαθοῦ A1--GSM--- ἀγαθός
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
ἀκούσας VA--AAPNSM ἀκούω
ὅτι C--------- ὅτι
Τωβιτ N---NSM--- Τωβιτ
ἀπώλεσεν VAI-AAI3S- ὀλλύω ἀπο
τοὺς RA--APM--- ὁ
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
αὐτοῦ RD--GSM--- αὐτός
ἐλυπήθη VCI-API3S- λυπέω
καὶ C--------- καί
ἔκλαυσεν VAI-AAI3S- κλαίω

Tob 7:7
καὶ C--------- καί
Εδνα N---NSF--- Ἐδνά
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Σαρρα N---NSF--- Σαρρα
ἡ RA--NSF--- ὁ
θυγάτηρ N3--NSF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
ἔκλαυσαν VAI-AAI3P- κλαίω
καὶ C--------- καί
ὑπεδέξαντο VAI-AMI3P- δέχομαι ὑπο
αὐτοὺς RD--APM--- αὐτός
προθύμως D--------- προθύμως

Tob 7:8
καὶ C--------- καί
ἔθυσαν VAI-AAI3P- θύω
κριὸν N2--ASM--- κριός
προβάτων N2N-GPN--- πρόβατον
καὶ C--------- καί
παρέθηκαν VAI-AAI3P- τίθημι παρα
ὄψα N2N-APN--- ὄψον
πλείονα A3C-APN--- πολύς

Tob 7:9
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Τωβιας N---NSM--- Τωβιας
τῷ RA--DSM--- ὁ
Ραφαηλ N---DSM--- Ῥαφαήλ
Αζαρια N---VSM--- Ἀζαρίας
ἄδελφε N2--VSM--- ἀδελφός
λάλησον VA--AAD2S- λαλέω
ὑπὲρ P--------- ὑπέρ
ὧν RR--GPN--- ὅς
ἔλεγες V1I-IAI2S- λέγω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πορείᾳ N1A-DSF--- πορεία
καὶ C--------- καί
τελεσθήτω VC--APD3S- τελέω
τὸ RA--NSN--- ὁ
πρᾶγμα N3M-NSN--- πρᾶγμα

Tob 7:10
καὶ C--------- καί
μετέδωκεν VAI-AAI3S- δίδωμι μετα
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
τῷ RA--DSM--- ὁ
Ραγουηλ N---DSM--- Ῥαγουήλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ραγουηλ N---NSM--- Ῥαγουήλ
πρὸς P--------- πρός
Τωβιαν N1T-ASM--- Τωβείας
φάγε VB--AAD2S- ἐσθίω
καὶ C--------- καί
πίε VB--AAD2S- πίνω
καὶ C--------- καί
ἡδέως D--------- ἡδέως
γίνου V1--PMD2S- γίγνομαι
σοὶ RP--DS---- σύ
γὰρ X--------- γάρ
καθήκει V1--PAI3S- ἥκω κατα
τὸ RA--ASN--- ὁ
παιδίον N2N-ASN--- παιδίον
μου RP--GS---- ἐγώ
λαβεῖν VB--AAN--- λαμβάνω
πλὴν D--------- πλήν
ὑποδείξω VF--FAI1S- δεικνύω ὑπο
σοι RP--DS---- σύ
τὴν RA--ASF--- ὁ
ἀλήθειαν N1A-ASF--- ἀλήθεια

Tob 7:11
ἔδωκα VAI-AAI1S- δίδωμι
τὸ RA--ASN--- ὁ
παιδίον N2N-ASN--- παιδίον
μου RP--GS---- ἐγώ
ἑπτὰ M--------- ἑπτά
ἀνδράσιν N3--DPM--- ἀνήρ
καὶ C--------- καί
ὁπότε D--------- ὁπότε
ἐὰν C--------- ἐάν
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
ἀπεθνῄσκοσαν V1I-IMI3P- θνήσκω ἀπο
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἀλλὰ C--------- ἀλλά
τὸ RA--ASN--- ὁ
νῦν D--------- νῦν
ἔχων V1--PAPNSM ἔχω
ἡδέως D--------- ἡδέως
γίνου V1--PMD2S- γίγνομαι

Tob 7:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Τωβιας N1T-NSM--- Τωβείας
οὐ D--------- οὐ
γεύσομαι VF--FMI1S- γεύω
οὐδὲν A3--ASN--- οὐδείς
ὧδε D--------- ὧδε
ἕως C--------- ἕως
ἂν X--------- ἄν
στήσητε VA--AAS2P- ἵστημι
καὶ C--------- καί
σταθῆτε VC--APS2P- ἵστημι
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ραγουηλ N---NSM--- Ῥαγουήλ
κομίζου V1--PMD2S- κομίζω
αὐτὴν RD--ASF--- αὐτός
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
νῦν D--------- νῦν
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
κρίσιν N3I-ASF--- κρίσις
σὺ RP--NS---- σύ
δὲ X--------- δέ
ἀδελφὸς N2--NSM--- ἀδελφός
εἶ V9--PAI2S- εἰμί
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
αὐτή RD--NSF--- αὐτός
σού RP--GS---- σύ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ἐλεήμων A3N-NSM--- ἐλεήμων
θεὸς N2--NSM--- θεός
εὐοδώσει VF--FAI3S- εὐοδόω
ὑμῖν RP--DP---- σύ
τὰ RA--APN--- ὁ
κάλλιστα A1--APNS-- καλός

Tob 7:13
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Σαρραν N---ASF--- Σαρραν
τὴν RA--ASF--- ὁ
θυγατέρα N3--ASF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
λαβὼν VB--AAPNSM λαμβάνω
τῆς RA--GSF--- ὁ
χειρὸς N3--GSF--- χείρ
αὐτῆς RD--GSF--- αὐτός
παρέδωκεν VAI-AAI3S- δίδωμι παρα
αὐτὴν RD--ASF--- αὐτός
τῷ RA--DSM--- ὁ
Τωβια N1T-DSM--- Τωβείας
γυναῖκα N3K-ASF--- γυνή
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἰδοὺ VB--AMD2S- ὁράω
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
Μωυσέως N1M-GSM--- Μωυσῆς
κομίζου V1--PMD2S- κομίζω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἄπαγε V1--PAD2S- ἄγω ἀπο
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
αὐτούς RD--APM--- αὐτός

Tob 7:14
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Εδναν N---ASF--- Εδνα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
λαβὼν VB--AAPNSM λαμβάνω
βιβλίον N2N-ASN--- βιβλίον
ἔγραψεν VAI-AAI3S- γράφω
συγγραφήν N1--NSF--- συγγραφή
καὶ C--------- καί
ἐσφραγίσαντο VAI-AMI3P- σφραγίζω
καὶ C--------- καί
ἤρξαντο VAI-AMI3P- ἄρχω
ἐσθίειν V1--PAN--- ἐσθίω

Tob 7:15
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Ραγουηλ N---NSM--- Ῥαγουήλ
Εδναν N---ASF--- Ἑδνά
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ἀδελφή N1--VSF--- ἀδελφή
ἑτοίμασον VA--AAD2S- ἑτοιμάζω
τὸ RA--ASN--- ὁ
ἕτερον A1A-ASN--- ἕτερος
ταμίειον N2N-ASN--- ταμιεῖον
καὶ C--------- καί
εἰσάγαγε VB--AAD2S- ἄγω εἰς
αὐτήν RD--ASF--- αὐτός

Tob 7:16
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ὡς D--------- ὡς
εἶπεν VBI-AAI3S- εἶπον
καὶ C--------- καί
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
αὐτὴν RD--ASF--- αὐτός
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἔκλαυσεν VAI-AAI3S- κλαίω
καὶ C--------- καί
ἀπεδέξατο VAI-AMI3S- δέχομαι ἀπο
τὰ RA--APN--- ὁ
δάκρυα N2N-APN--- δάκρυ
τῆς RA--GSF--- ὁ
θυγατρὸς N3--GSF--- θυγάτηρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός

Tob 7:17
θάρσει V2--PAD2S- θαρσέω
τέκνον N2N-VSN--- τέκνον
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
δῴη VO--AAO3S- δίδωμι
σοι RP--DS---- σύ
χάριν N3--ASF--- χάρις
ἀντὶ P--------- ἀντί
τῆς RA--GSF--- ὁ
λύπης N1--GSF--- λύπη
σου RP--GS---- σύ
ταύτης RD--GSF--- οὗτος
θάρσει V2--PAD2S- θαρσέω
θύγατερ N3--VSF--- θυγάτηρ

Tob 8:1
ὅτε D--------- ὅτε
δὲ X--------- δέ
συνετέλεσαν VAI-AAI3P- τελέω συν
δειπνοῦντες V2--PAPNPM δειπνέω
εἰσήγαγον VBI-AAI3P- ἄγω εἰς
Τωβιαν N1T-ASM--- Τωβείας
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός

Tob 8:2
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
πορευόμενος V1--PMPNSM πορεύομαι
ἐμνήσθη VSI-API3S- μιμνήσκω
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
Ραφαηλ N---GSM--- Ῥαφαήλ
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
τέφραν N1A-ASF--- τέφρα
τῶν RA--GPN--- ὁ
θυμιαμάτων N3M-GPN--- θυμίαμα
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
τοῦ RA--GSM--- ὁ
ἰχθύος N3U-GSM--- ἰχθύς
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἧπαρ N3T-ASN--- ἧπαρ
καὶ C--------- καί
ἐκάπνισεν VAI-AAI3S- καπνίζω

Tob 8:3
ὅτε D--------- ὅτε
δὲ X--------- δέ
ὠσφράνθη VCI-API3S- ὀσφραίνομαι
τὸ RA--NSN--- ὁ
δαιμόνιον N2N-NSN--- δαιμόνιον
τῆς RA--GSF--- ὁ
ὀσμῆς N1--GSF--- ὀσμή
ἔφυγεν VBI-AAI3S- φεύγω
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἀνώτατα A1A-APNS-- ἀνώτερος
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἔδησεν VAI-AAI3S- δέω
αὐτὸ RD--ASN--- αὐτός
ὁ RA--NSM--- ὁ
ἄγγελος N2--NSM--- ἄγγελος

Tob 8:4
ὡς C--------- ὡς
δὲ X--------- δέ
συνεκλείσθησαν VCI-API3P- κλείω συν
ἀμφότεροι A1A-NPM--- ἀμφότεροι
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Τωβιας N1T-NSM--- Τωβείας
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
κλίνης N1--GSF--- κλίνη
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
ἀδελφή N1--NSF--- ἀδελφή
καὶ C--------- καί
προσευξώμεθα VA--AMS1P- εὔχομαι προς
ἵνα C--------- ἵνα
ἡμᾶς RP--AP---- ἐγώ
ἐλεήσῃ VA--AAS3S- ἐλεέω
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος

Tob 8:5
καὶ C--------- καί
ἤρξατο VAI-AMI3S- ἄρχω
Τωβιας N1T-NSM--- Τωβείας
λέγειν V1--PAN--- λέγω
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
εὐλογητὸν A1--NSN--- εὐλογητός
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
τὸ RA--NSN--- ὁ
ἅγιον A1A-NSN--- ἅγιος
καὶ C--------- καί
ἔνδοξον A1B-NSN--- ἔνδοξος
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
εὐλογησάτωσάν VA--AAD3P- εὐλογέω
σε RP--AS---- σύ
οἱ RA--NPM--- ὁ
οὐρανοὶ N2--NPM--- οὐρανός
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
κτίσεις N3I-NPF--- κτίσις
σου RP--GS---- σύ

Tob 8:6
σὺ RP--NS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
Αδαμ N---ASM--- Αδαμ
καὶ C--------- καί
ἔδωκας VAI-AAI2S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
βοηθὸν N2--ASM--- βοηθός
Ευαν N---ASF--- Ευαν
στήριγμα N2N-ASN--- στήριγμα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
τούτων RD--GPM--- οὗτος
ἐγενήθη VCI-API3S- γίγνομαι
τὸ RA--ASN--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
σπέρμα N3M-ASN--- σπέρμα
σὺ RP--NS---- σύ
εἶπας VAI-AAI2S- εἶπον
οὐ D--------- οὐ
καλὸν A1--NSN--- καλός
εἶναι V9--PAN--- εἰμί
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
μόνον D--------- μόνον
ποιήσωμεν VA--AAS1P- ποιέω
αὐτῷ RD--DSM--- αὐτός
βοηθὸν N2--ASM--- βοηθός
ὅμοιον A1A-ASM--- ὅμοιος
αὐτῷ RD--DSM--- αὐτός

Tob 8:7
καὶ C--------- καί
νῦν D--------- νῦν
κύριε N2--VSM--- κύριος
οὐ D--------- οὐ
διὰ P--------- διά
πορνείαν N1A-ASF--- πορνεία
ἐγὼ RP--NS---- ἐγώ
λαμβάνω V1--PAI1S- λαμβάνω
τὴν RA--ASF--- ὁ
ἀδελφήν N1--ASF--- ἀδελφή
μου RP--GS---- ἐγώ
ταύτην RD--ASF--- οὗτος
ἀλλ' C--------- ἀλλά
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
ἐπίταξον VA--AAD2S- τάσσω ἐπι
ἐλεῆσαί VA--AAN--- ἐλεέω
με RP--AS---- ἐγώ
καὶ C--------- καί
ταύτῃ RD--DSF--- οὗτος
συγκαταγηρᾶσαι VA--AAN--- γηράω συν κατα

Tob 8:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
αμην I--------- ἀμήν

Tob 8:9
καὶ C--------- καί
ἐκοιμήθησαν VCI-API3P- κοιμάω
ἀμφότεροι A1A-NPM--- ἀμφότεροι
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ

Tob 8:10
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
Ραγουηλ N---NSM--- Ῥαγουήλ
ἐπορεύθη VCI-API3S- πορεύομαι
καὶ C--------- καί
ὤρυξεν VAI-AAI3S- ὀρύσσω
τάφον N2--ASM--- τάφος
λέγων V1--PAPNSM λέγω
μὴ D--------- μή
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
ἀποθάνῃ VB--AAS3S- θνήσκω ἀπο

Tob 8:11
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
Ραγουηλ N---NSM--- Ῥαγουήλ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
ἑαυτοῦ RD--GSM--- ἑαυτοῦ

Tob 8:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Εδνα N---DSF--- Ἐδνά
τῇ RA--DSF--- ὁ
γυναικὶ N3K-DSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
ἀπόστειλον VB--AAD2S- στέλλω ἀπο
μίαν A1A-ASF--- εἷς
τῶν RA--GPF--- ὁ
παιδισκῶν N2--GPF--- παιδίσκος
καὶ C--------- καί
ἰδέτωσαν VB--AAD3P- ὁράω
εἰ C--------- εἰ
ζῇ V3--PAI3S- ζάω
εἰ C--------- εἰ
δὲ X--------- δέ
μή D--------- μή
ἵνα C--------- ἵνα
θάψωμεν VA--AAS1P- θάπτω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
μηδεὶς A3P-NSM--- μηδείς
γνῷ VZ--AAS3S- γιγνώσκω

Tob 8:13
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
ἡ RA--NSF--- ὁ
παιδίσκη N1--NSF--- παιδίσκη
ἀνοίξασα VA--AAPNSF οἴγω ἀνα
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
τοὺς RA--APM--- ὁ
δύο M---NDM--- δύο
καθεύδοντας V1--PAPAPM εὕδω κατα

Tob 8:14
καὶ C--------- καί
ἐξελθοῦσα VB--AAPNSF ἔρχομαι ἐκ
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
αὐτοῖς RD--DPM--- αὐτός
ὅτι C--------- ὅτι
ζῇ V3--PAI3S- ζάω

Tob 8:15
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
Ραγουηλ N---NSM--- Ῥαγουήλ
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
λέγων V1--PAPNSM λέγω
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
εὐλογίᾳ N1A-DSF--- εὐλογία
καθαρᾷ A1A-DSF--- καθαρός
καὶ C--------- καί
ἁγίᾳ A1A-DSF--- ἅγιος
καὶ C--------- καί
εὐλογείτωσάν V2--PAD3P- εὐλογέω
σε RP--AS---- σύ
οἱ RA--NPM--- ὁ
ἅγιοί A1A-NPM--- ἅγιος
σου RP--GS---- σύ
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
κτίσεις N3I-NPF--- κτίσις
σου RP--GS---- σύ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄγγελοί N2--NPM--- ἄγγελος
σου RP--GS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐκλεκτοί A1--NPM--- ἐκλεκτός
σου RP--GS---- σύ
εὐλογείτωσάν V2--PAD3P- εὐλογέω
σε RP--AS---- σύ
εἰς P--------- εἰς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Tob 8:16
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὅτι C--------- ὅτι
ηὔφρανάς VBI-AAI3S- εὐφραίνω
με RP--AS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγένετό VBI-AMI3S- γίγνομαι
μοι RP--DS---- ἐγώ
καθὼς D--------- καθώς
ὑπενόουν V2I-IAI1S- νοέω ὑπο
ἀλλὰ C--------- ἀλλά
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πολὺ A1P-ASN--- πολύς
ἔλεός N3E-ASN--- ἔλεος
σου RP--GS---- σύ
ἐποίησας VAI-AAI2S- ποιέω
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ

Tob 8:17
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὅτι C--------- ὅτι
ἠλέησας VAI-AAI2S- ἐλεέω
δύο M---ADM--- δύο
μονογενεῖς N3--APM--- μονογενής
ποίησον VA--AAD2S- ποιέω
αὐτοῖς RD--DPM--- αὐτός
δέσποτα N1M-VSM--- δεσπότης
ἔλεος N3E-ASN--- ἔλεος
συντέλεσον VA--AAD2S- τελέω συν
τὴν RA--ASF--- ὁ
ζωὴν N1--ASF--- ζωή
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
ὑγιείᾳ N1A-DSF--- ὑγίεια
μετὰ P--------- μετά
εὐφροσύνης N1--GSF--- εὐφροσύνη
καὶ C--------- καί
